object_id,ein,DsrgrddEnttyNm_BsnssNmLn1Txt,USAddrss_AddrssLn1Txt,USAddrss_CtyNm,USAddrss_SttAbbrvtnCd,USAddrss_ZIPCd,IdDsrgrddEntts_EIN,IdDsrgrddEntts_PrmryActvtsTxt,IdDsrgrddEntts_LglDmclSttCd,IdDsrgrddEntts_TtlIncmAmt,IdDsrgrddEntts_EndOfYrAsstsAmt,DrctCntrllngEnttyNm_BsnssNmLn1Txt
201733189349308343,201612906,LONGWOOD HOUSING FOUNDATION LLC,315 WEST THIRD STREET,FARMVILLE,VA,23901,HOUSING,VA,10598929,96824599,NA
201733189349308343,201612906,LONGWOOD WOODLAND POND HOUSING,FOUNDATION LLC,315 WEST THIRD STREET,FARMVILLE,VA,23901,HOUSING,VA,139834,2314276,NA
201733189349308343,201612906,LONGWOOD WOODLAND POND DEVELOPMENT,FOUNDATION LLC,315 WEST THIRD STREET,FARMVILLE,VA,23901,LAND,VA,315000,NA
201733189349308343,201612906,LONGWOOD MIDTOWN CRE LLC,315 WEST THIRD STREET,FARMVILLE,VA,23901,RENTAL,VA,149453,8490095,NA
201733189349308343,201612906,LONGWOOD RIVERVIEW LLC,315 WEST THIRD STREET,FARMVILLE,VA,23901,REAL PROP,VA,6900705,NA
201723389349300157,590624459,BOULEVARD AND KENNEDY HOLDINGS LLC,401 W KENNEDY BLVD,TAMPA,FL,336061490,590624459,TO HOLD SEVERAL PARCELS OF REAL PROPERTY,FL,0,1315000,THE UNIVERSITY OF TAMPA INCORPORATED
201723389349300157,590624459,NORTH EDISON HOLDINGS LLC,401 W KENNEDY BLVD,TAMPA,FL,336061490,590624459,TO HOLD A PARCEL OF REAL PROPERTY,FL,0,1599480,THE UNIVERSITY OF TAMPA INCORPORATED
201713149349301601,136171197,MOUNT SINAI CARE LLC,1 GUSTAVE LEVY PLACE BOX 1061,NEW YORK,NY,10029,454492275,ACCT CARE ORG,NY,0,0,ISMMS
201713149349301601,136171197,HEARTS OF OUR CHILDREN LLC,1 GUSTAVE LEVY PLACE BOX 4500,NEW YORK,NY,10029,384012112,DOCUMENTARY,NY,0,0,ISMMS
201723199349309337,810661056,LOMA LINDA UNIVERSITY HEALTHCARE PROPERTIES LLC,11234 ANDERSON ST,LOMA LINDA,CA,92354,953522679,PROPERTY OWNERSHIP,CA,LLUMC
201723199349309337,810661056,LOMA LINDA UNIVERSITY - URGENT CARE LLC,11234 ANDERSON ST,LOMA LINDA,CA,92354,953522679,URGENT CARE CLINIC,CA,LLUMC
201723199349310802,274967732,CKI EVENTS LLC,1320 N COURTHOUSE RD STE 500,ARLINGTON,VA,22201,274967732,SCHOOL EVENTS,DE,0,0,CKI
201723199349310802,274967732,WEB MEDIA LLC,1320 N COURTHOUSE RD STE 500,ARLINGTON,VA,22201,WEB HOSTING,DE,0,0,CKI
201703179349301205,560767736,WARREN WILSON COLLEGE FOUND LLC,PO BOX 9000,ASHEVILLE,NC,28805,RENTAL,NC,722736,16812713,N/A
201723389349300437,540575812,Coming to the Table,1200 Park Road,Harrisonburg,VA,22801,473816858,"Coming to the Table provides leadership, resources, and a supportive environment for all who wish to",VA,99793,56018,Eastern Mennonite Universtiy
201743459349300439,840442429,Jeffco Property Investors LLC,3801 E Florida Ave Ste 600,Denver,CO,80210,450851533,Real estate,CO,0,CCU
201703179349303590,475138693,AILERON PUBLISHING LLC,8860 WILDCAT RD,TIPP CITY,OH,45371,311586591,OH,AILERON
201733329349300768,750851900,ACU Management LLC,1600 Campus Court,Abilene,TX,79699,571136730,General partner of ACU Foundation Limited,TX,192060,N/A
201703189349301430,541863192,CNU 12396 WARWICK LLC,ONE UNIVERSITY PLACE,NEWPORT NEWS,VA,23606,REAL ESTATE HOLDING COMPANY,VA,763032,CNU REAL ESTATE FOUNDATION
201703189349301430,541863192,CNU 12340 WARWICK LLC,ONE UNIVERSITY PLACE,NEWPORT NEWS,VA,23606,REAL ESTATE HOLDING COMPANY,VA,CNU REAL ESTATE FOUNDATION
201703189349301430,541863192,CNU BARCLAY LLC,ONE UNIVERSITY PLACE,NEWPORT NEWS,VA,23606,542060797,REAL ESTATE HOLDING COMPANY,VA,443799,2628037,CNU REAL ESTATE FOUNDATION
201703189349301430,541863192,CNU COMMERCIAL LLC,ONE UNIVERSITY PLACE,NEWPORT NEWS,VA,23606,REAL ESTATE HOLDING COMPANY,VA,CNU REAL ESTATE FOUNDATION
201703189349301430,541863192,CNU HIDEN HUSSEY LLC,ONE UNIVERSITY PLACE,NEWPORT NEWS,VA,23606,REAL ESTATE HOLDING COMPANY,VA,CNU REAL ESTATE FOUNDATION
201703189349301430,541863192,CNU HIDENWOOD SHOPPING CENTER LLC,ONE UNIVERSITY PLACE,NEWPORT NEWS,VA,23606,REAL ESTATE HOLDING COMPANY,VA,923802,12771516,CNU REAL ESTATE FOUNDATION
201703189349301430,541863192,CNU OFFICE PARK LLC,ONE UNIVERSITY PLACE,NEWPORT NEWS,VA,23606,REAL ESTATE HOLDING COMPANY,VA,905000,11633475,CNU REAL ESTATE FOUNDATION
201703189349301430,541863192,CNU OFFICE PARK GUARANTOR LLC,ONE UNIVERSITY PLACE,NEWPORT NEWS,VA,23606,REAL ESTATE HOLDING COMPANY,VA,CNU REAL ESTATE FOUNDATION
201703189349301430,541863192,CNU PROPERTIES LLC,ONE UNIVERSITY PLACE,NEWPORT NEWS,VA,23606,542058704,REAL ESTATE HOLDING COMPANY,VA,663786,1263180,CNU REAL ESTATE FOUNDATION
201703189349301430,541863192,CNU POST OFFICE LLC,ONE UNIVERSITY PLACE,NEWPORT NEWS,VA,23606,263606745,REAL ESTATE HOLDING COMPANY,VA,94295,CNU REAL ESTATE FOUNDATION
201703189349301430,541863192,CNU RAPPAHANNOCK CONDOMINIUM OWNERS ASSOCIATION,ONE UNIVERSITY PLACE,NEWPORT NEWS,VA,23606,REAL ESTATE HOLDING COMPANY,VA,CNU REAL ESTATE FOUNDATION
201703189349301430,541863192,CNU SOC LLC,ONE UNIVERSITY PLACE,NEWPORT NEWS,VA,23606,REAL ESTATE HOLDING COMPANY,VA,901070,CNU REAL ESTATE FOUNDATION
201703189349301430,541863192,CNU SPCOM LLC,ONE UNIVERSITY PLACE,NEWPORT NEWS,VA,23606,743143811,REAL ESTATE HOLDING COMPANY,VA,797648,CNU REAL ESTATE FOUNDATION
201703189349301430,541863192,CNU UNIVERSITY APARTMENTS LLC,ONE UNIVERSITY PLACE,NEWPORT NEWS,VA,23606,542058705,REAL ESTATE HOLDING COMPANY,VA,1816299,17104310,CNU REAL ESTATE FOUNDATION
201703189349301430,541863192,CNU VILLAGE LLC,ONE UNIVERSITY PLACE,NEWPORT NEWS,VA,23606,REAL ESTATE HOLDING COMPANY,VA,CNU REAL ESTATE FOUNDATION
201703189349301430,541863192,CNU VILLAGE LAND LLC,ONE UNIVERSITY PLACE,NEWPORT NEWS,VA,23606,383697295,REAL ESTATE HOLDING COMPANY,VA,3603694,30057526,CNU REAL ESTATE FOUNDATION
201703189349301430,541863192,CNU VILLAGE RETAIL LLC,ONE UNIVERSITY PLACE,NEWPORT NEWS,VA,23606,REAL ESTATE HOLDING COMPANY,VA,CNU REAL ESTATE FOUNDATION
