object_id,ein,Dsc,BsnssCd,TtlRvnClmnAmt,ExclsnAmt
201931019349300333,141338498,Advertising Revenue,541800,5593,5593
201931019349300218,910236600,SETTLEMENT INCOME,900099,194647,194647
201900809349300610,480547702,CHANNEL LEASE REVENUE,900099,176800,176800
201900809349300610,480547702,VENDING REVENUE,900099,16999,16999
201910189349300636,931071753,MISCELLANEOUS,125,125
201940089349301129,596046500,OTHER INCOME,900099,236197,236197
201940089349301129,596046500,INSURANCE RECOVERY,233738,233738
201940089349301129,596046500,INSURANCE RECOVERY,900099,35655,35655
201930099349300203,231424055,OTHER INCOME,900099,472860,472860
201940569349300119,470376524,MISCELLANEOUS REVENUE,900099,716559,716559
201940569349300119,470376524,ATHLETIC FACILITY RENTAL,713940,6553,6553
201940569349300119,470376524,DAY PASSES,713940,565,565
201940149349300759,952540850,OTHER INCOME,611710,114859,114859
201930509349300228,750851900,OTHER INCOME,611710,586482,586482
201930749349300603,840402707,OTHER MISCELLANEOUS REVENUE,1039050,1036848,2202
201930459349300823,222586208,Misc Revenue,611310,142199,142199,0,0
201930609349301043,930386890,RENTS,135930,135930
201930389349300333,931040479,RENTAL INCOME,32050,32050
201930389349300333,931040479,OTHER INCOME,4841,4841
201900159349300855,362167773,AVIATION SERVICES,611710,883611,883611
201900159349300855,362167773,MISCELLANEOUS,900099,772009,772009
201900159349300855,362167773,CONFERENCING,900099,150076,150076
201920089349300847,381627600,Contract Income,611310,1597255,1597255,0,0
201920089349300847,381627600,Change in Value split Interest Agmt,525920,377053,377053,0,0
201920089349300847,381627600,Departmental Income,611710,3537001,3537001,0,0
201940549349300604,611031382,MISCELLANEOUS,561300,14779,14779
201930659349300838,520591694,PARKING FINES/FEES,900099,193655,193655
201930659349300838,520591694,GOLF COURSE,713910,43067,43067
201930659349300838,520591694,THEATER,711110,6342,6342
201900219349300015,592961536,SUMMER FOR SUCCESS FEES,900099,252765,252765
201900219349300015,592961536,OTHER REVENUE,900099,78721,78721
201900599349301365,640303093,Other income,900099,124065,124065
201900599349301365,640303093,Investment return appropriated for operations,900099,361112,361112
201940359349301054,231352664,fines,900099,25118,25118,0,0
201940359349301054,231352664,Payments in excess of health care claims,900099,941323,941323,0,0
201900799349300340,540505922,Change in Interest Rate Swap,900099,377643,377643,0,0
201900809349300240,030482006,CHANGE IN SPLIT INT AGREEMENT,611710,95152,95152
201930869349300613,200940772,PENSION INCOME,900099,109554,109554
201930869349300613,200940772,MISCELLANEOUS INCOME,900099,80087,80087
201930869349300133,930386858,OTHER MISCELLANOUS REVENUE,900099,2229544,2229544
201930869349300133,930386858,ALUMNI EVENTS,900099,171253,171253
201930869349300133,930386858,STUDENT HEALTH CENTER,900099,108939,108939
201910919349300316,231352621,"Vending,misc.sales,reimbursed costs",900099,423343,0,0,423343
201910889349300616,042111203,Energy Incentives/Grants,900099,375949,375949,0,0
201910889349300616,042111203,Workers Comp Incentive/Rebates,900099,141770,141770,0,0
201930529349300968,620570060,Indirect Cost Reimb.,611710,14910,14910
201930529349300968,620570060,OTHER SERVICES,611710,474467,474467
201920319349300137,030179299,CONFERENCES,478690,478690
201920319349300137,030179299,OTHER FEES/DAMAGES,186797,186797
201930659349300228,510109178,MISCELLANEOUS INCOME,900099,191871,191871
