object_id,ein,Dsc,BsnssCd,TtlRvnClmnAmt,RltdOrExmptFncIncmAmt
201931019349300333,141338498,Tuition & Fees,611310,108403037,108403037
201931019349300333,141338498,Room & Board,611310,34982786,34982786
201931019349300333,141338498,OTHER PROGRAM REVENUE,611310,6389669,6389669
201931019349300333,141338498,Laboratory Fees,611310,1853704,1853704
201931019349300333,141338498,Student Activities,611310,878154,878154
201931019349300218,910236600,STUDENT TUITION & FEES,611310,264077095,264077095
201931019349300218,910236600,AUXILIARY ENTERPRISES,611310,28819952,28819952
201931019349300218,910236600,ORGANIZED ACTIVITIES,611310,7618627,7618627
201931019349300218,910236600,MISCELLANEOUS FEES & SALES,611310,7132489,7023244,109245
201931019349300218,910236600,LOAN INTEREST INCOME,611310,98774,98774
201900429349301195,846024048,"REGISTRATION, TUITION",900099,2526998,2526998
201900429349301195,846024048,WORKSHOP SEMINARS,900099,15261,15261
201900609349300805,980042539,Research and Special Projects,541700,23123020,23123020,0,0
201900609349300805,980042539,Student Fees and Misc Fees,611310,101418265,101418265,0,0
201900609349300805,980042539,Ancillary (non inventory holding),611710,13356128,13356128,0,0
201900609349300805,980042539,Fees and Contracts from Government,541690,2118398,2118398,0,0
201900809349300610,480547702,TUITION & FEES,611600,29168369,29168369
201900809349300610,480547702,AUXILIARY,611710,2764231,2764231
201900809349300610,480547702,SALES & SERVICES,900099,191643,191643
201900809349300610,480547702,OTHER PROGRAM SERVICE REVENUE,900099,115247,115247
201910189349300636,931071753,BOOKS
201910189349300636,931071753,RENTS
201910189349300636,931071753,TUITION,135078,135078
201930599349300903,611312812,TUITION,611710,144992,144992
201930599349300903,611312812,APPLICATION FEES,611710,175,175
201920459349301537,590668483,Tuition & Fees gross of student aid,611310,19194352,19194352,0,0
201920459349301537,590668483,Auxiliary Enterprises,611310,5381435,5381435,0,0
201940089349301129,596046500,TUITION & FEES,134412886,134412886
201940089349301129,596046500,HOUSING & FOOD SERVICE,20493224,20493224
201940089349301129,596046500,"FIT AVIATION, LLC",611710,6910110,6910110
201940089349301129,596046500,OTHER,5287878,5287878
201940089349301129,596046500,INDIRECT COST RECOVERY,2210685,2210685
201900999349300535,370661494,INSTRUCTION & RESEARCH,611600,162749976,162740659,9317
201900999349300535,370661494,AUXILIARY SERVICE,722210,15867044,15690078,176966
201900999349300535,370661494,FOOD SERVICE REVENUE,611710,7968923,7968923
201900999349300535,370661494,DEPARTMENT PROGRAMS,611710,6085396,6085396
201900999349300535,370661494,INTERCOLLEGIATE ATHLETICS,611710,2251502,2251502
201900999349300230,750983821,Tuition and Fees,611310,2401650,2401650
201900999349300230,750983821,Auxiliary Revenue,611710,255435,255435
201900999349300230,750983821,Athletics,711210,57697,57697
201900999349300230,750983821,Other program revenue,900099,10636,10636
201930099349300203,231424055,STUDENT TUITION & FEES (GROSS),611310,30532356,30532356
201930099349300203,231424055,AUXILIARY FEES,900099,2263386,2263386
201940799349300809,383001876,Tuition and fees,813110,2428019,2428019,0,0
201940799349300809,383001876,Sales and Services,813110,805045,805045,0,0
201900089349300750,800820194,TUITION AND FEES,432267,432267
201940569349300119,470376524,TUITION AND FEES,611310,52479898,52479898
201940569349300119,470376524,AUXILIARY ENTERPRISES,611710,6915349,6915349
201900519349300615,237133739,Student loan interest and Govt Subsidy,522294,32594905,32594905,0,0
201930509349300228,750851900,TUITION AND FEES,611710,138502938,138502938
201930509349300228,750851900,AUXILIARY ENTERPRISES,611710,19876602,19876602
201930509349300228,750851900,EDUCATION SERVICES,611710,3684307,3684307
201930749349300603,840402707,TUITION AND FEES,900099,146570947,146570947
201930749349300603,840402707,STUDENT AUXILIARY SERVICES,721000,11059356,11059356
201930749349300603,840402707,OTHER PROGRAM SERVICE REVENUE,900099,1426298,1426298
201930459349300823,222586208,Tuition and fees,611310,23672034,23672034,0,0
201930459349300823,222586208,Room,611310,3044712,3044712,0,0
201930459349300823,222586208,Board,611310,2042635,2042635,0,0
201930609349301043,930386890,INSTRUCTION,11626800,11626800
201930609349301043,930386890,HOUSING & FOODSERVICE,1721150,1721150
201930609349301043,930386890,BOOKSTORE,544286,544286
201930609349301043,930386890,OTHER STUDENT SERVICES,127240,127240
201900159349300855,362167773,STUDENT TUITION AND FEES,900099,137086266,137086266
201900159349300855,362167773,STUDENT HOUSING,611710,7035192,7035192
201900159349300855,362167773,STUDENT MEAL PLANS,611710,3924431,3924431
201920089349300847,381627600,Tuition And Fees,611310,47274505,47274505,0,0
201920089349300847,381627600,Auxilliary Revenue,611710,17404868,17404868,0,0
201930659349300838,520591694,TUITION & FEES - UNDERGRADUATE,611600,64191281,64191281
201930659349300838,520591694,SALES/SVCS OF AUX. ENTERPRISES,721310,15285289,14497816,787473
201930659349300838,520591694,TUITION & FEES - GRADUATE,611600,7675534,7675534
201900219349300015,592961536,TUITION & FEES,611310,12974249,12974249
201900219349300015,592961536,ROOM AND BOARD FEES,611310,3524993,3524993
201900219349300015,592961536,STUDENT SERVICE FEES,611310,302051,302051
201900599349301365,640303093,Tuition and Fees,611600,8534245,8534245
201900599349301365,640303093,Sales and Services of Auxiliary Enterprises,611710,4262920,4262920
201940359349301054,231352664,Tuition and fees,900099,112720602,112720602,0,0
201940359349301054,231352664,Auxiliary enterprises,721000,22815547,22702750,112797,0
201940359349301054,231352664,Game admissions,711210,1000,1000,0,0
201900799349300340,540505922,Tuition and Fees,611310,82471146,82471146,0,0
201900799349300340,540505922,Auxiliary Services,900099,16094163,16094163,0,0
201900799349300340,540505922,Miscellaneous Income,900099,2504192,2504192,0,0
201900799349300340,540505922,Auxiliary - Catering,900099,127350,0,127350,0
201900809349300240,030482006,TUITION AND FEES,611710,20781521,20781521
201900809349300240,030482006,FACULTY AND STUDENT HOUSING,531110,9298254,9298254
201900809349300240,030482006,EVENTS & TRAINING,611710,1075686,1075686
201900809349300240,030482006,MISCELLANEOUS PROGRAM REVENUE,611710,487877,487877
201900809349300240,030482006,AMU PRESS CO-PRODUCTION,511110,310,310
201910429349300411,135596846,PATIENT SERVICES,295146725,295146725
201910429349300411,135596846,TUITION AND FEES,205584665,205584665
201910429349300411,135596846,AUXILIARY ACTIVITIES,611710,16022168,16021353,815
201930869349300133,930386858,TUITION AND FEES,611600,139251238,139251238
201930869349300133,930386858,AUXILIARY SERVICES,900099,19333540,19333540
201930869349300133,930386858,CONTRACTS/EXCHANGE TRANSACTIONS,900099,1522413,1522413
201910919349300316,231352621,Gross tuition,611710,78240331,78240331,0,0
201910919349300316,231352621,Room and Board,721310,19412114,19412114,0,0
201910919349300316,231352621,Other Auxiliary Services,532000,4588514,2749614,1838900,0
201910919349300316,231352621,Public Service Fees,611710,1990621,1990621,0,0
201910919349300316,231352621,Tri-College Programs,611710,1765311,1765311,0,0
201910889349300616,042111203,Tuition and fees,611310,124458580,124458580,0,0
201910889349300616,042111203,Housing,721310,8730393,8730393,0,0
201910889349300616,042111203,Food Services,722310,5423874,5423874,0,0
201910889349300616,042111203,Geographic Software,443120,340756,340756,0,0
201910889349300616,042111203,Campus Store,453000,214567,214567,0,0
201930529349300968,620570060,Auxiliary Enterprises,611710,7029025,7029025
201930529349300968,620570060,Student tuition and fees,611710,15192939,15192939
201940329349300824,460872490,TUITION,1420560,1420560
201920319349300137,030179299,FEES,588782,588782
201920319349300137,030179299,ROOM AND BOARD,4215635,4215635
201920319349300137,030179299,TUITION,17468243,17468243
201900929349300135,452208063,TUITION REVENUE,611600,315744,315744
201900929349300135,452208063,ADMIN SUPPORT,561000,21413,21413
201900929349300135,452208063,OTHER REVENUE,16055,16055
201930949349300013,221487354,TUITION & FEES,611600,251849002,251849002
201930949349300013,221487354,RESEARCH REVENUE,541610,30532554,30532554
201930949349300013,221487354,STUDENT HOUSING,611710,20000476,20000476
201930949349300013,221487354,STUDENT DINING,611710,8079618,8079618
201930949349300013,221487354,TECHNICAL LEADERSHIP INSTRUCTION,611600,655581,655581
201920119349300102,131916574,TUITION & FEES,611310,24775482,24775482
201920119349300102,131916574,HOUSING/FOOD REVENUES,721000,1299181,1299181
201920119349300102,131916574,CLINIC REVENUES,621400,754887,754887
201920119349300102,131916574,ATHLETIC CENTER,713940,159967,159967
201920119349300102,131916574,ADVERTISING INCOME,541800,28250,0,28250
201920919349300307,340714687,STUDENT TUITION,611710,64221600,64221600
201920919349300307,340714687,DORMITORIES,611710,7351608,7351608
201920919349300307,340714687,FOOD SERVICE,611710,4682474,4682474
201920919349300307,340714687,BOOK STORE SALES,451110,1153746,1034609,119137
201920919349300307,340714687,RENTAL/HOUSING,611710,116019,116019
201900889349300810,370673484,TUITION & FEES,611310,7752576,7752576
201900889349300810,370673484,ROOM & OTHER SERVICES,611310,1794633,1794633
201900889349300810,370673484,OTHER PROGRAM SERVICE REVENUE,611310,354510,354510
201900889349300810,370673484,CAMPUS BOOKSTORE SALES,611310,280036,280036
201930659349300228,510109178,STUDENT TUITION & FEES,611310,35587142,35587142
