object_id,ein,DnrAdvsdFndsHldCnt,FndsAndOthrAccntsHldCnt,DnrAdvsdFndsCntrAmt,FndsAndOthrAccntsCntrAmt,DnrAdvsdFndsGrntsAmt,FndsAndOthrAccntsGrntsAmt,DnrAdvsdFndsVlEOYAmt,FndsAndOthrAccntsVlEOYAmt,DsclsdOrgLgCtrlInd,DsclsdFrChrtblPrpsInd,HstrcLndArInd,HstrcStrctrInd,PrtctnNtrlHbttInd,PrsrvtnOpnSpcInd,PrsrvtnPblcUsInd,TtlEsmntsCnt,TtlAcrgCnt,HstrcStrctrEsmntsCnt,HstrcStrctrEsmntsAftrCnt,MdfdEsmntsCnt,SttsEsmntsHldCnt,WrttnPlcyMntrngInd,StffHrsSpntEnfrcmntCnt,ExpnssIncrrdEnfrcmntAmt,Sctn170hRqrStsfdInd,ArtPblcExhbtnAmnts_RvnsInclddAmt,ArtPblcExhbtnAmnts_AsstsInclddAmt,HldWrksArt_RvnsInclddAmt,HldWrksArt_AsstsInclddAmt,SkdD_CllctnUsdPbExhbtnInd,SkdD_CllUsdSchlrlyRsrchInd,SkdD_CllctnUsdPrsrvtnInd,SkdD_CllUsdLnOrExchPrgInd,CllctnUsdOthrPrpss_OthrPrpssDsc,CllctnUsdOthrPrpss_CllctnUsdOthrPrpssInd,SkdD_SlctdAsstsSlInd,AgntTrstEtcInd,BgnnngBlncAmt,AddtnsDrngYrAmt,DstrbtnsDrngYrAmt,EndngBlncAmt,InclEscrwCstdlAcctLbInd,ExplntnPrvddInd,CYEndwmtFnd_BgnnngYrBlncAmt,CYEndwmtFnd_CntrbtnsAmt,CYEndwmtFnd_InvstmntErnngsOrLsssAmt,CYEndwmtFnd_GrntsOrSchlrshpsAmt,CYEndwmtFnd_OthrExpndtrsAmt,CYEndwmtFnd_AdmnstrtvExpnssAmt,CYEndwmtFnd_EndYrBlncAmt,CYMns1YrEndwmtFnd_BgnnngYrBlncAmt,CYMns1YrEndwmtFnd_CntrbtnsAmt,CYMns1YrEndwmtFnd_InvstmntErnngsOrLsssAmt,CYMns1YrEndwmtFnd_GrntsOrSchlrshpsAmt,CYMns1YrEndwmtFnd_OthrExpndtrsAmt,CYMns1YrEndwmtFnd_AdmnstrtvExpnssAmt,CYMns1YrEndwmtFnd_EndYrBlncAmt,CYMns2YrEndwmtFnd_BgnnngYrBlncAmt,CYMns2YrEndwmtFnd_CntrbtnsAmt,CYMns2YrEndwmtFnd_InvstmntErnngsOrLsssAmt,CYMns2YrEndwmtFnd_GrntsOrSchlrshpsAmt,CYMns2YrEndwmtFnd_OthrExpndtrsAmt,CYMns2YrEndwmtFnd_AdmnstrtvExpnssAmt,CYMns2YrEndwmtFnd_EndYrBlncAmt,CYMns3YrEndwmtFnd_BgnnngYrBlncAmt,CYMns3YrEndwmtFnd_CntrbtnsAmt,CYMns3YrEndwmtFnd_InvstmntErnngsOrLsssAmt,CYMns3YrEndwmtFnd_GrntsOrSchlrshpsAmt,CYMns3YrEndwmtFnd_OthrExpndtrsAmt,CYMns3YrEndwmtFnd_AdmnstrtvExpnssAmt,CYMns3YrEndwmtFnd_EndYrBlncAmt,CYMns4YrEndwmtFnd_BgnnngYrBlncAmt,CYMns4YrEndwmtFnd_CntrbtnsAmt,CYMns4YrEndwmtFnd_InvstmntErnngsOrLsssAmt,CYMns4YrEndwmtFnd_GrntsOrSchlrshpsAmt,CYMns4YrEndwmtFnd_OthrExpndtrsAmt,CYMns4YrEndwmtFnd_AdmnstrtvExpnssAmt,CYMns4YrEndwmtFnd_EndYrBlncAmt,SkdD_BrdDsgntdBlncEOYPct,SkdD_PrmnntEndwmntBlncEOYPct,SkdD_TrmEndwmntBlncEOYPct,SkdD_EndwmntsHldUnrltdOrgInd,SkdD_EndwmntsHldRltdOrgInd,SkdD_RltdOrgLstSchRInd,SkdD_TtlBkVlLndBldngsAmt,Lnd_InvstmntCstOrOthrBssAmt,Lnd_OthrCstOrOthrBssAmt,Lnd_BkVlAmt,Bldngs_InvstmntCstOrOthrBssAmt,Bldngs_OthrCstOrOthrBssAmt,Bldngs_DprctnAmt,Bldngs_BkVlAmt,LshldImprvmnts_InvstmntCstOrOthrBssAmt,LshldImprvmnts_OthrCstOrOthrBssAmt,LshldImprvmnts_DprctnAmt,LshldImprvmnts_BkVlAmt,Eqpmnt_InvstmntCstOrOthrBssAmt,Eqpmnt_OthrCstOrOthrBssAmt,Eqpmnt_DprctnAmt,Eqpmnt_BkVlAmt,OthrLndBldngs_InvstmntCstOrOthrBssAmt,OthrLndBldngs_OthrCstOrOthrBssAmt,OthrLndBldngs_DprctnAmt,OthrLndBldngs_BkVlAmt,SkdD_TtlBkVlScrtsAmt,ClslyHldEqtyIntrsts_BkVlAmt,FnnclDrvtvs_BkVlAmt,ClslyHldEqtyIntrsts_MthdVltnCd,FnnclDrvtvs_MthdVltnCd,TtlBkVlPrgrmRltdAmt,TtlBkVlOthrAsstsAmt,TtlLbltyAmt,FdrlIncmTxLbltyAmt,FtntTxtInd,TtlRvEtcAdtdFnclStmtAmt,NtUnrlzdGnsInvstAmt,DntdSrvcsAndUsFcltsAmt,RcvrsPrrYrGrntsAmt,OthrRvnAmt,RvnNtRprtdAmt,RvnSbttlAmt,InvstmntExpnssNtIncldAmt,OthrRvnsNtInclddAmt,RvnNtRprtdFnclStmtAmt,TtlRvnPrFrm990Amt,TtExpnsEtcAdtdFnclStmtAmt,DntdSrvcsUsFcltsAmt,PrrYrAdjstmntsAmt,LsssRprtdAmt,OthrExpnssInclddAmt,ExpnssNtRprtdAmt,ExpnssSbttlAmt,InvstmntExpnssNtIncld2Amt,OthrExpnssNtInclddAmt,ExpnssNtRptFnclStmtAmt,TtlExpnssPrFrm990Amt,TtExpnsEtcAdtdFnclStmtAmt,DntdSrvcsUsFcltsAmt,PrrYrAdjstmntsAmt,LsssRprtdAmt,OthrExpnssInclddAmt,ExpnssNtRprtdAmt,ExpnssSbttlAmt,InvstmntExpnssNtIncld2Amt,OthrExpnssNtInclddAmt,ExpnssNtRptFnclStmtAmt,TtlExpnssPrFrm990Amt
201911019349300646,930741999,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53957,-,-,-,-,-,-,-,-,13695,3338,10357,-,28611,24336,4275,-,67856,28531,39325,-,-,-,-,-,-,-,70488,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
201931019349300333,141338498,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22809,-,-,X,-,X,-,TEACHING,X,false,-,-,-,-,-,-,-,129067735,2376149,8954721,2687205,2449849,-,135261551,120954382,3085590,13362261,2559561,5774937,-,129067735,131346001,2604047,-5204300,2404795,5386571,-,120954382,138815202,2694153,5261303,2218449,13206208,-,131346001,132753115,708133,14853955,2109687,7390314,-,138815202,0.33732,0.65907,0.00361,false,false,-,126042291,-,16271539,16271539,0,178937875,72146415,106791460,-,-,-,-,0,41794089,40092477,1701612,0,1277680,0,1277680,107875165,-,5223417,-,F,-,-,27628007,0,X,176544246,-21977046,-,-,2718824,-19258222,195802468,-,-410013,-410013,195392455,169546862,-,-,-,410013,410013,169136849,-,-,-,169136849,169546862,-,-,-,410013,410013,169136849,-,-,-,169136849
201931019349300218,910236600,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,166963,4346533,0,20000,X,X,X,X,STUDENT EMPLOYMENT,X,0,0,-,-,-,-,1,X,253297467,6056866,20683871,5062793,3002009,2209748,269763654,187267861,50045376,24584031,4703973,2331256,1564572,253297467,208467932,-11375989,-1486604,4481178,2263838,1592462,187267861,175489398,28836520,11704582,4089153,1989162,1484253,208467932,149969885,8511342,23691743,3629433,1818524,1235615,175489398,0.20000,0.53000,0.27000,1,1,1,427837379,55275590,8698985,63974575,4900000,439759750,106953153,337706597,-,-,-,-,-,40539404,19528231,21011173,238305,9837395,4930666,5145034,85682342,5214342,-,F,-,-,-,175382315,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
201900809349300610,480547702,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,750,-,-,X,-,X,-,-,-,false,-,-,-,-,-,-,-,49064558,1878402,3068160,1425774,755647,-,51829699,43133678,2661166,5237461,1319763,647984,-,49064558,45765000,745439,-1359561,1238119,779081,-,43133678,48217000,217000,-732000,1866264,70736,-,45765000,44688000,214000,5264000,1877340,71660,-,48217000,0.27200,0.67000,0.05800,false,false,-,43480711,-,2148031,2148031,-,58223020,20877136,37345884,-,-,-,-,-,14905747,12054753,2850994,-,5567979,4432177,1135802,-,-,-,-,-,-,6829538,2377357,0,-,29692052,1674311,-,-,164044,1838355,27853697,206624,10828955,11035579,38889276,28344020,-,-,-,54740,54740,28289280,206624,10828955,11035579,39324859,28344020,-,-,-,54740,54740,28289280,206624,10828955,11035579,39324859
201910189349300636,931071753,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7907,-,-,-,-,-,-,-,-,-,-,-,-,26018,19720,6298,-,21410,19801,1609,-,-,-,-,-,-,-,-,-,X,327630,-,-,-,-,-,327630,-,-,-,327630,357986,-,-,-,-,-,357986,-,-,-,357986,357986,-,-,-,-,-,357986,-,-,-,357986
201920459349301537,590668483,98,0,160329,0,0,0,1866741,0,1,1,X,-,-,-,-,1,100,0,0,0,1,0,50,7500,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5925333,160329,598997,840431,2067351,41375,3735502,5115677,218175,723149,131668,0,0,5925333,8405201,184010,126759,272913,3278008,49372,5115677,8354381,351916,170030,443569,0,27557,8405201,9276148,93017,1047634,286939,1752139,23341,8354380,0.4,0.48,0.12,0,0,-,53465669,0,797353,797353,0,78265913,24808851,53457062,0,0,0,0,0,21895479,22724125,-828646,0,39900,0,39900,-,-,-,-,-,-,-,2102687,0,X,35384286,372429,0,0,0,372429,35011857,0,612095,612095,35623952,35256250,0,0,0,0,0,35256250,0,612095,612095,35868345,35256250,0,0,0,0,0,35256250,0,612095,612095,35868345
201940089349301129,596046500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,false,-,-,-,-,-,-,-,70778448,4470015,7959659,-973942,-2057906,-358128,79818146,62088288,3600545,8388063,-962835,-2064585,-270968,70778448,66598460,424056,-2119190,-864224,-1706923,-243951,62088228,61122533,3632708,4494346,-836246,-1649040,-165841,66598460,54539693,2158696,6878532,-787646,-1479198,-187544,61122533,0.12600,0.87400,-,false,false,-,123718497,-,9058157,9058157,-,122762590,43911842,78850748,-,30190867,13231462,16959405,-,29851341,15432406,14418935,-,14576127,10144875,4431252,83248063,-,-,-,-,-,-,21934274,-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
201900999349300535,370661494,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,253596,-,-,X,X,X,-,-,-,0,-,-,-,-,-,-,-,299257226,4205899,23564600,4618137,7383342,1385038,313641208,273959967,5716483,31425002,4462215,6231199,1150812,299257226,290974441,4723738,-9861018,4501081,6283379,1092734,273959967,290027789,4672749,7944275,4415750,6154178,1103444,290974441,269348388,3022307,28693464,4127721,5754706,1153943,290027789,0.53760,0.42110,0.04130,1,0,-,306559869,-,25151922,25151922,-,348583638,119062123,229521515,-,-,-,-,-,70494462,58221754,12272708,-,55791023,16177299,39613724,121584027,23752173,78140523,F,F,-,-,48049389,-,X,169300895,3035132,-,-,-63273918,-60238786,229539681,-,-671444,-671444,228868237,161017872,-,-,337519,-4768951,-4431432,165449304,-,63273918,63273918,228723222,161017872,-,-,337519,-4768951,-4431432,165449304,-,63273918,63273918,228723222
201900999349300230,750983821,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2547648,-,760801,760801,-,4456613,3007091,1449522,-,-,-,-,-,1375477,1083356,292121,-,45204,-,45204,-,-,-,-,-,-,263559,251080,-,-,3306443,-,3138,-,22979,26117,3280326,-,180269,180269,3460595,3198083,3138,-,-,14324,17462,3180621,-,180269,180269,3360890,3198083,3138,-,-,14324,17462,3180621,-,180269,180269,3360890
201930099349300203,231424055,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,645957,7000,851,-,-,-,653808,637399,7000,1558,-,-,-,645957,632572,5500,-673,-,-,-,637399,626561,5500,511,-,-,-,632572,618238,5475,2848,-,-,-,626561,-,-,-,0,0,-,4876443,-,1028178,1028178,-,15343467,13498538,1844929,-,891781,-,891781,-,7763123,6651568,1111555,-,-,-,-,-,-,-,-,-,2124618,-,1076540,-,X,25223873,110513,-,-,257109,367622,24856251,-,11296279,11296279,36152530,23960258,-,-,-,257109,257109,23703149,-,11296279,11296279,34999428,23960258,-,-,-,257109,257109,23703149,-,11296279,11296279,34999428
