object_id,ein,RgnTxt,OfActvtsCndctdTxt,SpcfcSrvcsPrvddTxt,RgnTtlExpndtrsAmt
201931019349300333,141338498,Europe (Including Iceland and Greenland),PROGRAM SERVICES,SERVICE/ED/ATHLETICS,71642
201931019349300333,141338498,Central America and the Caribbean,PROGRAM SERVICES,SERVICE/ED/ATHLETICS,110758
201931019349300333,141338498,South America,PROGRAM SERVICES,SERVICE/ED/ATHLETICS,13398
201931019349300333,141338498,North America,Program Services,SERVICE/ED/ATHLETICS,3565
201931019349300333,141338498,Sub-Saharan Africa,Program Services,SERVICE/ED/ATHLETICS,15652
201931019349300333,141338498,East Asia and the Pacific,Program Services,SERVICE/ED/ATHLETICS,260
201931019349300333,141338498,South Asia,Program Services,SERVICE/ED/ATHLETICS,10717
201931019349300333,141338498,Europe (Including Iceland and Greenland),Program Services,SCHOLARSHIPS,1087425
201931019349300333,141338498,Middle East and North Africa,Program Services,SCHOLARSHIPS,83895
201931019349300333,141338498,South America,Program Services,SCHOLARSHIPS,259882
201931019349300333,141338498,Sub-Saharan Africa,Program Services,SCHOLARSHIPS,245162
201931019349300333,141338498,Central America and the Caribbean,Program Services,SCHOLARSHIPS,103300
201931019349300333,141338498,East Asia and the Pacific,Program Services,SCHOLARSHIPS,213345
201931019349300333,141338498,South Asia,Program Services,SCHOLARSHIPS,202000
201931019349300333,141338498,North America,Program Services,SCHOLARSHIPS,408481
201931019349300333,141338498,Europe (Including Iceland and Greenland),Program Services,STUDY ABROAD PROGRAM,761642
201931019349300333,141338498,East Asia and the Pacific,Program Services,STUDY ABROAD PROGRAM,60177
201931019349300333,141338498,Europe (Including Iceland and Greenland),Program Services,CONFERENCES,18798
201931019349300333,141338498,Middle East and North Africa,Program Services,CONFERENCES,455
201931019349300333,141338498,South America,Program Services,CONFERENCES,4496
201931019349300333,141338498,Central America and the Caribbean,Program Services,CONFERENCES,633
201931019349300333,141338498,South Asia,Program Services,CONFERENCES,651
201931019349300333,141338498,North America,Program Services,CONFERENCES,332
201931019349300333,141338498,Central America and the Caribbean,Investments,5279161
201931019349300218,910236600,CENTRAL AMERICA AND THE CARIBBEAN,0,0,INVESTMENTS,12598747
201931019349300218,910236600,CENTRAL AMERICA AND THE CARIBBEAN,0,0,PROGRAM SERVICES,EDUCATION,64747
201931019349300218,910236600,EAST ASIA AND THE PACIFIC,0,2,PROGRAM SERVICES,EDUCATION,799050
201931019349300218,910236600,EAST ASIA AND THE PACIFIC,0,0,GRANTMAKING,EDUCATION,37810
201931019349300218,910236600,EUROPE (INCLUDING ICELAND AND GREENLAND),1,49,PROGRAM SERVICES,EDUCATION,6946312
201931019349300218,910236600,EUROPE (INCLUDING ICELAND AND GREENLAND),0,0,GRANTMAKING,EDUCATION,94467
201931019349300218,910236600,MIDDLE EAST AND NORTH AFRICA,0,2,PROGRAM SERVICES,EDUCATION,90430
201931019349300218,910236600,MIDDLE EAST AND NORTH AFRICA,0,0,GRANTMAKING,EDUCATION,5416
201931019349300218,910236600,NORTH AMERICA (CANADA AND MEXICO),0,14,PROGRAM SERVICES,EDUCATION,457724
201931019349300218,910236600,SOUTH AMERICA,0,3,PROGRAM SERVICES,EDUCATION,285579
201931019349300218,910236600,SOUTH ASIA,0,0,PROGRAM SERVICES,EDUCATION,62581
201931019349300218,910236600,SUB-SAHARAN AFRICA,0,0,GRANTMAKING,EDUCATION,9650
201931019349300218,910236600,SUB-SAHARAN AFRICA,0,8,PROGRAM SERVICES,EDUCATION,307077
201900809349300610,480547702,Europe (Including Iceland and Greenland),Program Services,STUDENT STUDY ABROAD,68807
201900809349300610,480547702,SUB-SAHARAN AFRICA,Program Services,STUDENT STUDY ABROAD,34279
201900809349300610,480547702,North America,Program Services,STUDENT STUDY ABROAD,22932
201900809349300610,480547702,Central America and the Caribbean,Investments,4952601
201940089349301129,596046500,EAST ASIA AND THE PACIFIC,1,7,PROGRAM SERVICE,STUDENT RECRUITMENT,82164
201940089349301129,596046500,SOUTH ASIA,3,PROGRAM SERVICE,STUDENT RECRUITMENT,22500
201940089349301129,596046500,EUROPE,1,PROGRAM SERVICE,STUDENT RECRUITMENT,7500
201900999349300535,370661494,EUROPE,0,0,PROGRAM SERVICES,STUDY ABROAD,243588
201900999349300535,370661494,EAST ASIA & PACIFIC,0,0,PROGRAM SERVICES,CPA EXAM TESTING,31326
201900999349300535,370661494,CENTRAL AMERICA AND THE CARIBBEAN,0,0,PROGRAM SERVICES,STUDY ABROAD,12417
201940569349300119,470376524,CENTRAL AMERICA AND THE CARIBBEAN,0,0,INVESTMENTS,N/A,5629298
201930509349300228,750851900,EUROPE (INCLUDING ICELAND & GREENLAND),1,1,PROGRAM SERVICES,HIGHER EDUCATION,663700
201930749349300603,840402707,Central America and the Caribbean,2,Program Services,Fieldwork,667
201930749349300603,840402707,Central America and the Caribbean,11,Program Services,"Service Learning, Tour",22047
201930749349300603,840402707,Sub-Saharan Africa,1,Program Services,Presentation,1602
201930749349300603,840402707,Sub-Saharan Africa,11,Program Services,Learning Experience,35461
201930749349300603,840402707,Europe (Including Iceland and Greenland),1,Program Services,holocaust conference,2249
201930749349300603,840402707,Central America and the Caribbean,11,Program Services,fieldwork,14409
201930749349300603,840402707,South America,2,Program Services,conference,5925
201930749349300603,840402707,North America,22,Program Services,basketball tour,26777
201930749349300603,840402707,Europe (Including Iceland and Greenland),5,Program Services,debate competition,5142
201930749349300603,840402707,East Asia and the Pacific,3,Program Services,sign agreement,16602
201930749349300603,840402707,East Asia and the Pacific,2,Program Services,teach mgmt course,3679
201930749349300603,840402707,Central America and the Caribbean,16,Program Services,community svc project,23987
201930749349300603,840402707,Central America and the Caribbean,16,Program Services,service learning,20878
201930749349300603,840402707,North America,1,Program Services,Asa conference,2700
201930749349300603,840402707,South America,12,Program Services,immersion trip,20745
201930749349300603,840402707,Sub-Saharan Africa,1,Program Services,visit refugee camps,3183
201930749349300603,840402707,Europe (Including Iceland and Greenland),1,Program Services,board meeting,4356
201930749349300603,840402707,Central America and the Caribbean,1,Program Services,immersion program,1043
201930749349300603,840402707,Europe (Including Iceland and Greenland),17,Program Services,residency & workshops,9134
201930749349300603,840402707,Europe (Including Iceland and Greenland),4,Program Services,mission trip,6719
201930749349300603,840402707,Sub-Saharan Africa,1,Program Services,recruitment & research,2888
201930749349300603,840402707,Europe (Including Iceland and Greenland),3,Program Services,retreat/pilgrimage,12114
201930749349300603,840402707,Central America and the Caribbean,Investments,1475581
201930459349300823,222586208,Sub-Saharan Africa,0,0,Program Services,Academic program in Botswana,51220
201930459349300823,222586208,Europe (including Iceland and Greenland),0,0,Program Services,Academic program in Scotland,39335
201930459349300823,222586208,Europe (including Iceland and Greenland),0,0,Program Services,Academic program in England,22563
201930459349300823,222586208,Central America and the Caribbean,0,0,Program Services,Academic program in Costa Rica,11915
201930459349300823,222586208,Europe (including Iceland and Greenland),0,0,Program Services,Academic program in Germany,33120
201930459349300823,222586208,Europe (including Iceland and Greenland),0,0,Program Services,Academic program in the Netherlands,18454
201930659349300838,520591694,"CENTRAL AMERICA AND THE CARIBBEAN - ANTIGUA & BARBUDA, ARUBA, BAHAMAS,",0,0,PROGRAM SERVICES,INTERNATIONAL STUDY ABROAD,9455
201930659349300838,520591694,"EUROPE (INCLUDING ICELAND & GREENLAND) - ALBANIA, ANDORRA, AUSTRIA, BELGIUM",0,0,PROGRAM SERVICES,INTERNATIONAL STUDY ABROAD,129639
201930659349300838,520591694,"SOUTH AMERICA - ARGENTINA, BOLIVIA, BRAZIL, CHILE, COLUMBIA, ECUADOR,",0,0,PROGRAM SERVICES,INTERNATIONAL STUDY ABROAD,35320
201930659349300838,520591694,"MIDDLE EAST AND NORTH AFRICA - ALGERIA, BAHRAIN, DJIBOUTI, EGYPT,",0,0,PROGRAM SERVICES,INTERNATIONAL STUDY ABROAD,23074
