object_id,ein,NnCshChckbxInd,Dsc,CntrbtnCnt,NncshCntrbtnsRptF990Amt
201931019349300333,141338498,X,Hot Water Maker,1,12000,FMV
201931019349300333,141338498,X,Lab Equipment,1,15500,FMV
201931019349300333,141338498,X,Scientific Instruments,1,500,FMV
201931019349300333,141338498,X,Misc Items,3,956,FMV
201931019349300218,910236600,X,EQUIP & SUPPLIES,10,29409,APPRAISAL & COST OF
201900609349300805,980042539,X,Insurance Premium,6,8134,Value of Premiums
201940089349301129,596046500,X,EDUCATION EQUIP,15,28347,APPRAISAL/COST
201940089349301129,596046500,X,SPORTING ACCESS,2,2622,APPRAISAL/COST
201900999349300535,370661494,X,USE OF AUTOS,12,63621,LEASE VALUE
201900999349300535,370661494,X,ACADEMIC SUPPORT,12,29983,RECEIPTS
201900999349300535,370661494,X,PARENT'S BOARD,72,13694,RECEIPTS
201900999349300535,370661494,X,ATHLETIC SUPPORT,3,2979,RECEIPTS
201940569349300119,470376524,X,GOLF,6,6550,ESTIMATED VALUE
201930509349300228,750851900,X,MINERAL INTEREST,1,40000,EST. VALUE
201930509349300228,750851900,X,LIFE INSURANCE,1,39703,CASH VALUE
201930509349300228,750851900,X,CEMETARY PLOT,1,10000,EST. VALUE
201930749349300603,840402707,X,free standing tub,1,8855,Market Value
201930749349300603,840402707,X,"food, bev, a/v equipment",1,4230,market value
201930609349301043,930386890,X,FURNISHINGS,1,8282
201920089349300847,381627600,X,Musical Instruments,6,3230,Various
201920089349300847,381627600,X,Classroom Equipment,2,15035,Appraisal
201920089349300847,381627600,X,Shipping Container,1,4500,Invoice
201900799349300340,540505922,X,Dinner for Board of Trustees,1,1280,FMV
201900799349300340,540505922,X,Miscellaneous,38,3011,FMV
201910429349300411,135596846,X,SERVICES,1,23000000,COMPARABLE SALES
201910429349300411,135596846,X,EQUIPMENT,2,1173000,COMPARABLE SALES
201910429349300411,135596846,X,INSURANCE,1,7375,COMPARABLE SALES
201930869349300133,930386858,X,SUPPLIES,147,9233,COST
201930869349300133,930386858,X,MISCELLANEOUS,11,7609,COST
201930869349300133,930386858,X,EQUIPMENT,3,7199,COST
201930869349300133,930386858,X,MUSICAL INSTRUMENTS,1,3400,APPRAISAL
201910889349300616,042111203,X,Art supplies,2,188,sales proceeds
201930949349300013,221487354,X,Misc Equipment,2,179050,FMV
201930949349300013,221487354,X,"FOOD,BEV& OTHER",4,13456,fmv
201920119349300102,131916574,X,EQUIPMENT,1,28455,COST
201920119349300102,131916574,X,SUPPLIES/SUPPLEMENTS,3,21654,COST
201920119349300102,131916574,X,LICENSE FEE,1,18000,COST
201920119349300102,131916574,X,EQUIPMENT LEASE,1,7058,COST
201920919349300307,340714687,X,PIANO,1,14300,APPRAISAL
201900889349300810,370673484,X,MISCELLANEOUS,1,6720,FAIR MARKET VALUE
201930659349300333,350868096,X,TECHNOLOGY,1,35100,FAIR MARKET VALUE
201900509349300600,750827421,X,gift cards,1,4080,FMV
201940459349300519,340868798,X,AUCTION ITEMS AND RAFFLE PRIZES,70,26773,DONOR ESTIMATED FMV
201910749349300116,941021164,X,Gift Cards/Certificates,66,9829,Cost
201930979349300603,620485733,X,EQUIMENT,1,5773,FAIR MARKET VALUE
201930979349300603,620485733,X,GIFT CERTIF.,4,886,FAIR MARKET VALUE
201930979349300603,620485733,X,FURNITURE,1,200,FAIR MARKET VALUE
201930329349300928,370681530,X,Signage,3,15200,Cost
201930329349300928,370681530,X,Software Dev.,1,11222,Cost
201930329349300928,370681530,X,Materials,1,10000,Cost
201930329349300928,370681530,X,Equip/Furn.,3,6289,FMV
201900079349300305,350868101,X,COMMODITIES,1,14597,SALES PRICE
201910919349300006,540505977,X,Other - equestrian horse,1,300000,appraisal
201910919349300006,540505977,X,Other - Horse trailer,1,5000,0
201910819349301026,510198454,X,BBQ Grill,1,3715,FMV
201930639349300998,956002998,X,BASEBALL FIELD RENOVATION MATERIALS & SERVICES,1,157046,CONTRACT VALUE
201900849349300505,462980755,X,SCHOOL FURNITURE,1,85807,FMV
201900849349300505,462980755,X,OTHER SCHOOL SUPPLIES,3,2330,FMV
201900849349300505,462980755,X,3-D PRINTER,1,1500,FMV
201900849349300635,344431169,X,LIVESTOCK-HORSES,36,3041278,Other
201900849349300635,344431169,X,"((2) 3D printers, furniture, miscellaneous lab equipment and meals for events and student functions",58,150539,Cost
201910329349301231,751081109,X,EDUCATIONAL SUPPLIES AND EQUIPMENT,2,121240,FMV
201910329349301231,751081109,X,EDUCATIONAL SUPPLIES AND EQUIPMENT,1,238415,APPRAISAL
201940999349300919,350868086,X,Equipment,4,3260,Market value
201940999349300919,350868086,X,Supplies,9,1329,Market value
201833179349306403,420681049,X,UNITY 3D 50-LICENSES,1,21000,ACTUAL
201833179349306403,420681049,X,PORTA PHONE,1,5453,ACTUAL
201833179349306403,420681049,X,AUCTION ITEMS,3,500,ACTUAL
201833179349306403,420681049,X,MEALS,7,231,ACTUAL
201833179349306403,420681049,X,GIFT CARD,1,100,ACTUAL
201900929349300835,250965430,X,Miscellaneous,5,22489,FMV
201940149349300984,610660795,X,PRINTING,4,5305,DONOR PROVIDED
201940149349300984,610660795,X,ADVERTISING,1,3750,DONOR PROVIDED
201940149349300984,610660795,X,FURNITURE,1,2279,DONOR PROVIDED
201940149349300984,610660795,X,SANDWICH VOUCHERS/COUPONS,1,1250,DONOR PROVIDED
201920929349300012,541743079,X,PERSHING STOCK,1,50491
201900929349300865,240795495,X,EVENT PRIZES,7,1617,RECEIPTS
201900929349300865,240795495,X,SERVICE TRIP SUPPLIES,3,1255,RECEIPTS
201900929349300910,390808497,X,LIFE INCOME INTEREST,2,48372,FAIR MARKET VALUE
201900919349300420,410693979,X,MUSICAL INSTRUMENTS,2,47000,ESTIMATED FMV
201900919349300420,410693979,X,OTHER GIFTS IN KIND,12,2054,ESTIMATED FMV
