object_id,ein,DspstnOfAsstsDtl_AsstsDstrOrExpnssPdDsc,DspstnOfAsstsDtl_DstrbtnDt,DspstnOfAsstsDtl_FrMrktVlOfAsstAmt,DspstnOfAsstsDtl_MthdOfFMVDtrmntnTxt,DspstnOfAsstsDtl_EIN,DspstnOfAsstsDtl_PrsnNm,USAddrss_AddrssLn1Txt,USAddrss_CtyNm,USAddrss_SttAbbrvtnCd,USAddrss_ZIPCd,DspstnOfAsstsDtl_IRCSctnTxt
201920319349301202,860711495,Real property,2018-05-14,5834783,Cost,208667680,Bible Education Legacy Fund,7901 E Shea Blvd,Scottsdale,AZ,85260,501(c)(3)
201910099349300526,386080947,MAJOR MOVABLE EQUIPMENT,2017-12-15,541611,BOOK VALUE,274214240,THE SOLOMON FOUNDATION,16965 PINE LANE SUITE 200,PARKER,CO,80134,501(C)(3)
201910099349300526,386080947,CARPET MACHINE,2017-12-15,2293,BOOK VALUE,274214240,THE SOLOMON FOUNDATION,16965 PINE LANE SUITE 200,PARKER,CO,80134,501(C)(3)
201910099349300526,386080947,OFFICE EQUIPMENT,2017-12-15,837343,BOOK VALUE,274214240,THE SOLOMON FOUNDATION,16965 PINE LANE SUITE 200,PARKER,CO,80134,501(C)(3)
201910099349300526,386080947,COLLEGE VEHICLES,2017-12-15,129144,BOOK VALUE,274214240,THE SOLOMON FOUNDATION,16965 PINE LANE SUITE 200,PARKER,CO,80134,501(C)(3)
201910099349300526,386080947,JD MOVER AND EQUIPMENT,2017-12-15,56342,BOOK VALUE,274214240,THE SOLOMON FOUNDATION,16965 PINE LANE SUITE 200,PARKER,CO,80134,501(C)(3)
201902269349300845,061331677,CASH,2018-09-30,11648868,ACTUAL CASH,453358926,ASCENSION HEALTH ALLIANCE,PO BOX 45998,ST LOUIIS,MO,631455998,501(C)(3)
201902269349300845,061331677,"TRANSFER OF BUILDINGS, EQUIPMENT, SOFTWARE",2018-09-30,1743841,FMV,222554128,ST VINCENT'S DEVELOPMENT INC,95 MERRITT BOULEVARD,TRUMBULL,CT,06611,501(C)(3)
201902269349300845,061331677,"TRANSFER OF BUILDINGS, EQUIPMENT, SOFTWARE",2018-09-30,488616,FMV,060646886,ST VINCENT'S MEDICAL CENTER,2800 MAIN STREET,BRIDGEPORT,CT,066064201,501(C)(3)
201940449349300979,470384159,BUILDING AND LAND - 1311 SOUTH 9TH STREET,2018-06-22,1250000,ACTUAL SALES PRICE
201940449349300979,470384159,EXPENSE OF SALE - 1311 SOUTH 9TH STREET,2018-06-22,79848,FIXED EXPENSES
201940449349300979,470384159,VEHICLES,2018-06-30,9425,ACTUAL SALES PRICE
201940449349300979,470384159,FIXED ASSETS,2018-06-30,214098,ACTUAL SALES PRICE
201930399349300848,620814498,MERGER WITH BELMONT,2018-05-31,8000000,COMPARABLE,620465076,BELMONT UNIVERSITY,1900 BELMONT BOULEVARD,NASHVILLE,TN,37212,501(C)(3)
201930719349300818,561212691,BUILDINGS,2017-12-31,460051,BOOK VALUE,560775691,PENTECOSTAL FREE WILL BAPTIST CHURCH INC,1200 BUD HAWKINS ROAD,DUNN,NC,28334,501(C)(3)
201930719349300818,561212691,LAND,2017-12-31,8600,BOOK VALUE,560775691,PENTECOSTAL FREE WILL BAPTIST CHURCH INC,1200 BUD HAWKINS ROAD,DUNN,NC,28334,501(C)(3)
201930719349300818,561212691,EQUIPMENT,2018-06-30,25835,BOOK VALUE,560775691,PENTECOSTAL FREE WILL BAPTIST CHURCH INC,1200 BUD HAWKINS ROAD,DUNN,NC,28334,501(C)(3)
201930719349300818,561212691,LEASEHOLD IMPROVEMENTS,2018-06-30,87403,BOOK VALUE,560775691,PENTECOSTAL FREE WILL BAPTIST CHURCH INC,1200 BUD HAWKINS ROAD,DUNN,NC,28334,501(C)(3)
201931359349303213,340877803,SALE OF BUILDING/EQUIP,2018-04-02,5118972,BOOK VALUE,344431169,UNIVERSITY OF FINDLAY,1000 NORTH MAIN STREET,FINDLAY,OH,45840,3
201931359349304708,910654200,INVESTMENTS,2018-06-30,1357865,743258358,TRINITY EDUCATION FOUNDATION,215 W MUKILTEO BLVD SUITE 205,EVERETT,WA,98203,501C3
201901039349300015,043250289,EDUCATIONAL PROGRAMS AND CURCILLIA,2018-02-01,243000,OUTSTANDNIG OFFERS,203020510,NEW ENGLAND COLLEGE OF BUSINESS AND FINANCE LLC,10 HIGH STREET 204,BOSTON,MA,02110,LIMITED LIABILITY COMPANY
201901039349300015,043250289,PROPERTY AND EQUIPMENT,2018-01-31,998000,APPRAISAL,832342092,OCB FALMOUTH AND FRAMINGHAM REAL ESTATE LLC,50 STANFORD ST SUITE 600,BOSTON,MA,02114,LIMITED LIABILITY COMPANY
201911359349311976,741339050,NOTE RECEIVABLE,2017-11-28,250955,COST,CONGREGATIONAL METHODIST CHURCH,PO ST OFFICE BOX 9,FLORENCE,MS,39073,501(C)(3)
201911359349311976,741339050,LAND AND BUILDINGS,2017-11-28,150000,FMV,CONGREGATIONAL METHODIST CHURCH,POST OFFICE BOX 9,FLORENCE,MS,39073,501(C)(3)
201941359349302229,381358399,"CAMPUS LAND, BUILDINGS, AND IMPROVEMENTS",2018-02-01,6147608,NET BOOK VALUE,822782819,MARYGROVE CONSERVANCY,8425 W MCNICHOLS RD,DETROIT,MI,48221,501(C)(3)
