object_id,ein,RltdOrgnztnNm_BsnssNmLn1Txt,USAddrss_AddrssLn1Txt,USAddrss_CtyNm,USAddrss_SttAbbrvtnCd,USAddrss_ZIPCd,IdRltdOrgTxblPrtnrshp_EIN,IdRltdOrgTxblPrtnrshp_PrmryActvtsTxt,IdRltdOrgTxblPrtnrshp_LglDmclSttCd,DrctCntrllngEnttyNm_BsnssNmLn1Txt,IdRltdOrgTxblPrtnrshp_PrdmnntIncmTxt,IdRltdOrgTxblPrtnrshp_ShrOfTtlIncmAmt,IdRltdOrgTxblPrtnrshp_ShrOfEOYAsstsAmt,IdRltdOrgTxblPrtnrshp_DsprprtntAllctnsInd,IdRltdOrgTxblPrtnrshp_GnrlOrMngngPrtnrInd,IdRltdOrgTxblPrtnrshp_OwnrshpPct
201930659349300838,520591694,WMC CONFERENCE CENTER LP,2 COLLEGE HILL,WESTMINSTER,MD,21157,521698697,HOTEL SERVICES,MD,N/A
201900929349300910,390808497,BELOIT POWERHOUSE LLC,700 COLLEGE ST,BELOIT,WI,53511,820908061,OWNING & RENOVATING PROPERTY,WI,BELOIT COLLEGE,-154,1786,0,1,0.00010
201900929349300910,390808497,POWERHOUSE MASTER TENANT LLC,700 COLLEGE ST,BELOIT,WI,53511,823813413,OWNING & RENOVATING PROPERTY,WI,BELOIT POWERHOUSE HOLDINGS II,16398,0,1,0.01000
201910889349300401,231352641,GETTYSBURG HOTEL INVESTORS LP,ONE LINCOLN SQUARE,GETTYSBURG,PA,17325,232571553,REAL ESTATE,PA,SEE PART VII,EXCL. UNDER 512(B)13,675066,4821536,false,false
201900709349300125,340714629,KBS LLC,275 Eastland Rd,Berea,OH,44017,454564521,Real Estate,OH,KBS Manager,RELATED,48219,3810061,false,true,0.90000
201900709349300125,340714629,KBS Master Tenant LLC,275 Eastland Rd,Berea,OH,44017,463088020,Real Estate,OH,KBS Manager,RELATED,-51,66,false,true,0.00100
201900849349301455,942356338,COMMONS AT FAIR OAKS,9200 FAIR OAKS BLVD,FAIR OAKS,CA,95628,471623128,HOLDING SCHOOL REAL PROPERTY,CA,RUDOLF STEINER COLLEGE,RELATED,-196613,3624956,0,1,0.51000
201910929349300631,951643992,CHAPMAN FILMED ENTERTAINMT LLC,ONE UNIVERSITY DRIVE,ORANGE,CA,92866,454860703,FILM PRODUCTION,DE,CUE,false,0
201930869349300018,581216007,Life Health Systems,1 Baltimore Pl NW Ste 100,Atlanta,GA,30308,813982026,HEALTHCARE,GA,NA,NA,0,0,false,0,true,0.00000
201930809349300813,135562314,PACE UNIV FUND LP,125 HIGH ST,BOSTON,MA,02110,463422188,INVESTMENTS,DE,PACE UNIVERSITY,EXCLUDED,4816752,133345971,false,-14263,false,0.99999
201900579349301350,540505892,E&H STATE INVESTOR LLC,30461 GARNAND DR,EMORY,VA,24327,812600783,REAL ESTATE INVESTMENT,VA,FOSS VA 2016 FUND LLC,Unrelated,30326,30326,0,1,0.01
201900579349301350,540505892,E&H MASTER TENANT LLC,30461 GARNAND DR,EMORY,VA,24327,812517927,RENTAL REAL ESTATE,VA,ENHANCED CAPITAL HTC FUND I LLC,Unrelated,-1570,54005,0,1,0.01
201900579349301350,540505892,E&H LANDLORD LLC,30461 GARNAND DR,EMORY,VA,24327,475488168,RENTAL REAL ESTATE,VA,E&H MANAGER LLC,Unrelated,-580747,26297804,0,1,0.89
201833189349304138,363196629,DMA SURGERY CENER,2357 Sequoia Drive,AURORA,IL,60506,363890298,MEDICAL SRVCS,IL,NA
201920579349300612,430652667,COREST CV,REAL ESTATE,NL,NA,Related,false,false,0
