object_id,ein,DsrgrddEnttyNm_BsnssNmLn1Txt,DsrgrddEnttyNm_BsnssNmLn2Txt,USAddrss_AddrssLn1Txt,USAddrss_CtyNm,USAddrss_SttAbbrvtnCd,USAddrss_ZIPCd,IdRltdTxExmptOrg_EIN,IdRltdTxExmptOrg_PrmryActvtsTxt,IdRltdTxExmptOrg_LglDmclFrgnCntryCd,IdRltdTxExmptOrg_ExmptCdSctnTxt,IdRltdTxExmptOrg_DrctCntrllngNACd,IdRltdTxExmptOrg_CntrlldOrgnztnInd
201931019349300218,910236600,GONZAGA LAW SCHOOL FOUNDATION,PO BOX 3528,SPOKANE,WA,992203528,237052227,PROVIDE REVENUE TO THE LAW SCHOOL,WA,501(C)(3),LINE 7,N/A,1
201931019349300218,910236600,GONZAGA UNIVERSITY TELECOMMUNICATIONS ASSOCIATION,C/O ROBERT LYONS SJ 502 E BOONE AVE,SPOKANE,WA,99258,911709892,EDUCATION ITFS TELEVISION & FM RADIO BROADCASTING,WA,501(C)(3),"LINE 12A, I",N/A,1
201940089349301129,596046500,FIT MUSEUM OF ART INC,150 W UNIVERSITY BLVD,MELBOURNE,FL,32901,591804524,MUSEUM,FL,501,10,N/A,false
201940799349300809,383001876,Christian Reformed Church in North America,1700 28th St SE,Grand Rapids,MI,49508,382051351,Church,MI,Section 501(c)(3),Section 170(b)(1)(A),N/A,0
201940799349300809,383001876,Calvin College,3201 Burton St SE,Grand Rapids,MI,49546,383071514,School,MI,501(c)(3),170(b)(1)(A),N/A,0
201900519349300615,237133739,Higher Education Servicing Corporation,4381 W Green Oaks Blvd,Suite 200,Arlington,TX,76016,751661098,Program administration and Student Loan Servicer,TX,501(C)(3),12C,N/A,0
201930509349300228,750851900,ACIMCO,214 HUNTER WELCOME CT ACU BOX 29125,ABILENE,TX,79699,263598377,INVESTMENT MANAGEMENT FOR ACU,TX,501(C)3,11 TYPE I,ABILENE CHRISTIAN UNIVERSITY,0
201930509349300228,750851900,GRACE L WOODWARD MEMORIAL ENDOWMENT,BOX 29125 ACU STATION,ABILENE,TX,79699,752700815,SUPPORT ACU,TX,501(C)3,11 TYPE I,ABILENE CHRISTIAN UNIVERSITY,0
201930749349300603,840402707,REGIS JESUIT HOLDINGS INC,3333 REGIS BLVD,DENVER,CO,80221,840847714,HOLDING TITLE,CO,501(C)(2),REGIS UNIV,true
201930459349300823,222586208,Denny Family Foundation,19 River Road South,Putney,VT,05346,043380697,Provide Scholarships to Landmark College students,VT,501c(3),YES,Landmark College Inc
201900159349300855,362167773,LEWIS UNIVERSITY ENDOWMENT FUND INC,ONE UNIVERSITY PARKWAY,ROMEOVILLE,IL,60441,510183519,ORGANIZATION IS DORMANT,IL,509(A)(3),0
201920089349300847,381627600,General Conference of SDA,12501 Old Columbia Pike,Silver Spring,MD,20904,Headquarters of Seventh-day Adventist Church,MD,501 c 3,Church,N/A,0
201920089349300847,381627600,Lake Union Conference of SDA,Sharyl Turon,8450 M-139,Berrien Springs,MI,49103,Regional Headquarters of SDA Church,MI,501 c 3,Church,N/A,0
201920089349300847,381627600,Michigan Conference of SDA,5801 W Michigan Avenue,Lansing,MI,48917,Michigan Headquarters of SDA Church,MI,501 c 3,Church,N/A,0
201920089349300847,381627600,North American Division of SDA,9705 Patuxent Woods Drive,Columbia,MD,21046,Divisional Headquarters of SDA Church,MD,501 c 3,church,N/A,0
201920089349300847,381627600,Center for Youth Evangelism,4145 East Campus Circle Drive,Berrien Springs,MI,49104,273294817,Youth Evangelism,MI,501 c 3,church,Andrews University,0
201920089349300847,381627600,Andrews Broadcasting Corp,Lawrence Schalk,4150 Administration Drive,Berrien Springs,MI,49104,381946646,Radio Station,MI,501 c 3,Andrews University,0
201900799349300340,540505922,Historic Sandusky Foundation Inc,757 Sandusky Drive,Lynchburg,VA,24502,542014523,Preserve and maintain historical property,VA,501(c)(3),9,University of Lynchburg,in Virginia,0
201900809349300240,030482006,AVE MARIA COLLEGE,5050 AVE MARIA BLVD,AVE MARIA,FL,34142,383415373,"AVE MARIA COLLEGE CEASED OPERATIONS 6/30/07 AND MOVED TO AVE MARIA, FL",MI,501(C)(3),SEC 170(B)(1)(A),AMU OWNS 100 OF AMC STOCK,0
201900809349300240,030482006,AVE MARIA UNIVERSITY LAND TRUST,5050 AVE MARIA BLVD,AVE MARIA,FL,34142,200154974,SUPPORTING ORGANIZATION TO AVE MARIA UNIVERSITY,FL,501(C)(3),509(A)(3),0
201910889349300616,042111203,Jonas Realty Corp,950 Main Street,Worcester,MA,01610,475234687,Support the Trustees of Clark University and similar nonprofit entities under Section 501(c)(3).,MA,501(c)(3),11c III FI,Trustees of Clark University,1
201900929349300135,452208063,FUTURE GENERATIONS INC,390 ROAD LESS TRAVELED,FRANKLIN,WV,26807,541651305,CONSERVATI,WV,501C3,7,N/A,false
201930659349300333,350868096,INDEPENDENT COLLEGES OF INDIANA,30 SOUTH MERIDIAN STREET,INDIANAPOLI,IN,46204,310901001,EDU SUPPORT,IN,501(C)3,12A TYPE I,NA,false
201900509349300600,750827421,Dallas Seminary Foundation,3909 Swiss Avenue,Dallas,TX,75204,752188543,Foundation,TX,501c3,7,N/A,false
201910749349300116,941021164,Fresno Pacific University Foundation,1717 South Chestnut Ave,Fresno,CA,93702,770139570,Providing assistance and benefits to the University,CA,501(c)(3),"Line 12a, I",N/A,0
201910749349300116,941021164,MBBS-US Inc,1717 South Chestnut Ave,Fresno,CA,93702,272515130,To support Fresno Pacific University - Biblical Seminary,CA,501(c)(3),Line 7,N/A,0
201930959349300628,042103585,LASELL VILLAGE,120 SEMINARY AVE,AUBURNDALE,MA,02466,223042122,RESIDENTIAL CARE,MA,501(C)(3),LINE 10,LASELL INC,0
201930959349300628,042103585,LASELL INC,1844 COMMONWEALTH AVE,NEWTON,MA,024662716,861070319,ADMINISTRATIVE SUPPORT,MA,501(C)(3),"LINE 12B, II",N/A,0
201931009349300028,800477644,The Chicago School - California Inc,617 W 7th Street,Los Angeles,CA,90017,900394713,Education,CA,501(c)(3),Line 2,TCS Education System,0
201931009349300028,800477644,The Chicago School of Professional Psychology,325 North Wells,Chicago,IL,60654,363005527,Education,IL,501(c)(3),Line 2,The Chicago School - California Inc,1
201931009349300028,800477644,TCSPP Counseling Centers,1990 Westwood Blvd Suite 330,Los Angeles,CA,90025,952556403,Education,CA,501(c)(3),Line 2,The Chicago School - California Inc,1
201931009349300028,800477644,Pacific Oaks Education Corporation,45 Eureka Street,Pasadena,CA,91103,951716809,Education,CA,501(c)(3),Line 2,TCS Education System,0
201931009349300028,800477644,Santa Barbara & Ventura Colleges of Law,4475 Market Street,Ventura,CA,93003,952592468,Education,CA,501(c)(3),Line 2,TCS Education System,0
201931009349300028,800477644,TCS Education System,203 N LaSalle Street Suite 1900,Chicago,IL,60601,270717860,Supporting Organization,IL,501(c)(3),"Line 12b, II",N/A,0
201931009349300028,800477644,TCS Education - Texas Inc,203 N LaSalle Street Suite 1900,Chicago,IL,60601,364769956,Education,TX,501(c)(3),Line 2,TCS Education System,0
201931009349300028,800477644,Saybrook University,475 14th Street,Oakland,CA,94612,942155109,Education,CA,501(c)(3),Line 2,TCS Education System,0
201900079349300305,350868101,INDEPENDENT COLLEGES OF INDIANA INC,30 S MERIDIAN ST STE 800,INDIANAPOLIS,IN,46204,310901001,EDUCATION,IN,501(C)(3),12A,NA,false
201900079349300305,350868101,LIFESPRING COUNSELING LLC,2303 COLLEGE AVE,HUNTINGTON,IN,46750,473911511,CLINIC,IN,501(C)(3),10,HUNTINGTON U,true
201940159349301154,060647016,SEVENTY SEVEN SHERMAN ST PRESERVATION TRUST INC,77 SHERMAN STREET,HARTFORD,CT,06105,061501955,FUNDRAISING FOR BUILDING RENOVATIONS,CT,501(C)(3),"LINE 12A, I",HARTFORD SEMINARY,1
201940159349301154,060647016,FUND FOR INTERFAITH UNDERSTANDING INC,77 SHERMAN STREET,HARTFORD,CT,06105,264389051,FUNDRAISING,CT,501(C)(3),"LINE 12A, I",HARTFORD SEMINARY,1
201910819349301026,510198454,Diocese of the Armenian Church,630 Second Avenue,New York,NY,10016,131628202,CHURCH ENTITY,NY,501(c)(3),None
201930639349300998,956002998,VANUGARD UNIVERSITY FOUNDATION,55 FAIR DRIVE,COSTA MESA,CA,92626,912764193,UNIVERSITY ENDOWED SCHOLARSHIP PROGRAMS,CA,501(C)(3),"LINE 12A, I",VANGUARD UNIVERSITY OF SOUTHERN CALIFORNIA,1
201930639349300998,956002998,SOUTHERN CALIFORNIA DISTRICT COUNCIL OF THE ASSEMBLIES OF GOD,17951 COWAN,IRVINE,CA,92614,A DISTRICT OF THE GENERAL COUNCIL OF THE ASSEMBLIES OF GOD (USA),CA,501(C)(3),LINE 1,N/A,0
201900919349300850,160755807,NIAGARA UNIVERSITY ICE COMPLEX INC,PO BOX 2002 ALUMNI HALL,NIAGARA UNIVERSITY,NY,14109,161495560,COMMUNITY SKATING FACILITIES,NY,501C(3),LINE 11,NIAGARA UNIVERSITY,0
201920589349300117,990240539,UNIV OF THE NATIONS KONA FOUND,75-5851 KUAKINI HWY 433,KAILUAKONA,HI,96740,841567990,CHARITABLE,HI,501C3,12B,N/A,true
201930679349301138,390833608,Concordia University Wisconsin Foundation,12800 N Lake Shore Drive,Mequon,WI,53097,396077337,supporting organization fundraising,WI,501(c)(3),line 7,CUI,1
201930299349301258,650267991,FLORIDA ATLANTIC UNIVERSITY,777 GLADES ROAD,BOCA RATON,FL,33431,650385507,STATE UNIVERSITY,FL,501(C)(3),SEC 170(B)(1),0
201930749349301253,941339635,SIMPSON UNIVERSITY FOUNDATION,2211 COLLEGE VIEW DRIVE,REDDING,CA,96003,680274677,UNIVERSITY SUPPORT,CA,501(C)(3),LINE 7,SIMPSON UNIVERSITY,false
201833179349306403,420681049,SOUTHEASTERN IOWA SYNOD OF THE ELCA,2635 NORTHGATE DRIVE,IOWA CITY,IA,52244,363514254,RELIGIOUS,IL,501(C)3,1,N/A,0
201921009349300802,951684793,The Westmont College Foundation,955 La Paz Road,Santa Barbara,CA,93108,770000241,Fund raising,CA,501(c)(3),12b,Westmont College,1
201920849349300032,390806154,SCHOOL SISTERS OF NOTRE DAME,13105 WATERTOWN PLANK ROAD,ELM GROVE,WI,53122,390806379,SPONSORING ORGANIZATION OF MOUNT MARY UNIVERSITY,WI,501(C)(3),LINE 1,0
201930859349300928,131740445,DAYSPRINGCOLLEGE OF MOUNT SAINT VINCENT,6301 riverdale avenue,Riverdale,NY,10471,RETREAT,CT,501(c)(3),1,CMSV,true
201910889349300401,231352641,EMPLOYER-CONTRIBUTION VEBA TRUST,300 NORTH WASHINGTON STREET,GETTYSBURG,PA,17325,043838440,VEBA TRUST,PA,501(C)9,N/A,GETTYSBURG C,false
201910889349300401,231352641,EMPLOYEE-CONTRIBUTION VEBA TRUST,300 NORTH WASHINGTON STREET,GETTYSBURG,PA,17325,043838463,VEBA TRUST,PA,501(C)9,N/A,GETTYSBURG C,false
201910959349301001,560530242,COOPERATING RALEIGH COLLEGES,PO BOX 120,RALEIGH,NC,27607,237158371,SUPPORT MEMBER INSTITUTIONS,NC,501(C)(3),"LINE 12A, I",N/A,0
201900199349300800,626047697,CHEROKEE FARM DEVELOPMENT CORP,2450 EJ CHAPMAN DRIVE 216,KNOXVILLE,TN,37996,461180603,RESEARCH,TN,501C3,5,UTRF,true
201900199349300800,626047697,SPACE INSTITUTE RESEARCH,CORPORATION,411 BH GOETHERT PKWY,TULLAHOMA,TN,37388,453219071,RESEARCH,TN,501C3,5,UTRF,true
201900199349300800,626047697,COLLABORATIVE COMPOSIT SOLUTION,2360 CHERAHALA BLVD,KNOXVILLE,TN,37932,471612263,RESEARCH,TN,501C3,5,UTRF,true
201900199349300800,626047697,CLINICAL TRIAL NETWORK OF TENNESSEE,910 MADISON AVENUE SUITE 827,MEMPHIS,TN,38163,823632649,RESEARCH,TN,501C3,5,UTRF,true
201920169349300722,233069199,BUXMONT ACADEMY,PO BOX 283,PIPERSVILLE,PA,18947,232754354,PROVIDES ACADEMIC STUDIES FOR TROUBLED YOUTH,PA,501(C)(3),LINE 2,IIRP,0
201920169349300722,233069199,RESTORATIVE PRACTICES FOUNDATION,PO BOX 229,BETHLEHEM,PA,18016,203989329,SOLICITS FUNDS ON BEHALF OF IIRP,PA,501(C)(3),"LINE 12B, II",IIRP,0
201920169349300722,233069199,COMMUNITY SERVICE FOUNDATION,PO BOX 283,PIPERSVILLE,PA,18947,232041622,PROVIDES COUNSELING AND FOSTER CARE SERVICES FOR TROUBLED YOUTH,PA,501(C)(3),LINE 2,N/A,0
201920949349300927,520591661,MICA GRADUATE STUDIO CENTER INC,1300 MOUNT ROYAL AVE,BALTIMORE,MD,21217,274939807,SPECIAL RE,MD,501(C)(3),12A,MICA,true
201940459349301644,452926542,DRAGON SPRINGS BUDDHIST INC,140 GALLEY HILL RD,CUDDEBACKVILLE,NY,12729,RELIGOUS TEMPLE,NY,170(B)(A)(IV),501(C)(3),N/A,0
201910309349301041,521690609,HAWAII TOKAI INTERNATIONAL COLLEGE,91-971 FARRINGTON HIGHWAY,KAPOLEI,HI,96707,990255042,SCHOOL,HI,501(C)(3),LINE 2,N/A,0
201910309349301041,521690609,GAKKO HOJIN TOKAI DAIGAKU (TOKAI UNIVERSITY SYSTEM - JAPAN NONPROFIT),2-28-4 TOMIGAYA,SHIBUYAKU TOKYO,JA,151-8677,NON-PROFIT ORGANIZATION IN JAPAN THAT SUBSIDIZES HAWAII TOKAI INTERNATIONAL,JA,N/A,0
