object_id,ein,BsnssNm_BsnssNmLn1Txt,CntrctrCmpnstn_CmpnstnAmt
201923169349301547,340714585,DONLEYSTURNER JOINT VENTURE,5430 WARNER RD,CLEVELAND,OH,44125,CONSTRUCTION SERVICES,32153670
201923169349301547,340714585,IBM CORP,500 FIRST AVENUE,PITTSBURGH,PA,15219,INFORMATION TECHNOLOGY SYSTEMS SERVICES,27441466
201923169349301547,340714585,SIEMENS MEDICAL SOLUTIONS INC,PO BOX 121102,DALLAS,TX,75312,HEALTHCARE IT & ENGINEERING SERVICES,20547899
201923169349301547,340714585,WHITING-TURNER CONTRACTING CO,5875 LANDERBROOK DR STE 100,CLEVELAND,OH,44124,CONSTRUCTION SERVICES,11353709
201923169349301547,340714585,CARDINAL HEALTH,PO BOX 70539,CHICAGO,IL,60673,INTEGRATED HEALTHCARE SOLUTIONS,11152336
201903199349311455,111635088,PROGRESSIVE EMERGENCY PHYSICIANS LL,1236 RXR PLAZA,UNIONDALE,NY,11556,PHYSICIAN SERVICES,1878843
201903199349311455,111635088,ENCOPASS GROUP LLC,615 MACON STREET,MCDONOUGH,GA,30253,LAUNDRY SERVICES,1852161
201903199349311455,111635088,LI MINIMALLY INVASIVE SURG PC,3003 NEW HYDE PARK RD,NEW HYDE PARK,NY,11042,PHYSICIAN SERVICES,1517192
201903199349311455,111635088,COVIDIEN LP,15 HAMPSHIRE STREET,MANSFIELD,MA,02048,MEDICAL SUPPLIES,431069
201903199349311455,111635088,REMI HOLDINGS LLC,11325 N COMMUNITY HOUSE RD,CHARLOTTE,NC,28277,EQUIPMENT SERVICES,408757
201903579349300855,141463151,ADNET TECHNOLOGIES NY LLC,3 WASHINGTON SQ,ALBANY,NY,12205,TECHNOLOGY CONSULTING,590799
201903579349300855,141463151,DESMOND MEDIA,27 KAJEN DRIVE,DIAMOND POINT,NY,12824,ADVERTISING/MEDIA,161222
201933199349313523,953797687,GIA HONG KONG LABORATORY LIMITED,39 QUEENS ROAD CENTRAL,CENTRAL,HK,GRADING SERVICES,13567670
201933199349313523,953797687,ADS ALLIANCE DATA SYSTEMS INC,6021 CONNECTION DRIVE,IRVING,TX,75039,MARKETING SERVICES,8545956
201933199349313523,953797687,TATA CONSULTANCY SERVICES LIMITED,NIRMAL BUILDING NARIMAN POINT,MUMBAI,IN,IT SERVICES,3109511
201933199349313523,953797687,MALCA-AMIT USA LLC,580 FIFTH AVE,NEW YORK,NY,10036,POSTAGE/SHIPPING,2748926
201933199349313523,953797687,TATA AMERICA,12977 COLLECTIONS CENTER DRIVE,CHICAGO,IL,60693,IT SERVICES,2742592
201933199349301858,221487173,CROTHALL HEALTHCARE GROUP,1500 LIBERTY RIDGE DRIVE SUITE 210,WAYNE,PA,19087,ENVIRONMENTAL SVCS,7195130
201933199349301858,221487173,ENGLEWOOD CARDIAC SURGERY ASSOCIATE,350 ENGLE STREET,ENGLEWOOD,NJ,07631,PHYSICIAN SERVICES,3515318
201933199349301858,221487173,QUEST DIAGNOSTICS,PO BOX 740709,ATLANTA,GA,30374,LABORATORY SERVICES,2989129
201933199349301858,221487173,MED METRIX,9 ENTIN ROAD,PARSIPPANY,NJ,07054,CONSULTING SERVICES,2488740
201933199349301858,221487173,US SECURITY ASSOCIATES INC,PO BOX 931703,ATLANTA,GA,31193,SECURITY,1852336
201933199349307538,710236856,ARKANSAS CARDIOLOGY PA,9501 LILE DRIVE SUITE 600,LITTLE ROCK,AR,72205,PHYSICIAN SERVICES,27406251
201933199349307538,710236856,MEDEFIS INC,PO BOX 5068,NEW YORK,NY,100875068,MEDICAL SERVICES,17083572
201933199349307538,710236856,MEDICAL SERVICES GROUP LTD,904 AUTUMN ROAD SUITE 500,LITTLE ROCK,AR,722113702,MEDICAL SERVICES,8905936
