object_id,ein,Dsc,TtlRvnClmnAmt,RltdOrExmptFncIncmAmt
201932959349301018,850474926,TUITION AND FEES,49360,49360
201932959349301018,850474926,MISCELLANEOUS,111,111
201903199349311450,980149857,TUITION INCOME,611600,13819702,13819702
201903199349311450,980149857,BANANA/PLANTATION/AGRICULTURAL PRODUCT,611600,10699618,10699618
201903199349311450,980149857,SEMINARS,611600,1341297,1341297
201903199349311450,980149857,STUDENT RECRUITMENT,611600,214984,214984
201903199349311450,980149857,STUDENT & VISITOR TOURS/PROGRAMS,611600,427371,427371
201933369349300903,561388743,TUITION AND FEES,611310,1071948,1071948
201903579349300855,141463151,INSTRUCTION,611310,11218900,11218900
201903579349300855,141463151,ACADEMIC SUPPORT SERVICES,900099,412545,412545
201913189349302876,541854399,ROYALTY/LICENSE FEES,900099,2089526,2089526
201913189349302876,541854399,PATENT COST REIMBURSED,900099,138316,138316
201932959349300728,208434503,PROGRAM REVENUE,900099,214746,214746
201933579349300468,201730126,COLLEGE HORIZON FEES,611710,332738,332738
201933579349300468,201730126,TUITION,611710,57242,57242
201933129349303308,752760831,Tuition and fees,611310,1009957,1009957
201923179349308802,202884155,College Extension Program,611600,40462,40462
201923179349308802,202884155,"Tuition, books & fees",611600,101907,101907
201922899349300712,541851377,BETHEL COLLEGE,166417,166417
201922899349300712,541851377,POTOMAC SCHOOL OF MINISTRY,56433,56433
201923179349302332,954529650,EDUCATION PROGRAM REVENUES,611600,1342346,1342346
201912889349300246,344429091,TUITION AND FEES,611710,99639437,99639437
201912889349300246,344429091,AUXILIARY,611710,18922604,18922604
201912889349300246,344429091,OTHER INCOME,900099,1488648,1488648
201912849349301106,750891464,Tuition and Fees,611310,699959,699959,0,0
201912849349301461,480543782,STUDENT TUITION & FEES,611600,5686250,5686250
201912849349301461,480543782,ROOM & BOARD,611710,2697294,2697294
201912849349301461,480543782,AUXILIARY INCOME,611710,590772,590772
201943199349314699,205896451,Services,611710,176100,176100
201943529349300639,620481463,TUITION AND FEES,611710,4463499,4463499
201943529349300639,620481463,DINING HALL,611710,756625,756625
201943529349300639,620481463,DORMITORY,611710,484888,484888
201943529349300639,620481463,OTHER PROGRAM SERVICES,611710,80633,80633
201943529349300639,620481463,SNACKSHOP AND BOOKSTORE,611710,53333,53333
201913439349300841,620548913,INSTRUCTIONAL,611310,46575265,46575265
201913439349300841,620548913,STUDENT AND AUXILIARY SERVICES,611310,7416081,7416081
201913439349300841,620548913,BOOKSTORE INCOME,611310,706129,706129
201913519349300816,750827421,Tuition and Fees,611710,21165905,21165905
201913519349300816,750827421,Housing,721310,2704736,2704736
201913519349300816,750827421,Educational Activities,611710,442077,442077
201913519349300816,750827421,Bibliotheca Sacra,611710,108276,108276
201923169349305522,562454734,Tuition and Fees,813110,98235,98235,0,0
202020979349300507,221487354,TUITION & FEES,611600,265206413,265206413
202020979349300507,221487354,RESEARCH REVENUE,541610,32471999,32471999
202020979349300507,221487354,STUDENT HOUSING,611710,20861635,20861635
202020979349300507,221487354,STUDENT DINING,611710,9468479,9468479
202020979349300507,221487354,TECHNICAL LEADERSHIP INSTRUCTION,611600,620655,620655
202030989349301708,391353508,TUITION & FEES,611310,7776866,7776866
202030989349301708,391353508,USDE EXP REIMB,611310,6591,6591
202030989349301708,391353508,TRANSCRIPT FEE INCOME,611310,4131,4131
201943189349314139,473609601,TUITION,611600,1392831,1392831
201943189349314139,473609601,AUXILIARY,611600,95429,95429
201943189349314139,473609601,STUDENT FEES,611600,88350,88350
