SpclRlMtOn3rdSprtTstInd|For a section 501(c)(3) organization filing Form 990, or Form 990-EZ, that met the 33 1/3 % support test of the regulations under sections 509(a)(1)/170(b)(1)(A)(vi) and received from any one contributor, during the year, a contribution of the greater of $5,000 or 2% of the amount on line 1 of these forms
Orgnztn501cInd|Indicates a 501(c) organization
Orgnztn501c3ExmptPFInd|Organization 501(c)(3) exempt PF
TtCntrRcvdMr1000Ind|For a section 501(c)(7), (8), or (10) organization filing Form 990, or Form 990-EZ, that received from any one contributor, during the year, aggregate contributions or bequests of more than $1,000 for use exclusively for religious, charitable, scientific, literary, or educational purposes, or the prevention of cruelty to children or animals
TtCntrRcvdUpT1000Ind|For a section 501(c)(7), (8), or (10) organization filing Form 990, or Form 990-EZ, that received from any one contributor, during the year, some contributions for use exclusively for religious, charitable, etc., purposes, but these contributions did not aggregate to more than $1,000
Orgnztn527Ind|Indicates a 527 organization
Orgnztn49471NtPFInd|Indicates a 4947(a)(1) organization not treated as a private foundation
Orgnztn501c3TxblPFInd|Indicates a 501(c)(3) taxable private foundation
Orgnztn49471TrtdPFInd|Organization 4947(a)(1) treated as PF
GnrlRlInd|For organizations filing Form 990, or 990-EZ that received, during the year, $5000 or more (in money or property) from any one contributor
