object_id,ein,Dsc,Amt
201923169349301547,340714585,ACCRUED PENSION,629553740
201923169349301547,340714585,OTHER LIABILITIES,75315241
201923169349301547,340714585,ACCRUED BENEFITS,177329832
201923169349301547,340714585,FUTURE GIFT ANNUITY PAYMENTS,9079429
201923169349301547,340714585,DEFERRED ANNUITY TRUST,1033697
201923169349301547,340714585,INTEREST RATE SWAPS,110862741
201923169349301547,340714585,DUE TO AFFILIATES,604131260
201903199349311455,111635088,ESTIMATED MALPRACTICE LIABILITIES,61149504
201903199349311455,111635088,AMOUNTS DUE TO RELATED PARTIES,39764709
201903199349311455,111635088,OTHER SELF INSURANCE LIABILITY,14957538
201903199349311455,111635088,THIRD PARTY PAYOR LIABILITIES,7499279
201903579349300855,141463151,PROVIDENT LEASING - SIS ELLUCI,316033
201903579349300855,141463151,NDSL LOAN FUND,403914
201903579349300855,141463151,SIM MOM LEASE,85597
201933199349313523,953797687,ACCRUED PAYROLL,17443060
201933199349313523,953797687,OTHER CURRENT LIABILITIES,375063
201933199349313523,953797687,SALES & USE TAX PAYABLE,22534
201933199349313523,953797687,OTHER LONG TERM LIABILITIES,1280738
201933199349313523,953797687,ACCRUED PAID TIME OFF,7980948
201933199349313523,953797687,INTERCOMPANY ACCOUNTS,6294293
201933199349301858,221487173,DUE TO THIRD PARTY PAYORS,31774597
201933199349301858,221487173,ACCRUED PENSION & POST-RETIREMENT,0
201933199349301858,221487173,HEALTH LIABILITY,30416053
201933199349301858,221487173,ESTIMATED MALPRACTICE CLAIMS,3934955
201933199349301858,221487173,OTHER LIABILITIES,10858097
201933199349301858,221487173,DUE TO AFFILIATES,5000
201922899349300712,541851377,ACCRUED EXPENSES,1649
201933199349307538,710236856,THIRD PARTY SETTLEMENTS,1083000
201933199349307538,710236856,ADVANCE FROM AFFILIATES,1350000
201933199349307538,710236856,ASSET RETIREMENT OBLIGATIONS,16540683
201933199349307538,710236856,PENSION LIABILITY,39084000
201933199349307538,710236856,OTHER LIABILITIES,16384506
201943199349302004,160743102,ESTIMATED THIRD-PARTY PAYOR SETTLEMENTS,12137059
201943199349302004,160743102,ACCRUED PENSION LIABILITY,29183808
201943199349302004,160743102,DUE TO AFFILIATES,3071581
201943169349302724,541547408,DUE TO AFFILIATES,2012740
201943169349302724,541547408,OTHER LIABILITIES,21731059
201943169349302724,541547408,DUE TO 3RD PARTY PAYORS,10195061
201943169349302724,541547408,CAPITAL LEASE OBLIGATION,21308294
201943169349302724,541547408,GENERAL RESERVE,17122271
201912889349300246,344429091,US GOVT REFUNDABLE ADVANCES,9254880
201912889349300246,344429091,POSTRETIREMENT MEDICAL BENEFIT,8620062
201912889349300246,344429091,ANNUITIES AND TRUSTS PAYABLE,2486421
201912889349300246,344429091,OTHER,569452
201912849349301106,750891464,U.S.Gov't Loan Fund,79522
201912849349301106,750891464,"Accrued Compensation, Loan from Officers",85412
201912849349301461,480543782,DEPOSITS,376307
201912849349301461,480543782,ANNUITIES PAYABLE,189967
201943529349300639,620481463,STUDENT DEPOSITS AND AGENCY FUNDS,201555
