object_id,ein,NndscrmntryPlcyStmtInd,PlcyStmtInBrchrsEtcInd,PlcyPblczdVBrdcstMdInd,MntnRclCmpRcsInd,MntnSchlrshpsRcsInd,MntnCpyOfBrchrsEtcInd,MntnCpyOfAllSlInd,DscrmntRcStdntsRghtsInd,DscrmntRcAdmssPlcyInd,DscrmntRcEmplmFcltyInd,DscrmntRcSchsInd,DscrmntRcEdcPlcyInd,DscrmntRcUsOfFcltsInd,DscrmntRcAthltPrgInd,DscrmntRcOthrActyInd,GvrnmntFnnclAdRcvdInd,GvrnmntFnnclAdRvkdInd,CmplncWthRvPrc7550Ind
201932959349301018,850474926,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201903199349311450,980149857,true,true,false,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201933369349300903,561388743,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
201903579349300855,141463151,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201933129349303308,752760831,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
201923179349308802,202884155,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201922899349300712,541851377,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201923179349302332,954529650,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
201912889349300246,344429091,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201912849349301106,750891464,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
201912849349301461,480543782,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201943529349300639,620481463,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201913439349300841,620548913,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201913519349300816,750827421,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201923169349305522,562454734,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
202020979349300507,221487354,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
202030989349301708,391353508,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201943189349314139,473609601,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201932839349301028,616002351,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
202041979349305184,042103542,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
202041979349307414,951664112,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
202031969349302723,580603153,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
202021929349302767,820200907,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201912849349300401,381443369,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
202031019349301603,231937954,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
202041069349300824,160743040,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
202001909349302800,942340692,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201943169349302124,352194526,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
202041979349307769,824134296,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
202020699349301007,042111203,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
202020319349300222,620485733,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
202020849349300317,237428512,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201933269349301003,930386890,true,true,false,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
202030449349301658,610445823,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
202020639349301012,231627436,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201942949349301614,640579585,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
202042249349300309,980391928,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
202011689349300911,630312914,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
202001149349301525,951641455,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
202000799349300935,520705392,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201933369349300203,160909446,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
202011969349301031,936002614,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
202021539349200607,113284934,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
202010569349300701,560657294,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201913159349200771,020502992,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
201913119349301796,810231774,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
202010079349300536,362216176,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
202041369349305314,951664123,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
202040949349300014,560556753,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
202040229349300214,363157451,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
202000379349300105,131624158,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201923199349304272,581494136,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
202010919349301701,952962604,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
202030509349301018,942515428,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
202021399349300237,540573801,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
202011899349301786,050312747,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
202041419349301659,951699394,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
202001749349200145,822318499,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
201943199349319864,942933165,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
202021489349300987,420703280,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
202010729349300726,840402707,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
202041419349301764,941156566,-,-,-,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
202031369349300313,560623936,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
202031369349303828,020274509,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
202040839349300359,410694747,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
202041359349301949,591023117,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201933129349301853,042104451,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
202011919349301236,131624067,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
202041979349301854,210634501,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
202041979349307089,370661219,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
202010499349300046,381359083,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201913199349319751,541954969,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
202001369349301620,330413730,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
202021409349300347,362181973,true,true,true,true,true,true,true,false,false,false,-,false,false,false,false,true,false,true
202022309349302522,464588696,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
202030159349300018,420698196,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201903179349302475,160743126,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201903399349301020,237099472,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201923189349307612,203185510,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
201923199349305957,231352008,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
202030349349300348,271823146,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
202001849349200105,273936024,true,false,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
202020179349301217,650621012,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
202011959349303621,462470807,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
202021959349303612,050258810,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
202001919349303150,951644048,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201923609349300112,452208063,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
202041289349300339,274269892,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
202001949349300600,610444763,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
202020289349301607,596046500,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
202000079349302115,131916574,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
202020599349301402,956001907,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201923199349317357,264509303,true,true,false,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
202031639349200228,383782171,true,true,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,true
202001089349301300,741109631,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
202001749349301100,112357063,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
201913179349303806,522116241,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
202030699349301008,986001141,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1
202001429349300900,440545813,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
202041719349300524,381368367,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
202040599349301229,231501197,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
201942909349200309,205010701,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
202031689349300528,362593545,true,true,true,true,true,true,true,false,false,false,false,false,-,false,false,true,false,true
202000769349300545,350867954,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
202010219349301106,620502739,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
202020419349301207,620475689,true,true,false,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
202030429349300313,741400699,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
202010099349300401,061149131,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
202041349349303184,824445833,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
201922849349301677,341037893,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
202020629349300912,461812625,true,true,true,false,false,true,true,false,false,false,false,false,false,false,false,false,false,true
202000709349300415,620484185,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201903169349301975,240795439,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201933179349304883,420730347,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
202030489349300103,620535755,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
202020139349300717,381369604,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
202011059349300036,160755807,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
202001259349300000,953127273,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
202001699349301000,390980974,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201903189349302870,454620000,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
202041609349301424,340714363,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
