SlcttnOfGvtGrntsInd|Solicitation of government grants
SpclFndrsngEvntsInd|Special fundraising events
PhnSlcttnsInd|Phone solicitations
SlcttnOfNnGvtGrntsInd|Solicitation of non-govt grants
InPrsnSlcttnsInd|In-person solicitations
EmlSlcttnsInd|Email solicitations
MlSlcttnsInd|Mail solicitations
AgrmtPrfFndrsngActyInd|Did the organization have a written or oral agreement with any individual (including officers, directors, trustees or key employees listed in Form 990, Part VII) or entity in connection with professional fundraising activities?
TtlGrssRcptsAmt|Total gross receipts
TtlRtndByCntrctrsAmt|Total retained by contractors
TtlNtTOrgnztnAmt|Total net to organization
AllSttsCd|Literal for all states
