object_id,ein,LqdtnOfAsstsDtl_AsstsDstrOrExpnssPdDsc,LqdtnOfAsstsDtl_DstrbtnDt,LqdtnOfAsstsDtl_FrMrktVlOfAsstAmt,LqdtnOfAsstsDtl_EIN,USAddrss_AddrssLn1Txt,USAddrss_CtyNm,USAddrss_SttAbbrvtnCd,USAddrss_ZIPCd
201932959349300728,208434503,"COLORADO STATE UNIVERSITY VENTURES CASH AND CD ACCOUNTS, ACCOUNTS AND NOTES RECEIVABLE, PREPAID ASSETS, COMMON STOCK, AND FIXED ASSETS AFTER SATISFYING CURRENT DEBT OBLIGATIONS.",2019-06-30,1383618,BOOK VALUE,840600653,CSU RESEARCH FOUNDATION,PO BOX 483,FORT COLLINS,CO,80522,501(C)(3)
201913159349202366,910654200,CASH AND INVESTMENTS,2018-08-22,1008352,743258358,TRINITY EDUCATION FOUNDATION,215 W MUKILTEO BLVD SUITE 205,EVERETT,WA,98203,501C3
202020649349300537,311048513,All assets and liabilities,2019-06-30,629035,Audited financial statements were the basis for the distribution of the net assets to the College of Biblical Studies.,742016082,College of Biblical Studies,7000 Regency Square Boulevard,Houston,TX,77036,501(c)3
202000499349200910,320237828,"CASH, SAVINGS, AND INVESTMENTS",2019-03-31,1190638,NET REALIZABLE VALUE,271635830,ACHIEVING THE DREAM INC,8484 GEORGIA AVENUE SUITE 500,SILVER SPRING,MD,20910,501(C)(3)
202000499349200910,320237828,GRANTS AND OTHER ACCOUNTS RECEIVABLE,2019-03-31,209250,NET REALIZABLE VALUE,271635830,ACHIEVING THE DREAM INC,8484 GEORGIA AVENUE SUITE 500,SILVER SPRING,MD,20910,501(C)(3)
202000499349200910,320237828,PREPAID EXPENSES,2019-03-31,20681,NET REALIZABLE VALUE,271635830,ACHIEVING THE DREAM INC,8484 GEORGIA AVENUE SUITE 500,SILVER SPRING,MD,20910,501(C)(3)
202000499349200910,320237828,ACCRUED PAYROLL AND VACATION,2019-03-31,-30969,NET REALIZABLE VALUE,271635830,ACHIEVING THE DREAM INC,8484 GEORGIA AVENUE SUITE 500,SILVER SPRING,MD,20910,501(C)(3)
202000499349200910,320237828,SUB GRANT OBLIGATIONS,2019-03-31,-15000,NET REALIZABLE VALUE,271635830,ACHIEVING THE DREAM INC,8484 GEORGIA AVENUE SUITE 500,SILVER SPRING,MD,20910,501(C)(3)
202000499349200910,320237828,DEFERRED REVENUE,2019-03-31,-32055,NET REALIZABLE VALUE,271635830,ACHIEVING THE DREAM INC,8484 GEORGIA AVENUE SUITE 500,SILVER SPRING,MD,20910,501(C)(3)
202011059349200726,952556403,Leasehold Improvements,2019-10-23,53115,Net Book Value,900394713,The Chicago School - California Inc,707 Wilshire Blvd,Los Angeles,CA,90017,501(c)(3)
202011059349200726,952556403,Cash,2019-10-23,30571,Cash,900394713,The Chicago School - California Inc,707 Wilshire Blvd,Los Angeles,CA,90017,501(c)(3)
202021769349200307,823576544,There were no assets when the organization dissolved.,2019-12-31,No assets - N/A.,Not applicable,Akron,OH,44313
201933199349303913,472420967,ALL OF THE FIXED ASSETS WERE DONATED TO ISY-MYANMAR,2018-05-31,24429,ADJUSTED BASIS,000000000,ISY MYANMAR,20 SHWE TAUNGYAR STREEET,YANGON,BM,501(C)(3)
202002049349200425,300793395,Cash,2019-07-01,12651,330672915,11175 Campus Street Ste11120,Loma Linda,CA,92350
