object_id,ein,DrctrOfSccssrInd,EmplyOfSccssrInd,OwnrOfSccssrInd,RcvCmpnstnInd,AsstsDstrbtdInd,RqrdTNtfyAGInd,AttrnyGnrlNtfdInd,LbltsPdInd,BndsOtstndngInd,BndLbltsDschrgdInd,DrctrOfSccssr2Ind,EmplyOfSccssr2Ind,OwnrOfSccssr2Ind,RcvCmpnstn2Ind
201932959349300728,208434503,1,1,0,0,1,1,1,1,0,-,-,-,-,-
201913159349202366,910654200,1,0,0,0,1,1,1,1,0,-,-,-,-,-
201913199349319751,541954969,-,-,-,-,-,-,-,-,-,-,0,0,0,0
202020649349300537,311048513,1,1,0,0,1,1,1,1,0,-,-,-,-,-
201943189349314329,452586013,-,-,-,-,-,-,-,-,-,-,0,0,0,0
202021579349200212,352382445,false,false,false,true,true,false,-,true,false,-,-,-,-,-
202000499349200910,320237828,1,1,0,0,1,1,1,1,0,-,-,-,-,-
202011059349200726,952556403,1,1,0,0,1,1,1,1,0,-,-,-,-,-
202031789349300728,381358399,-,-,-,-,-,-,-,-,-,-,true,false,false,false
202031889349300823,470384159,-,-,-,-,-,-,-,-,-,-,0,0,0,0
202040509349300304,620544854,-,-,-,-,-,-,-,-,-,-,0,0,0,0
201943119349303019,930391547,-,-,-,-,-,-,-,-,-,-,0,0,0,0
202021769349200307,823576544,false,false,false,false,true,false,false,true,false,false,-,-,-,-
202001979349306785,860186050,-,-,-,-,-,-,-,-,-,-,0,0,0,0
202021189349300922,841123408,-,-,-,-,-,-,-,-,-,-,0,0,0,0
201933199349303913,472420967,0,0,0,0,1,0,0,0,0,-,-,-,-,-
202002049349200425,300793395,false,false,false,false,true,true,true,true,false,false,-,-,-,-
