object_id,ein,CntrctrNm_PrsnNm,USAddrss_AddrssLn1Txt,USAddrss_CtyNm,USAddrss_SttAbbrvtnCd,USAddrss_ZIPCd,CntrctrCmpnstn_SrvcsDsc,CntrctrCmpnstn_CmpnstnAmt
202033039349301753,221821292,INSURANCE MANAGEMENT AND CONSULTING LLC,540 MILL STREET,BELLEVILLE,NJ,07109,INSURANCE POLICY SERVICES,678865
202033039349301753,221821292,JOHNSTON COMMUNICATIONS,36 COMMERCE STREET,SPRINGFIELD,NJ,07081,TELECOMMUNICATIONS,512169
202033039349301753,221821292,MCGRAW-HILL GLOBAL EDUCATION LLC,860 TAYLOR STATION ROAD,BLACKLICK,OH,43004,EDUCATIONAL SERVICES,280051
202033039349301753,221821292,ELLUCIAN COMPANY LP,62578 COLLECTIONS CENTER DRIVE,CHICAGO,IL,60693,IT CONSULTING AND SUPPORT,258525
202033039349301753,221821292,CENGAGE LEARNING,27500 DRAKE ROAD,FARMINGTON HILLS,MI,48331,IT SUPPORT FOR DIGITAL LEARNING,255332
202100639349300445,381627600,Pan de Vida,PO Box 189,Berrien Springs,MI,491030189,International tour Direction,183300
202100639349300445,381627600,Tremco,PO Box 931111,Cleveland,OH,44193,Tuckpointing,132855
202100639349300445,381627600,Bon Appetit,2400 Yorkmont Rd,Charlotte,NC,28217,Food Service Management,2045561
202100639349300445,381627600,EBSCO Information Services,PO Box 1943,Birmingham,AL,35201,Library Subscription Services,290777
202100639349300445,381627600,MCLS Midwest Collaborative for Library Svc,6810 S Cedar St Ste 8,Lansing,MI,48911,Library Retrieval Services,388582
202121349349303522,042103552,SODEXO INC AFFILIATES,PO BOX 360170,PITTSBURGH,PA,152516170,Food Service,18341244
202121349349303522,042103552,Commodore Builders,404 Wyman Street Suite 400,WALTHAM,MA,02451,CONSTRUCTION,7717485
202121349349303522,042103552,ZVI Construction LLC,131 Dummer Street,BROOKLINE,MA,02446,Construction,2242052
202121349349303522,042103552,Collaborative Solutions LLC,11190 Sunrise Valley Drive Suite 1,RESTON,VA,20191,Consulting,1530648
202121349349303522,042103552,Signature Commercial Solutions,200 W Cypress Creek Road Suite 40,FORT LAUDERDALE,FL,33309,Consulting,1434535
202001019349300300,430654876,FRESH IDEAS,1000 W NIFONG BLVD,COLUMBIA,MO,65203,FOOD SERVICE,1540099
202001019349300300,430654876,ELLIANCE INC,600 RIVER AVE,PITTSBURGH,PA,15212,ADVERTISING/BRANDING,623620
202001019349300300,430654876,THE LEARNING HOUSE INC,427 S 4TH ST STE 300,LOUISVILLE,KY,40202,ONLINE LEARNING SERVICES,515444
202001019349300300,430654876,JENZABAR,PO BOX 55018,BOSTON,MA,02205,SOFTWARE MAINTENANCE,309932
202001019349300300,430654876,ALLIED UNIVRESAL SECURITY,PO BOX 828854,PHILADELPHIA,PA,19182,SECURITY SERVICES,207581
202001019349301400,340714818,PARKHURST DINING SERVICES,285 EAST WATERFRONT DR,HOMESTEAD,PA,15120,FOOD SERVICE,4362422
202001019349301400,340714818,FT STEUBEN MAINTENANCE,810 N 7TH STREET,STEUBENVILLE,OH,43952,CONSTRUCTION,4165217
202001019349301400,340714818,FRANCISCAN FRIARS TOR,PO BOX 188,LORETTO,PA,15940,ADMIN & FACULTY,956360
202001019349301400,340714818,JENDOCO CONSTRUCTION CORPORATION,2000 LINCOLN ROAD,PITTSBURGH,PA,15235,CONSTRUCTION,698425
202001019349301400,340714818,JEFFERSON INVESTIGATORS & SECURITY INC,1439 SUNSET BLVD,STEUBENVILLE,OH,43952,SECURITY,623285
202001079349300020,741196134,TREE OF LIFE BOOKSTORES LLC,1500 S WESTERN AVE,MARION,IN,46953,MANAGE ONSITE BOOKSTORE,1090292
202001079349300020,741196134,LINGO CONSTRUCTION SERVICES,1135 N ROBINSON AVE,OKLAHOMA CITY,OK,73103,CONSTRUCTION,974472
202001079349300020,741196134,PIONEER COLLEGE CATERERS INC,306 GLENROSE AVE,NASHVILLE,TN,37210,CAFETERIA SERVICES,709515
202001079349300020,741196134,GOOGLE INC,1600 AMPHITHEATRE PARKWAY,MOUNTAIN VIEW,CA,94043,ADVERTISING,641756
