object_id,ein,Dsc,BsnssCd,TtlRvnClmnAmt,RltdOrExmptFncIncmAmt,UnrltdBsnssRvnAmt,ExclsnAmt
202033039349301753,221821292,INSURANCE PROCEEDS,524298,330647,330647
202033039349301753,221821292,VENDING INCOME,900099,120083,120083
202033039349301753,221821292,MISCELLANEOUS,900099,5447,5447
202100639349300445,381627600,Contract Revenue,611310,2037452,2037452,0,0
202100639349300445,381627600,Change in value of split interest agreements,525920,-358491,-358491,0,0
202100639349300445,381627600,Departmental Income,611710,3060942,3060942,0,0
202121349349303522,042103552,MISCELLANEOUS,611710,1503800,1495987,7813
202121349349303522,042103552,GAIN OF BOND REFINANCING,2666288,2666288
202001079349300020,741196134,INSURANCE CLAIMS,900099,15287,15287
202121319349300217,134036055,MISCELLANEOUS INCOME
202030769349301243,530196583,NON ACADEMIC REGISTRATION FEE,900099,58146,0,0,58146
202030769349301243,530196583,INTEREST INCOME STUDENTS,900099,411122,0,0,411122
202031959349303373,042103578,Public Safety Collaborative,611310,2370890,2370890
202031959349303373,042103578,Educational Conferences,721000,1141617,746338,395279
202031959349303373,042103578,All other revenue,611310,4911674,4869224,42450
202041059349300414,420680404,CONFERENCE CENTER,721000,343030,239585,103445
202041059349300414,420680404,INCOME FROM PARTNERSHIP,900099,-218326,-218326
202041059349300414,420680404,FITNESS CENTER,713940,6801,6801
202001279349300320,580566116,Student Health Insurance,900099,666192,666192
202001279349300320,580566116,Miscellaneous Income,900099,100428,100428
202001279349300320,580566116,Vending & Parking Services Fees,900099,47178,47178
202003509349300130,470418641,MISC STUDENT CHARGES,611710,2792949,2792949
202003509349300130,470418641,STUDENT ACTIVITY INCOME,611710,196249,196249
202131379349308268,510192025,OTHER MISC. INCOME,900099,334039,334039
202041059349301334,260152908,PAYMENT FROM BUNDLED SERVICE PROVIDERS,900099,83201,83201
202041059349301334,260152908,MISCELLANEOUS,900099,34769,34769
202041969349300214,042103552,MISCELLANEOUS INCOME,611710,387910,387910
202041969349300229,042104230,MISCELLANEOUS INCOME,900099,187657,0,0,187657
202041969349301239,042103637,AUXILIARY ENTERPRISES,900099,4242795,4241133,1662
202041969349301239,042103637,WELLESLEY COLLEGE CLUB,722320,1597119,405534,1191585
202041969349301239,042103637,NEHOIDEN GOLF CLUB,713990,1220568,1220568
202121339349301872,480623882,MISCELLANEOUS INCOME,900099,2171,2171
202121339349301922,133281910,MISCELLANEOUS,900099,8137,8137
202121339349303292,941712371,Net realized/unreal. loss,900099,-6451,-6451
202121339349303292,941712371,Other revenue,900099,363880,363880
202111349349303906,560530005,COMMUNITY SERVICE,611710,59873,59873
202111349349303906,560530005,SUMMER SPORTS CAMP,711210,25019,25019
202111349349304581,340877803,MISCELLANEOUS,10178,10178
202021329349302117,540506306,STUDENT ACTIVITIES AND FEES,703722,703722
202021329349302117,540506306,MISCELLANEOUS,60967,36369,24598
202021329349302117,540506306,COPY SERVICES,46940,46940
202021329349302402,381673400,MISCELLANEOUS INCOME,611710,7171,7171
202140699349301559,930461940,TRANSPORTATION INCOME,900099,79608,79608
202140699349301559,930461940,VENDOR INCOME,900099,45150,45150
202140699349301559,930461940,MISCELLANEOUS,900099,38369,38369
202111479349300326,720408946,Recreation Center,713940,67614,0,67614,0
202111479349300326,720408946,Facility Rentals,532000,75507,0,75507,0
202121019349300307,231352674,MISCELLANEOUS,900099,1798903,1798903
202121019349300307,231352674,EXPENSE REIMBURSEMENT,900099,818640,818640
202121019349300307,231352674,STUDENT HEALTH INSURANCE,900099,594852,594852
202100849349300305,231352620,Food/Vend/Bookstore Commissions,611310,142000,0,0,142000
202100849349300305,231352620,"Comm, Fees, & Indirect Grant Rev",611310,505000,0,0,505000
202100849349300305,231352620,Online Partner,611310,667000,667000,0,0
202100849349300905,591023117,Community cultural affairs,900099,431931,431931
202100849349300905,591023117,Contract revenue,900099,310000,310000
202100849349300905,591023117,Commercial Card Rebate,900099,234429,234429
202023309349300032,650216638,MISCELLANEOUS INCOME,611600,648351,648351
202023309349300032,650216638,CONSULTING FEES,541610,200000,200000
202023309349300032,650216638,CONSULTING FEES,541610,150000,150000
