object_id,ein,FrmAndLnRfrncDsc,ExplntnTxt
202001019349301400,340714818,"SCHEDULE A, PART VI, LIST OF UNUSUAL GRANTS:",DESCRIPTION: ESTATE DATE: 10/31/18 AMOUNT: 1178610. DESCRIPTION: ESTATE DATE: 05/13/19 AMOUNT: 850000.
202030769349301243,530196583,"Schedule A, Part II, Line 10","OTHER INCOME TOTAL OF 8,359,722 IS COMPRISED OF THE FOLLOWING: NONACADEMIC REGISTRATION FEES 274,621; INTEREST INCOME 2,598,978; GROSS INCOME FROM FUNDRAISING 237,409; GROSS SALES OF INVENTORY 5,248,714."
202031959349303053,620476822,"Schedule A, Part II, Line 10 Other Income","DESCRIPTION - GROSS FUNDRAISING REVENUE AND MISC. OPERATING INCOME, COLUMN A - 30824998.0, COLUMN B - 404224.0, COLUMN C - 104778.0, COLUMN D - 99457.0, COLUMN E - 86147.0, COLUMN F - 31519604.0;"
202131379349309148,450314233,"PART II, LINE 10",SCHOLARSHIP REVENUES 0 AUDIT ADJUSTMENTS FOR 6/30/14 0
202121339349303292,941712371,Support Schedule: Additional Supplemental Information,"Part I, Reason for Public Charity Status, Line 2, JobTrain, Inc. also qualifies as a school described in section 170(b)(1)(A)(ii) because the Organization does normally maintain a regular faculty and curriculum and normally has a regularly enrolled body of pupils or students in attendance at the place where its educational activities are regularly carried on."
202100849349300305,231352620,"Schedule A, Part II, Line 10","2016 -- Commissions (165,000) and Indirect Revenue from Grants, PNC Commissions and Fees (546,000); 2017 -- Commissions (145,000) and Indirect Revenue from Grants, PNC Commissions and Fees (446,000); 2018 -- Commissions (155,000) and Indirect Revenue from Grants, PNC Commissions and Fees (546,000); 2019 -- Commissions (142,000) Indirect Revenue from Grants, PNC Commissions and Fees (505,000)"
202100849349300905,591023117,"Schedule A, Part II, Line 3 Explanation of filing","TO QUALIFY FOR LIMITED DONOR DISCLOSURE UNDER THE SPECIAL RULE ON SCHEDULE B, THE PUBLIC SUPPORT TEST HAS BEEN COMPLETED TO DEMONSTRATE THE UNIVERSITY MEETS THE QUANTITATIVE SUPPORT TEST UNDER SECTION 509(A)(1) OF THE INTERNAL REVENUE CODE, WHICH REQUIRES AN ORGANIZATION TO RECEIVE A SUBSTANTIAL PART OF ITS SUPPORT FROM A GOVERNMENTAL UNIT OR FROM THE GENERAL PUBLIC."
202100849349300905,591023117,"Schedule A, Part II, Line 10 Other Income","DESCRIPTION - GROSS INCOME FROM FUNDRAISING EVENTS, COLUMN A - 48058.0, COLUMN B - 58485.0, COLUMN C - 58562.0, COLUMN D - 56014.0, COLUMN E - 0.0, COLUMN F - 221119.0; DESCRIPTION - GROSS INCOME FROM GAMING, COLUMN A - 6677.0, COLUMN B - 6097.0, COLUMN C - 4545.0, COLUMN D - 5060.0, COLUMN E - 0.0, COLUMN F - 22379.0; DESCRIPTION - COMMUNITY CULTURAL AFFAIRS, COLUMN A - 436357.0, COLUMN B - 464193.0, COLUMN C - 431999.0, COLUMN D - 465841.0, COLUMN E - 431931.0, COLUMN F - 2230321.0; DESCRIPTION - OTHER INCOME, COLUMN A - 313063.0, COLUMN B - 466427.0, COLUMN C - 506107.0, COLUMN D - 918312.0, COLUMN E - 904878.0, COLUMN F - 3108787.0;"
202023219349322552,941186175,"SCHEDULE A, PART III, LINE 12, EXPLANATION OF OTHER INCOME:","PROPERTY TAX REFUND - 2018 AMOUNT: $ 12,228. LONGSTANDING LIABILITIES WRITTEN OFF - 2018 AMOUNT: $ 6,617. INVENTORY REVALUATION - 2018 AMOUNT: $ 712,607."
202111379349303531,231352118,"SCHEDULE A, PART II, LINE 10, EXPLANATION OF OTHER INCOME:","BAD DEBT RECOVERY - 2015 AMOUNT: $ 25,855. 2016 AMOUNT: $ 25,109. 2018 AMOUNT: $ 35,228. 2019 AMOUNT: $ 26,255."
202023219349304897,262037695,"Schedule A, Part II, Line 10","OTHER INCOME 12,804,197 FROM RENTS AND CONTRACTED SERVICES"
202021979349302682,570314390,"Schedule A, Part II, Line 10, Explanation of Other Income:","Fundraising Event Income - 2016 Amount: $ 7,360. 2017 Amount: $ 6,660. 2018 Amount: $ 5,200. Other Income - 2014 Amount: $ 12,065. 2015 Amount: $ 13,900."
202021979349302682,570314390,"Schedule A, Part II:","The organization is a school as described under 170(b)(1)(A)(ii) and is not required to complete a public support schedule. Schedule A, Part II is completed to verify the School can qualify under public charity status section 170(b)(1)(A)(vi) and, therefore, qualifies to use the first listed special rule for Schedule B reporting."
202111049349301136,231352654,"SCHEDULE A, PART II, LINE 10, EXPLANATION OF OTHER INCOME:","OTHER INCOME - 2015 AMOUNT: $ 4,510,344. 2016 AMOUNT: $ 4,902,052. 2017 AMOUNT: $ 2,843,466. 2018 AMOUNT: $ 3,392,503. 2019 AMOUNT: $ 3,178,522."
202111049349301026,060653264,"Schedule A, Part II, Line 10",OTHER INCOME PRIMARILY REPRESENTS MISCELLANEOUS STUDENT RELATED FEES SUCH AS VENDING INCOME AND OTHER SIMILAR FEES.
202011299349301501,420680335,"SCHEDULE A, PART II, LINE 10, EXPLANATION OF OTHER INCOME:","ATHLETICS - 2016 AMOUNT: $ 19,659. 2017 AMOUNT: $ 30,528. 2018 AMOUNT: $ 15,518. BRACKET HOUSE - 2016 AMOUNT: $ 10,391. 2017 AMOUNT: $ 11,003. 2018 AMOUNT: $ 11,782. HLTP FITNESS CENTER - 2016 AMOUNT: $ 4,957. MISCELLANEOUS INCOME - 2014 AMOUNT: $ 111,474. 2015 AMOUNT: $ 119,147. 2018 AMOUNT: $ 17,344."
202021349349301722,520643528,SUPPLEMENTAL INFORMATION,"WE INCLUDE A SUBSIDIARY, WGTS/COLUMBIA UNION COLLEGE BROADCASTING, INC., EIN 52-1336813 SEE SCHEDULE R FOR ADDITIONAL INFORMATION IN OUR 990. WERE WGTS REQUIRED TO FILE A 990, THEY WOULD BE SUBJECT TO THE PUBLIC SUPPORT TEST AS AN ENTITY THAT WOULD CHECK BOX 7 OF 990 SCHEDULE A, PART I. WE HAVE INCLUDED AS AN ATTACHMENT TO OUR SCHEDULE A, THE PART II PUBLIC SUPPORT TEST INFORMATION FOR WGTS/COLUMBIA UNION COLLEGE BROADCASTING INC. AS DEMONSTRATED THEREIN, WGTS/COLUMBIA UNION COLLEGE BROADCASTING, INC. MORE THAN MEETS THE PUBLIC SUPPORT TEST. ON JUNE 28, 2018 THE RADIO STATION ASSETS AND OPERATION WERE SOLD TO A MARYLAND NOT-FOR-PROFIT CORPORATION AND THEREFORE THOSE ASSETS AND LIABILITIES ARE NOT INCLUDED IN THIS RETURN, HOWEVER THE INCOME AND EXPENSE THROUGH SEPTEMBER 11, 2018, THE DATE THE FCC LICENSE WAS TRANSFERRED AND THE TRANSACTION COSUMMATED,IS INCLUDED. SCHEDULE A WILL NOT INCLUDE THE RADIO STATION CONTRIBUTIONS AFTER THIS YEAR. PART II SECTION B LINE 10 INCLUDES REVENUES FROM UNDERWRITING OF 20,600 AND MISCELLANEOUS REVENUE OF 24,019."
202043379349300424,362310478,"Schedule A, Part II, Line 10 Other Income","DESCRIPTION - STUDENT PARKING, COLUMN A - 82620.0, COLUMN B - 84685.0, COLUMN C - 76149.0, COLUMN D - 78853.0, COLUMN E - 38893.0, COLUMN F - 361200.0; DESCRIPTION - EMPLOYEE PARKING, COLUMN A - 98624.0, COLUMN B - 102822.0, COLUMN C - 100384.0, COLUMN D - 100423.0, COLUMN E - 97729.0, COLUMN F - 499982.0; DESCRIPTION - CATERING - FOOD SERVICE, COLUMN A - 31797.0, COLUMN B - 11876.0, COLUMN C - 29288.0, COLUMN D - 0.0, COLUMN E - 0.0, COLUMN F - 72961.0; DESCRIPTION - OTHER, COLUMN A - 52637.0, COLUMN B - 50891.0, COLUMN C - 62792.0, COLUMN D - 63404.0, COLUMN E - 66784.0, COLUMN F - 296508.0;"
