object_id,ein,OfAssstncTxt,RgnTxt,RcpntCnt,CshGrntAmt,MnnrOfCshDsbrsmntTxt
202121349349303522,042103552,SCHOLARSHIP AND FINANCIAL AID,Central America and the Caribbean,5,35227,SEE PART V
202121349349303522,042103552,SCHOLARSHIP AND FINANCIAL AID,East Asia and the Pacific,46,296947,See Part V
202121349349303522,042103552,SCHOLARSHIP AND FINANCIAL AID,Europe (Including Iceland and Greenland),132,890220,See Part V
202121349349303522,042103552,SCHOLARSHIP AND FINANCIAL AID,Middle East and North Africa,13,84165,See Part V
202121349349303522,042103552,SCHOLARSHIP AND FINANCIAL AID,Russia and the Newly Independent States,2,19075,See Part V
202121349349303522,042103552,SCHOLARSHIP AND FINANCIAL AID,South America,10,100182,See Part V
202121349349303522,042103552,SCHOLARSHIP AND FINANCIAL AID,South Asia,3,8880,See Part V
202121349349303522,042103552,SCHOLARSHIP AND FINANCIAL AID,Sub-Saharan Africa,4,50500,See Part V
202121349349303522,042103552,SCHOLARSHIP AND FINANCIAL AID,North America,2,24600,See Part V
202001019349301400,340714818,STUDENT AID FOR STUDY ABROAD PROGRAM,EUROPE,319,1859818,ELECTRONIC POSTING TO STUDENT ACCOUNTS VIA GL PROCESSING,0,N/A,N/A
202031959349303053,620476822,Cash Assistance to Conduct Surveys,Central America and the Caribbean,2,10578,Wire,Not applicable,Not applicable
202031959349303373,042103578,Financial Assistance,Central America and the Caribbean,5,176087,Acct Credit
202031959349303373,042103578,Financial Assistance,Europe (Including Iceland and Greenland),12,345560,Acct Credit
202031959349303373,042103578,Financial Assistance,East Asia and the Pacific,194,4147185,Acct Credit
202031959349303373,042103578,Financial Assistance,Middle East and North Africa,8,328280,Acct Credit
202031959349303373,042103578,Financial Assistance,North America,5,102937,Acct Credit
202031959349303373,042103578,Financial Assistance,Russia and the Newly Independent States,6,192936,Acct Credit
202031959349303373,042103578,Financial Assistance,South America,3,119976,Acct Credit
202031959349303373,042103578,Financial Assistance,South Asia,93,2985833,Acct Credit
202031959349303373,042103578,Financial Assistance,Sub-Saharan Africa,34,1090768,Acct Credit
202041969349300214,042103552,SCHOLARSHIP AND FINANCIAL AID,Central America and the Caribbean,2,21992,SEE PART V
202041969349300214,042103552,SCHOLARSHIP AND FINANCIAL AID,East Asia and the Pacific,54,434674,See Part V
202041969349300214,042103552,SCHOLARSHIP AND FINANCIAL AID,Europe (Including Iceland and Greenland),164,1280561,See Part V
202041969349300214,042103552,SCHOLARSHIP AND FINANCIAL AID,Middle East and North Africa,8,54328,See Part V
202041969349300214,042103552,SCHOLARSHIP AND FINANCIAL AID,South America,18,161289,See Part V
202041969349300214,042103552,SCHOLARSHIP AND FINANCIAL AID,South Asia,4,44660,See Part V
202041969349300214,042103552,SCHOLARSHIP AND FINANCIAL AID,Sub-Saharan Africa,7,74340,See Part V
202041969349301239,042103637,FINANCIAL AID,Central America and the Caribbean,2,103444,CR. TO ACCT.
202041969349301239,042103637,FINANCIAL AID,North America,10,423481,CR. TO ACCT.
202041969349301239,042103637,FINANCIAL AID,East Asia and the Pacific,18,690837,CR. TO ACCT.
202041969349301239,042103637,FINANCIAL AID,Europe (Including Iceland and Greenland),27,1010076,CR. TO ACCT.
202041969349301239,042103637,FINANCIAL AID,Middle East and North Africa,4,214235,CR. TO ACCT.
202041969349301239,042103637,FINANCIAL AID,Russia and the Newly Independent States,2,84304,CR. TO ACCT.
202041969349301239,042103637,FINANCIAL AID,South America,4,175610,CR. TO ACCT.
202041969349301239,042103637,FINANCIAL AID,South Asia,14,551806,CR. TO ACCT.
202041969349301239,042103637,FINANCIAL AID,Sub-Saharan Africa,11,326243,CR. TO ACCT.
202021329349302097,250965601,STUDENT AID,CENTRAL AMERICA AND THE CARIBBEAN,13,37098,CREDIT TO STUDENT'S ACCOUNTS FOR FINANCIAL AID,N/A,N/A
202021329349302097,250965601,STUDENT AID,EAST ASIA AND THE PACIFIC,49,330206,CREDIT TO STUDENT'S ACCOUNTS FOR FINANCIAL AID,N/A,N/A
202021329349302097,250965601,STUDENT AID,EUROPE (INCLUDING ICELAND & GREENLAND),141,941515,CREDIT TO STUDENT'S ACCOUNTS FOR FINANCIAL AID,N/A,N/A
202021329349302097,250965601,STUDENT AID,MIDDLE EAST AND NORTH AFRICA,3,5267,CREDIT TO STUDENT'S ACCOUNTS FOR FINANCIAL AID,N/A,N/A
202021329349302097,250965601,STUDENT AID,NORTH AMERICA,3,2757,CREDIT TO STUDENT'S ACCOUNTS FOR FINANCIAL AID,N/A,N/A
202021329349302097,250965601,STUDENT AID,SOUTH AMERICA,20,170067,CREDIT TO STUDENT'S ACCOUNTS FOR FINANCIAL AID,N/A,N/A
202021329349302097,250965601,STUDENT AID,SUB-SAHARAN AFRICA,14,18443,CREDIT TO STUDENT'S ACCOUNTS FOR FINANCIAL AID,N/A,N/A
202100849349300305,231352620,Scholarship/Grant,Central America and the Caribbean,1,13000,Credit placed on student account,Cost
202100849349300305,231352620,Scholarship/Grant,East Asia and the Pacific,69,1080000,Credit placed on student account,Cost
202100849349300305,231352620,Scholarship/Grant,Europe (including Iceland and Greenland),139,2023000,Credit placed on student account,Cost
202100849349300305,231352620,Scholarship/Grant,Sub-Saharan Africa,4,59000,Credit placed on student account,Cost
202023309349300032,650216638,INSTITUTIONAL SCHOLARSHIP,NICARAGUA,835,STUDENT CREDIT,3812668,EXPENSES,BOOK
202021979349302142,060761704,UNH INSTITUTIONAL AID,Central America and the Caribbean,6,183940,ACCT CREDIT
202021979349302142,060761704,UNH INSTITUTIONAL AID,East Asia and the Pacific,64,653802,ACCT CREDIT
202021979349302142,060761704,UNH INSTITUTIONAL AID,Europe (Including Iceland and Greenland),18,361247,ACCT CREDIT
202021979349302142,060761704,UNH INSTITUTIONAL AID,Middle East and North Africa,21,207280,ACCT CREDIT
202021979349302142,060761704,UNH INSTITUTIONAL AID,Russia and the Newly Independent States,3,40514,ACCT CREDIT
202021979349302142,060761704,UNH INSTITUTIONAL AID,South America,9,142157,ACCT CREDIT
202021979349302142,060761704,UNH INSTITUTIONAL AID,South Asia,315,1406900,ACCT CREDIT
202021979349302142,060761704,UNH INSTITUTIONAL AID,Sub-Saharan Africa,25,134372,ACCT CREDIT
202021979349302142,060761704,UNH INSTITUTIONAL AID,North America,2,23224,ACCT CREDIT
202041119349300514,430662529,SCHOLARSHIP,East Asia and the Pacific,28,143427,OTHER
202041119349300514,430662529,SCHOLARSHIP,Europe (Including Iceland and Greenland),117,493758,OTHER
202041119349300514,430662529,SCHOLARSHIP,South America,2,19100,OTHER
202041119349300514,430662529,SCHOLARSHIP,Sub-Saharan Africa,3,2000,OTHER
202140999349301114,520591661,EDUCATIONAL,Central America and the Caribbean,3,20150,TUITION DISC,FMV
202140999349301114,520591661,EDUCATIONAL,East Asia and the Pacific,593,7327790,TUITION DISC,FMV
202140999349301114,520591661,EDUCATIONAL,Europe (Including Iceland and Greenland),14,258208,TUITION DISC,FMV
202140999349301114,520591661,EDUCATIONAL,Middle East and North Africa,3,66650,TUITION DISC,FMV
202140999349301114,520591661,EDUCATIONAL,North America,21,327145,TUITION DISC,FMV
202140999349301114,520591661,EDUCATIONAL,Russia and the Newly Independent States,4,95640,TUITION DISC,FMV
202140999349301114,520591661,EDUCATIONAL,South America,7,187032,TUITION DISC,FMV
202140999349301114,520591661,EDUCATIONAL,South Asia,5,170277,TUITION DISC,FMV
202140999349301114,520591661,EDUCATIONAL,Sub-Saharan Africa,2,25400,TUITION DISC,FMV
202131379349308773,060646936,SCHOLARSHIPS,"CENTRAL AMERICA AND THE CARIBBEAN - ANTIGUA & BARBUDA, ARUBA, BAHAMAS,",96,1054491,BOOK
202131379349308773,060646936,SCHOLARSHIPS,"EAST ASIA AND THE PACIFIC - AUSTRALIA, BRUNEI, BURMA, CAMBODIA,",161,865995,BOOK
202131379349308773,060646936,SCHOLARSHIPS,"EUROPE (INCLUDING ICELAND & GREENLAND) - ALBANIA, ANDORRA, AUSTRIA, BELGIU",67,1534368,BOOK
202131379349308773,060646936,SCHOLARSHIPS,"MIDDLE EAST AND NORTH AFRICA - ALGERIA, BAHRAIN, DJIBOUTI, EGYPT,",132,247577,BOOK
202131379349308773,060646936,SCHOLARSHIPS,"NORTH AMERICA - CANADA AND MEXICO, BUT NOT THE UNITED STATES",22,263045,BOOK
202131379349308773,060646936,SCHOLARSHIPS,"RUSSIA AND NEIGHBORING STATES - ARMENIA, AZERBIJAN, BELARUS,",9,72810,BOOK
202131379349308773,060646936,SCHOLARSHIPS,"SOUTH AMERICA - ARGENTINA, BOLIVIA, BRAZIL, CHILE, COLUMBIA, ECUADOR,",72,908161,BOOK
202131379349308773,060646936,SCHOLARSHIPS,"SOUTH ASIA - AFGHANISTAN, BANGLADESH, BHUTAN, INDIA, MALDIVES, NEPAL,",231,947919,BOOK
202131379349308773,060646936,SCHOLARSHIPS,"SUB-SAHARAN AFRICA - ANGOLA, BENIN, BOTSWANA, BURKINA FASO,",71,641515,BOOK
202033219349315688,251065148,SCHOLARSHIPS,CENTRAL AMERICA / CARRIBEAN,2,10500,CREDIT ON ACCOUNT,0,N/A,BOOK VALUE
202033219349315688,251065148,SCHOLARSHIPS,EAST ASIA / PACIFIC,1,700,CREDIT ON ACCOUNT,0,N/A,BOOK VALUE
202033219349315688,251065148,SCHOLARSHIPS,EUROPE,40,82390,CREDIT ON ACCOUNT,0,N/A,BOOK VALUE
202033219349315688,251065148,SCHOLARSHIPS,SOUTH AMERICA,1,3900,CREDIT ON ACCOUNT,0,N/A,BOOK VALUE
202111279349301021,480543715,SCHOLARSHIP-MERIT,EUROPE,9,97000,TO STUDENT ACCT
202111279349301021,480543715,SCHOLARSHIP-MERIT,EAST ASIA & THE PACIFIC,12,106400,TO STUDENT ACCT
202111279349301021,480543715,SCHOLARSHIP-MERIT,NORTH AMERICA,9,114000,TO STUDENT ACCT
202111279349301021,480543715,SCHOLARSHIP-EXCHANGE PROG,EUROPE,3,49980,TO STUDENT ACCT
202111279349301021,480543715,SCHOLARSHIP-EXCHANGE PROG,SOUTH AMERICA,2,15777,TO STUDENT ACCT
202111279349301021,480543715,SCHOLARSHIP-MERIT,SOUTH AMERICA,7,87500,TO STUDENT ACCT
202111279349301021,480543715,SCHOLARSHIP-MERIT,SUB-SAHARAN AFRICA,7,113000,TO STUDENT ACCT
202111279349301021,480543715,STUDENT-NEED,SOUTH AMERICA,5,32355,TO STUDENT ACCT
202111279349301021,480543715,STUDENT-NEED,SUB-SAHARAN AFRICA,6,83140,TO STUDENT ACCT
202111279349301021,480543715,STUDENT-NEED,CENTRAL AMERICA & THE CARRIBEAN,2,26000,TO STUDENT ACCT
202111279349301021,480543715,STUDENT-NEED,EAST ASIA AND THE PACIFIC,2,27960,TO STUDENT ACCT
202111279349301021,480543715,STUDENT-NEED,EURPOPE,9,61070,TO STUDENT ACCT
202111279349301021,480543715,STUDENT-MERIT,CENTRAL AMERICA & THE CARRIBEAN,2,35160,TO STUDENT ACCT
202111279349301021,480543715,STUDENT-MERIT,MIDDLE EAST & NORTH AFRICA,6,173400,TO STUDENT ACCT
202111279349301021,480543715,STUDENT-NEED,NORTH AMERICA,8,116534,TO STUDENT ACCT
202111279349301021,480543715,SCHOLARSHIP-EXCHANGE PROG,NORTH AMERICA,1,11448,TO STUDENT ACCT
202031969349302758,381359081,SCHOLARSHIPS,CENTRAL AMERICA AND THE CARIBBEAN,1,23840,CHARGE AGAINST TUITION,N/A,N/A
202031969349302758,381359081,SCHOLARSHIPS,EAST ASIA AND THE PACIFIC,13,402010,CHARGE AGAINST TUITION,N/A,N/A
202031969349302758,381359081,SCHOLARSHIPS,EUROPE (INCLUDING ICELAND & GREENLAND),8,261690,CHARGE AGAINST TUITION,N/A,N/A
202031969349302758,381359081,SCHOLARSHIPS,NORTH AMERICA,1,22795,CHARGE AGAINST TUITION,N/A,N/A
202031969349302758,381359081,SCHOLARSHIPS,SOUTH AMERICA,1,22535,CHARGE AGAINST TUITION,N/A,N/A
202031969349302758,381359081,SCHOLARSHIPS,SOUTH ASIA,7,268870,CHARGE AGAINST TUITION,N/A,N/A
202111049349301026,060653264,SCHOLARSHIPS TO FOREIGN STUDENTS,East Asia and the Pacific,670976
202101329349304880,010211497,Scholarships,Europe (including Iceland and Greenland),78,2983000,check,0
202101329349304880,010211497,Scholarships,East Asia and the Pacific,23,857000,check,0
202101329349304880,010211497,Scholarships,South America,4,174000,check,0
202101329349304880,010211497,Scholarships,Central America and the Caribbean,4,172000,check,0
202101329349304880,010211497,Scholarships,Sub-Saharan Africa,4,159000,check,0
202131329349304783,361408475,Scholarships,Europe (Including Iceland and Greenland),23,829337,Wire Transf.
202131329349304783,361408475,Fellowships,Europe (Including Iceland and Greenland),14,53600,Wire Transf.
202141339349301724,591083502,NSU Cares Relief Fund,Central America/Caribbean,24,11950,bank wire
202041969349303414,041679980,Student Financial Aid,North America,3,13900,Tuition Off.,Cost
202041969349303414,041679980,Student Financial Aid,East Asia and the Pacific,2,7999,Tuition Off.,Cost
202041969349303414,041679980,Student Financial Aid,Central America and the Caribbean,1,7500,Tuition Off.,Cost
202041969349303414,041679980,Student Financial Aid,South Asia,2,5800,Tuition Off.,Cost
202031969349300013,041081650,Scholarship Assistance,Central America and the Caribbean,16,266381,Acct Credit
202031969349300013,041081650,Scholarship Assistance,East Asia and the Pacific,224,2627833,Acct Credit
202031969349300013,041081650,Scholarship Assistance,Europe (Including Iceland and Greenland),25,606233,Acct Credit
202031969349300013,041081650,Scholarship Assistance,Middle East and North Africa,6,132270,Acct Credit
202031969349300013,041081650,Scholarship Assistance,North America,17,776857,Acct Credit
202031969349300013,041081650,Scholarship Assistance,Russia and the Newly Independent States,15,377345,Acct Credit
202031969349300013,041081650,Scholarship Assistance,South America,32,518845,Acct Credit
202031969349300013,041081650,Scholarship Assistance,South Asia,55,631846,Acct Credit
202031969349300013,041081650,Scholarship Assistance,Sub-Saharan Africa,13,350460,Acct Credit
202141319349303834,340714363,SCHOLARSHIPS,"Central America and the Caribbean - Antigua & Barbuda, Aruba, Bahamas,",3,76997,CREDIT TO ACCOUNT
202141319349303834,340714363,SCHOLARSHIPS,"East Asia and the Pacific - Australia, Brunei, Burma, Cambodia,",29,450633,CREDIT TO ACCOUNT
202141319349303834,340714363,SCHOLARSHIPS,"Europe (Including Iceland & Greenland) - Albania, Andorra, Austria, Belgiu",136,1952605,CREDIT TO ACCOUNT
202141319349303834,340714363,SCHOLARSHIPS,"Middle East and North Africa - Algeria, Bahrain, Djibouti, Egypt,",1,5000,CREDIT TO ACCOUNT
202141319349303834,340714363,SCHOLARSHIPS,"North America - Canada and Mexico, but not the United States",2,24500,CREDIT TO ACCOUNT
202141319349303834,340714363,SCHOLARSHIPS,"Russia and Neighboring States - Armenia, Azerbijan, Belarus,",4,40114,CREDIT TO ACCOUNT
202141319349303834,340714363,SCHOLARSHIPS,"South America - Argentina, Bolivia, Brazil, Chile, Columbia, Ecuador,",10,87642,CREDIT TO ACCOUNT
202141319349303834,340714363,SCHOLARSHIPS,"Sub-Saharan Africa - Angola, Benin, Botswana, Burkina Faso,",5,70978,CREDIT TO ACCOUNT
202141319349303834,340714363,SCHOLARSHIPS,South Asia,2,15000,CREDIT TO ACCOUNT
202101379349302530,042103578,Financial Assistance,Central America and the Caribbean,4,138464,Acct Credit
202101379349302530,042103578,Financial Assistance,Europe (Including Iceland and Greenland),7,251257,Acct Credit
202101379349302530,042103578,Financial Assistance,East Asia and the Pacific,151,3292799,Acct Credit
202101379349302530,042103578,Financial Assistance,Middle East and North Africa,6,216748,Acct Credit
202101379349302530,042103578,Financial Assistance,North America,4,86506,Acct Credit
202101379349302530,042103578,Financial Assistance,Russia and the Newly Independent States,6,252360,Acct Credit
202101379349302530,042103578,Financial Assistance,South America,1,42380,Acct Credit
202101379349302530,042103578,Financial Assistance,South Asia,86,2633104,Acct Credit
202101379349302530,042103578,Financial Assistance,Sub-Saharan Africa,33,1073745,Acct Credit
202111329349300341,020222111,Scholarships/Tuition Remission,Central America and the Caribbean,5,0,N/A,82510,Student scholarships,FMV
