object_id,ein,BsnssNmLn1Txt,PrmryActvtsTxt,OrgPrftOrOwnrshpPct
202023019349300422,541547408,1 PRINCESS ANNE AMB SURG MGT,OUTPATIENT SURGERY CENTER,0.52590,0.47410
202023019349300422,541547408,2 SENTARA OBICI AMB SURG CTR,OUTPATIENT SURGERY CENTER,0.61540,0.38460
202023019349300422,541547408,3 VA BEACH AMB SURG CTR,OUTPATIENT SURGERY CENTER,0.50000,0.50000
202023019349300422,541547408,4 CANCER CENTERS OF VA LLC,EQUIPMENT LEASING,0.50000,0.50000
202023019349300422,541547408,5 OBICI REAL EST HOLDINGS LLC,REAL ESTATE RENTAL,0.71790,0.28210
202023019349300422,541547408,6 PET INSTITUTE OF HAMPTON ROADS LLC,MEDICAL SERVICES,0.13750,0.45000
202023019349300422,541547408,7 CAREPLEX ORTHO AMBULATORY SURG CTR,OUTPATIENT SURGERY CENTER,0.50000,0.50000
202023019349300422,541547408,8 SURGICAL SUITES OF COASTAL VIRGINIA LLC,OUTPATIENT SURGERY CENTER,0.51000,0.49000
202023019349300422,541547408,9 LEIGH ORTHOPEDIC SURGERY CENTER LLC,OUTPATIENT SURGERY CENTER,0.51000,0.49000
202002949349301345,221487322,BERGEN RENAL CARE
202002949349301345,221487322,CENTER LLC,HEALTHCARE SERVICES,0.06,0.35
202002949349301345,221487322,BERGEN RENAL HOME PD
202002949349301345,221487322,CENTER LLC,HEALTHCARE SERVICES,0.06,0.35
202111349349303711,231352152,MCA MED IM LLC,MEDICAL SERVICES,0.5,0.5
202111349349303711,231352152,AB SURG SVCS LP,MEDICAL SERVICES,0.39245,0.60755
202111349349303711,231352152,PAIN MGT CTR AM LLC,MEDICAL SERVICES,0.29033,0.70967
202111349349303711,231352152,NEW BRITAIN SURG LLC,MEDICAL SERVICES,0.3078,0.6922
202111349349303711,231352152,AB SURG SVCS GP LLC,MEDICAL SERVICES,0.5,0.5
202023169349303312,570828733,Lowcountry Surgery Center (DBA Roper St Francis Eye Surgery),Eye Surgery,0.6465,0.0,0.3535
202041979349305114,951642394,SEE PART VI,AMBULATORY SURGICAL,0.2
202031979349302223,720423889,University Healthcare System,Operation of a hospital facility,0.1725,0,0
202031959349300318,231352213,THE CENTER FOR ORAL
202031959349300318,231352213,& MAXILLOFACIAL
