object_id,ein,SkdH_FnnclAssstncPlcyInd,SkdH_WrttnPlcyInd,SkdH_MstHsptlsPlcyInd,SkdH_IndvHsptlTlrdPlcyInd,SkdH_AllHsptlsPlcyInd,SkdH_FPGRfrncFrCrInd,FrCrOthPrcntg_OthrInd,SkdH_Prcnt200Ind,FrCrOthPrcntg_FrCrOthrPct,SkdH_Prcnt100Ind,SkdH_Prcnt150Ind,SkdH_Prcnt200DInd,DscntdCrOthPrcntg_DscntdCrOthrPct,DscntdCrOthPrcntg_OthrInd,SkdH_Prcnt250Ind,SkdH_Prcnt300Ind,SkdH_Prcnt350Ind,SkdH_Prcnt400Ind,SkdH_FPGRfrncDscntdCrInd,SkdH_FrCrMdcllyIndgntInd,SkdH_FnnclAssstncBdgtInd,SkdH_ExpnssExcdBdgtInd,SkdH_UnblTPrvdCrInd,SkdH_AnnlCmmntyBnftRprtInd,SkdH_RprtPblcllyAvlblInd,FnnclAssstncAtCstTyp_ActvtsOrPrgrmsCnt,FnnclAssstncAtCstTyp_PrsnsSrvdCnt,FnnclAssstncAtCstTyp_TtlCmmntyBnftExpnsAmt,FnnclAssstncAtCstTyp_DrctOffsttngRvnAmt,FnnclAssstncAtCstTyp_NtCmmntyBnftExpnsAmt,FnnclAssstncAtCstTyp_TtlExpnsPct,UnrmbrsdMdcd_ActvtsOrPrgrmsCnt,UnrmbrsdMdcd_PrsnsSrvdCnt,UnrmbrsdMdcd_TtlCmmntyBnftExpnsAmt,UnrmbrsdMdcd_DrctOffsttngRvnAmt,UnrmbrsdMdcd_NtCmmntyBnftExpnsAmt,UnrmbrsdMdcd_TtlExpnsPct,UnrmbrsdCsts_ActvtsOrPrgrmsCnt,UnrmbrsdCsts_PrsnsSrvdCnt,UnrmbrsdCsts_TtlCmmntyBnftExpnsAmt,UnrmbrsdCsts_DrctOffsttngRvnAmt,UnrmbrsdCsts_NtCmmntyBnftExpnsAmt,UnrmbrsdCsts_TtlExpnsPct,TtlFnnclAssstncTyp_ActvtsOrPrgrmsCnt,TtlFnnclAssstncTyp_PrsnsSrvdCnt,TtlFnnclAssstncTyp_TtlCmmntyBnftExpnsAmt,TtlFnnclAssstncTyp_DrctOffsttngRvnAmt,TtlFnnclAssstncTyp_NtCmmntyBnftExpnsAmt,TtlFnnclAssstncTyp_TtlExpnsPct,CmmntyHlthSrvcs_ActvtsOrPrgrmsCnt,CmmntyHlthSrvcs_PrsnsSrvdCnt,CmmntyHlthSrvcs_TtlCmmntyBnftExpnsAmt,CmmntyHlthSrvcs_DrctOffsttngRvnAmt,CmmntyHlthSrvcs_NtCmmntyBnftExpnsAmt,CmmntyHlthSrvcs_TtlExpnsPct,HlthPrfssnsEdctn_ActvtsOrPrgrmsCnt,HlthPrfssnsEdctn_PrsnsSrvdCnt,HlthPrfssnsEdctn_TtlCmmntyBnftExpnsAmt,HlthPrfssnsEdctn_DrctOffsttngRvnAmt,HlthPrfssnsEdctn_NtCmmntyBnftExpnsAmt,HlthPrfssnsEdctn_TtlExpnsPct,SbsdzdHlthSrvcs_ActvtsOrPrgrmsCnt,SbsdzdHlthSrvcs_PrsnsSrvdCnt,SbsdzdHlthSrvcs_TtlCmmntyBnftExpnsAmt,SbsdzdHlthSrvcs_DrctOffsttngRvnAmt,SbsdzdHlthSrvcs_NtCmmntyBnftExpnsAmt,SbsdzdHlthSrvcs_TtlExpnsPct,Rsrch_ActvtsOrPrgrmsCnt,Rsrch_PrsnsSrvdCnt,Rsrch_TtlCmmntyBnftExpnsAmt,Rsrch_DrctOffsttngRvnAmt,Rsrch_NtCmmntyBnftExpnsAmt,Rsrch_TtlExpnsPct,CshAndInKndCntrbtns_ActvtsOrPrgrmsCnt,CshAndInKndCntrbtns_PrsnsSrvdCnt,CshAndInKndCntrbtns_TtlCmmntyBnftExpnsAmt,CshAndInKndCntrbtns_DrctOffsttngRvnAmt,CshAndInKndCntrbtns_NtCmmntyBnftExpnsAmt,CshAndInKndCntrbtns_TtlExpnsPct,TtlOthrBnfts_ActvtsOrPrgrmsCnt,TtlOthrBnfts_PrsnsSrvdCnt,TtlOthrBnfts_TtlCmmntyBnftExpnsAmt,TtlOthrBnfts_DrctOffsttngRvnAmt,TtlOthrBnfts_NtCmmntyBnftExpnsAmt,TtlOthrBnfts_TtlExpnsPct,TtlCmmntyBnfts_ActvtsOrPrgrmsCnt,TtlCmmntyBnfts_PrsnsSrvdCnt,TtlCmmntyBnfts_TtlCmmntyBnftExpnsAmt,TtlCmmntyBnfts_DrctOffsttngRvnAmt,TtlCmmntyBnfts_NtCmmntyBnftExpnsAmt,TtlCmmntyBnfts_TtlExpnsPct,TtlCmmnttyBldngActy_ActvtsOrPrgrmsCnt,TtlCmmnttyBldngActy_PrsnsSrvdCnt,TtlCmmnttyBldngActy_TtlCmmntyBnftExpnsAmt,TtlCmmnttyBldngActy_DrctOffsttngRvnAmt,TtlCmmnttyBldngActy_NtCmmntyBnftExpnsAmt,TtlCmmnttyBldngActy_TtlExpnsPct,PhysclImprvAndHsng_ActvtsOrPrgrmsCnt,PhysclImprvAndHsng_PrsnsSrvdCnt,PhysclImprvAndHsng_TtlCmmntyBnftExpnsAmt,PhysclImprvAndHsng_DrctOffsttngRvnAmt,PhysclImprvAndHsng_NtCmmntyBnftExpnsAmt,PhysclImprvAndHsng_TtlExpnsPct,EcnmcDvlpmnt_ActvtsOrPrgrmsCnt,EcnmcDvlpmnt_PrsnsSrvdCnt,EcnmcDvlpmnt_TtlCmmntyBnftExpnsAmt,EcnmcDvlpmnt_DrctOffsttngRvnAmt,EcnmcDvlpmnt_NtCmmntyBnftExpnsAmt,EcnmcDvlpmnt_TtlExpnsPct,CmmntySpprt_ActvtsOrPrgrmsCnt,CmmntySpprt_PrsnsSrvdCnt,CmmntySpprt_TtlCmmntyBnftExpnsAmt,CmmntySpprt_DrctOffsttngRvnAmt,CmmntySpprt_NtCmmntyBnftExpnsAmt,CmmntySpprt_TtlExpnsPct,EnvrnmntlImprvmnts_ActvtsOrPrgrmsCnt,EnvrnmntlImprvmnts_PrsnsSrvdCnt,EnvrnmntlImprvmnts_TtlCmmntyBnftExpnsAmt,EnvrnmntlImprvmnts_DrctOffsttngRvnAmt,EnvrnmntlImprvmnts_NtCmmntyBnftExpnsAmt,EnvrnmntlImprvmnts_TtlExpnsPct,LdrshpDvlpmnt_ActvtsOrPrgrmsCnt,LdrshpDvlpmnt_PrsnsSrvdCnt,LdrshpDvlpmnt_TtlCmmntyBnftExpnsAmt,LdrshpDvlpmnt_DrctOffsttngRvnAmt,LdrshpDvlpmnt_NtCmmntyBnftExpnsAmt,LdrshpDvlpmnt_TtlExpnsPct,CltnBldng_ActvtsOrPrgrmsCnt,CltnBldng_PrsnsSrvdCnt,CltnBldng_TtlCmmntyBnftExpnsAmt,CltnBldng_DrctOffsttngRvnAmt,CltnBldng_NtCmmntyBnftExpnsAmt,CltnBldng_TtlExpnsPct,HlthImprvmntAdvccy_ActvtsOrPrgrmsCnt,HlthImprvmntAdvccy_PrsnsSrvdCnt,HlthImprvmntAdvccy_TtlCmmntyBnftExpnsAmt,HlthImprvmntAdvccy_DrctOffsttngRvnAmt,HlthImprvmntAdvccy_NtCmmntyBnftExpnsAmt,HlthImprvmntAdvccy_TtlExpnsPct,WrkfrcDvlpmnt_ActvtsOrPrgrmsCnt,WrkfrcDvlpmnt_PrsnsSrvdCnt,WrkfrcDvlpmnt_TtlCmmntyBnftExpnsAmt,WrkfrcDvlpmnt_DrctOffsttngRvnAmt,WrkfrcDvlpmnt_NtCmmntyBnftExpnsAmt,WrkfrcDvlpmnt_TtlExpnsPct,OthrCmmnttyBldngActy_ActvtsOrPrgrmsCnt,OthrCmmnttyBldngActy_PrsnsSrvdCnt,OthrCmmnttyBldngActy_TtlCmmntyBnftExpnsAmt,OthrCmmnttyBldngActy_DrctOffsttngRvnAmt,OthrCmmnttyBldngActy_NtCmmntyBnftExpnsAmt,OthrCmmnttyBldngActy_TtlExpnsPct,BdDbtExpnsRprtdInd,BdDbtExpnsAmt,BdDbtExpnsAttrbtblAmt,RmbrsdByMdcrAmt,CstOfCrRmbrsdByMdcrAmt,MdcrSrplsOrShrtfllAmt,CstAccntngSystmInd,CstTChrgRtInd,OthrInd,WrttnDbtCllctnPlcyInd,FnnclAssstncPrvsnInd,HsptlFcltsCnt,FcltyNm
202023019349300422,541547408,1,1,X,-,-,1,-,X,-,-,-,-,-,-,-,-,-,X,1,1,1,0,-,1,1,-,-,80844010,-,80844010,0.03400,-,-,373829210,389128902,0,0.00000,-,-,-,-,-,-,-,-,454673220,389128902,80844010,0.03400,-,-,17928047,-,17928047,0.00750,-,-,38513502,13660514,24852988,0.01050,-,-,85491835,49207905,36283930,0.01530,-,-,-,-,-,-,-,-,22885762,-,22885762,0.00960,-,-,164819146,62868419,101950727,0.04290,-,-,619492366,451997321,182794737,0.07690,-,-,28671,-,28671,0.00000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3344,-,3344,0.00000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25327,-,25327,0.00000,1,209664935,31449740,656198718,707013233,-50814515,-,X,-,1,1,14,125
202023219349304897,262037695,1,1,-,-,X,1,-,-,-,X,-,-,-,-,-,-,-,X,1,1,1,0,-,1,1,-,-,160488030,80623787,79864242,0.0603,-,-,256825869,226722585,30103283,0.0227,-,-,-,-,-,-,0,0,417313899,307346372,109967525,0.0830,-,-,18177172,9336378,8840795,0.0067,-,-,122439063,32619021,89820042,0.0678,-,-,117418002,10305375,107112627,0.0809,-,-,2131661,707300,1424361,0.0011,-,-,-,-,-,-,0,0,260165898,52968074,207197825,0.1565,0,0,677479797,360314446,317165350,0.2395,0,0,40000,0,40000,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40000,-,40000,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,112419074,0,146379704,101035248,45344456,-,X,-,1,1,2,10
202101339349305120,010211494,true,true,-,-,X,true,-,X,-,-,-,-,-,-,-,-,-,-,false,true,true,false,-,false,-,-,-,2610359,-,2610359,0.00630,-,-,74216515,40598850,33617665,0.08100,-,-,-,-,-,-,-,-,76826874,40598850,36228024,0.08730,-,-,503134,5858,497276,0.00120,-,-,2948066,1469467,1478599,0.00360,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3451200,1475325,1975875,0.00480,-,-,80278074,42074175,38203899,0.09210,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,false,21930229,3382764,68865457,78501990,-9636533,-,X,-,true,true,1,34
202003239349301515,362169147,1,1,-,-,X,1,X,-,250.000000000000,-,-,-,600.000000000000,X,-,-,-,-,1,1,1,1,0,1,1,-,-,72639226,216186,72423040,0.01310,-,-,768752860,613902852,154850008,0.02800,-,-,-,-,-,-,-,-,841392086,614119038,227273048,0.04110,-,-,12361481,0,12361481,0.00220,-,-,122095176,26055230,96039946,0.01740,-,-,16746293,12189860,4556433,0.00080,-,-,-,-,-,-,-,-,2664770,0,2664770,0.00050,-,-,153867720,38245090,115622630,0.02090,-,-,995259806,652364128,342895678,0.06200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,174345071,20876633,1333881460,1568880848,-234999388,-,X,-,1,1,8,396
202002949349301345,221487322,true,true,-,-,X,true,-,X,-,-,-,-,500.,X,-,-,-,-,true,true,true,false,-,false,-,-,-,3912905,499211,3413694,0.00770,-,-,58441761,44464099,13977662,0.03150,-,-,-,-,-,-,-,-,62354666,44963310,17391356,0.03920,-,-,2904649,-,2904649,0.00660,-,-,353714,7200,346514,0.00080,-,-,46632544,20265577,26366967,0.05940,-,-,994382,-,994382,0.00220,-,-,590064,-,590064,0.00130,-,-,51475353,20272777,31202576,0.07030,-,-,113830019,65236087,48593932,0.10950,-,-,214235,-,214235,0.00050,-,-,-,-,-,-,-,-,5920,-,5920,-,-,-,19820,-,19820,-,-,-,-,-,-,-,-,-,14879,-,14879,-,-,-,43023,-,43023,0.00010,-,-,51336,-,51336,0.00010,-,-,79257,-,79257,0.00030,-,-,-,-,-,-,true,19547579,6788646,152491028,175219583,-22728555,X,-,-,true,true,1,9
202033029349300703,540506331,1,1,-,-,-,1,-,X,-,-,-,-,-,-,-,-,-,X,1,1,1,0,-,1,1,-,-,11557281,-,11557281,0.02550,-,-,56424556,47584522,8840034,0.01950,-,-,-,-,-,-,-,-,67981837,47584522,20397315,0.04500,-,-,1872736,-,1872736,0.00410,-,-,3268086,1587477,1680609,0.00370,-,-,76841899,45129447,31712452,0.06990,-,-,-,-,-,-,-,-,834353,-,834353,0.00180,-,-,82817074,46716924,36100150,0.07950,-,-,150798911,94301446,56497465,0.12450,-,-,13285,-,13285,0.00000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8708,-,8708,0.00000,-,-,4577,-,4577,0.00000,1,20996652,3149498,135136122,128785763,6350359,-,X,-,1,1,1,33
202121379349303997,510067938,1,1,-,-,-,1,-,X,-,-,-,-,-,-,-,-,-,X,1,1,1,1,0,1,1,-,-,10673842,7369524,3304318,0.00860,-,-,-,-,-,0.00000,-,-,-,-,-,-,-,-,10673842,7369524,3304318,0.00860,-,-,2820170,932861,1887309,0.00490,-,-,-,-,-,-,-,-,29243082,-,29243082,0.07630,-,-,224535,3036,221499,0.00060,-,-,174429,-,174429,0.00050,-,-,32462216,935897,31526319,0.08230,-,-,43136058,8305421,34830637,0.09090,-,-,6707437,-,6707437,0.01660,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,368326,-,368326,0.00090,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6339111,-,6339111,0.01570,-,-,-,-,-,-,1,21378699,-,163647665,238950721,-75303056,-,X,-,1,1,1,15
202111349349303421,582032904,true,true,-,-,X,true,X,-,125.,-,-,-,-,-,-,X,-,-,true,true,true,true,false,true,true,-,-,99839161,-,99839161,0.09800,-,-,90580146,72039755,18540391,0.01820,-,-,-,-,-,-,-,-,190419307,72039755,118379552,0.11620,-,-,961578,-,961578,0.00090,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,961578,-,961578,0.00090,-,-,191380885,72039755,119341130,0.11710,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,true,37882352,-,402423280,451823235,-49399955,-,X,-,true,true,2,-
202111349349303711,231352152,true,true,-,-,X,true,-,X,-,-,-,-,500.,X,-,-,-,-,true,true,true,false,-,true,true,-,-,13962327,165982,13796345,0.01510,-,-,90145964,58456350,31689614,0.03470,-,-,-,-,-,-,-,-,104108291,58622332,45485959,0.04980,-,-,2596967,76842,2520125,0.00280,-,-,32013364,9442611,22570753,0.02470,-,-,73347839,42537605,30810234,0.03370,-,-,473572,342603,130969,0.00010,-,-,220748,-,220748,0.00020,-,-,108652490,52399661,56252829,0.06150,-,-,212760781,111021993,101738788,0.11130,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,true,18122331,5263108,240484030,211874106,28609924,X,-,-,true,true,1,38
202023169349303312,570828733,true,true,-,-,X,true,-,X,-,-,-,-,-,-,-,-,-,X,true,true,true,false,-,true,true,-,-,23748996,6741792,17007204,0.0482,-,-,23637140,20989511,2647629,0.0075,-,-,-,-,0,0.0,0,0,47386136,27731303,19654833,0.0557,-,-,57829,-,57829,0.0002,-,-,784801,385139,399662,0.0011,-,-,1240,-,1240,0.0000,-,-,0,-,0,0.0,-,-,100240,-,100240,0.0003,0,0,944110,385139,558971,0.0016,0,0,48330246,28116442,20213804,0.0572,0,0,3477,0,3477,0.0000,-,-,3477,-,3477,0.0000,-,-,-,-,0,0.0,-,-,-,-,0,0.0,-,-,-,-,0,0.0,-,-,-,-,0,0.0,-,-,-,-,0,0.0,-,-,-,-,0,0.0,-,-,-,-,0,0.0,-,-,-,-,0,0.0,false,28804638,0,123469874,142174146,-18704272,-,-,X,true,true,1,3
