object_id,ein,DspstnOfAsstsDtl_AsstsDstrOrExpnssPdDsc,DspstnOfAsstsDtl_DstrbtnDt,DspstnOfAsstsDtl_FrMrktVlOfAsstAmt,DspstnOfAsstsDtl_EIN,BsnssNm_BsnssNmLn1Txt,USAddrss_AddrssLn1Txt,USAddrss_CtyNm,USAddrss_SttAbbrvtnCd,USAddrss_ZIPCd,DspstnOfAsstsDtl_IRCSctnTxt
202111329349303741,860105586,"SALE OF ARIZONA CHRISTIAN UNIVERSITY CAMPUS TO 2625 E.CACTUS RD, LLC",2019-10-02,14200000,SALES PRICE,2625 E CACTUS RD LLC,7918 E MCCLAIN DRIVE,SCOTTSDALE,AZ,85260,DOMESTIC LLC
202141339349305074,620544854,BUILDINGS,1936987,NET BOOK VALUE
202141339349305074,620544854,EQUIPMENT,597492,NET BOOK VALUE
202141339349305074,620544854,LAND,799790,NET BOOK VALUE
202141339349305074,620544854,ENDOWMENT FUNDS,79000,CASH DISTRIBUTION,620476301,RHODES COLLEGE,2000 NORTH PKWY,MEMPHIS,TN,38112,501(C)(3)
202141339349305074,620544854,ENDOWMNET FUNDS,544807,CASH DISTRIBUTION,626048540,UNIVERSITY OF MEMPHIS,3720 ALUMNI AVE,MEMPHIS,TN,38152,501(C)(3)
202141339349305074,620544854,ENDOWMENT FUNDS,13422,CASH DISTRIBUTION,581723645,CFGM,1900 UNION AVENUE,MEMPHIS,TN,38104,501(C)(3)
202131379349303468,156019050,Primary campus at 400 Riverside Drive,2019-12-19,3441172,Selling price,Weitsman Riverside Drive Realty LLC,15 W Main Street,Owego,NY,13827
202131379349303468,156019050,Crisfield Campus,2020-04-30,780000,Selling price,Two Rivers Assembly of God Inc,1 Chrisfield Ave,Johnson City,NY,13790,501(c)(3)
202131379349303468,156019050,"Books, vehicles, equipment and other assets",2019-09-30,70202,Selling price
202031899349302083,930309970,SALE OF CAMPUS LAND AND BUILDINGS,2018-11-05,14500000,SALES PRICE,930391586,LINFIELD COLLEGE,900 SE BAKER STREET,MCMINNVILLE,OR,97128,501(C)(3)
202101249349301105,370864020,"Robert Morris University Illinois merged with Roosevelt University, and sold a portion of its assets to them at that time. The assets included student accounts receivable, and campus locations at Peoria, Lake County, and Arlington Heights.",2020-03-09,3409492,Book value of student accounts receivable as of 3/09/2020. Book value of furniture & equipment & vehicles as of 3/09/2020.,362167854,Roosevelt University,430 S Michigan Ave,Chicago,IL,60605,501c3
202001369349303480,410854766,SALE OF SEMINARY PROPERTY,2018-08-08,5500000,APPRAISAL & COMPARABLES,300417217,GLOBAL ACADEMY ABC,3000 5TH ST NW,NEW BRIGHTON,MN,55412,501(C)(3)
202121379349304012,620475751,NET ASSETS,2020-06-17,11994861,FMV,620465076,BELMONT UNIVERSITY,1900 BELMONT BLVD,NASHVILLE,TN,37212,501C3
202101379349308420,042452884,COLLEGE LAND AND BUILDINGS,2019-09-19,34300000,PROCEEDS RECEIVED FROM UNRELATED BUYER,WELLTOWER TRS HOLDING COMPANY,110 FISHER AVE,BROOKLINE,MA,02446
202121329349304987,391596986,CAPITAL ASSETS,2020-06-26,22022,FAIR MARKET VALUE,391834639,COLUMBIA ST MARY'S INC,C/O TAX DEPARTMENT PO BOX 45998,ST LOUIS,MO,631455998,501(C)(3)
202121329349304987,391596986,"INTEREST IN COLUMBIA ST. MARY'S FOUNDATION, INC.",2020-06-26,1060192,FAIR MARKET VALUE,390806263,ALVERNO COLLEGE,PO BOX 343922,MILWAUKEE,WI,532343922,170(b)(1)(A)(ii)
