object_id,ein,FrmAndLnRfrncDsc,ExplntnTxt
202023299349300432,510581154,"PART I, LINE 2E:",PERSON(S) INVOLVED: ANTHONY GAITHER - BOARD MEMBER/TEACHERSASHA MAGIDI - BOARD MEMBER/TEACHERMARCO IBARRA - PRINCIPAL
202023299349300432,510581154,"PART I, LINE 2E:","EXPLANATION OF INVOLVEMENT: AFTER THE MERGER WAS COMPLETED, THE LISTED INDIVIDUALS BECAME EMPLOYEES OF THE TRANSFEREE ORGANIZATION."
202033299349300503,943477000,"PART I, LINE 2E:",PERSON(S) INVOLVED: DAVID HARRY - BOARD MEMBER/TEACHERCLAUDIA TEJADA - BOARD MEMBER/TEACHERSEAN HOLIDAY - PRINCIPAL
202033299349300503,943477000,"PART I, LINE 2E:","EXPLANATION OF INVOLVEMENT: AFTER THE MERGER WAS COMPLETED, THE LISTED INDIVIDUALS BECAME EMPLOYEES OF THE TRANSFEREE ORGANIZATION."
202021979349303712,730685198,"SCHEDULE N, PART II",THE ORGANIZATION SOLD 100% OF THEIR FIXED ASSETS IN THE TAX YEAR ENDING 06/30/2019 THROUGH AN AUCTIONEERING COMPANY. THE RECIPIENTS OF THE ASSETS ARE UNKNOWN.
202041909349301649,352358696,"PART II, LINE 2E:","EXPLANATION OF INVOLVEMENT: KIMBERLEIGH KOFF, EXECUTIVE DIRECTOR OF NATIONAL UNIVERSITY ACADEMY, ISALSO THE EXECUTIVE DIRECTOR OF NATIONAL UNIVERSITY ACADEMY DUAL LANGUAGEINSTITUTE, NATIONAL UNIVERSITY ACADEMY 1001 STEAM, AND NATIONAL UNIVERSITYACADEMY HOME SCHOOL INDEPENDENT STUDY-ORANGE COUNTY.NANCY RHOLAND, A TRUSTEE OF NATIONAL UNIVERSITY ACADEMY, IS ALSO ONE OF THETRUSTEES OF NATIONAL UNIVERSITY ACADEMY DUAL LANGUAGE INSTITUTE, NATIONALUNIVERSITY ACADEMY 1001 STEAM, AND NATIONAL UNIVERSITY ACADEMY HOME SCHOOLINDEPENDENT STUDY-ORANGE COUNTY."
202011979349300726,042452884,"PART I, LINE 3:","NEWBURY COLLEGE CEASED ACADEMIC OPERATIONS ON MAY 12, 2019. THE COLLEGE CONTRACTED WITH A REAL ESTATE BROKER TO ASSIST IN THE SELLING OF THE LAND AND BUILDING. THE LAND AND BUILDING WERE SOLD TO AN UNRELATED THIRD PARTY DURING FISCAL YEAR 2020."
202023179349302877,391894395,General Explanation Attachment,"On June 30, 2020 the organization ceased the graduate medical education program and all employment terminated. The organization remains open to handle the collections of accounts receivable and payment of billsAny funds available after closure will be repaid to Mercy Medical Center and UnityPoint - St. Lukes Hospital who have subsidized the losses from inception."
202141319349302724,202834636,"FORM 990, SCHEDULE N LIQUIDATION, TERMINATION, & DISSOLUTION EXPLANATION","THE AMOUNT REPORTED ON SCHEDULE N, PART 1, 1(C) IN THE AMOUNT OF $4,270,265 REPRESENTS THE NET ASSETS TRANSFERRED, WHICH IS DEFINED AS ASSETS LESS LIABILITES.THE ORGANIZATION FILED THE NOTICE OF DISSOLUTION (ELECT NP) WITH THE CALIFORNIA SECRETARY OF STATE BEFORE JUNE 30, 2020 AND CONCURRENTLY DISSOLVED AND DISTRIBUTED KNOW ASSETS, LIABILITIES & NET ASSETS TO LOMA LINDA UNIVERSITY MEDICAL CENTER, AN AFFILIATED 501(C)3 ORGANIZATION. FINAL DISSOLUTION (DISS NP) WAS RECORDED BY THE CALIFORNIA SECRETARY OF STATE'S OFFICE ON SEPTEMBER 9, 2020. ALL RELATED FINAL FILINGS WITH THE ATTORNEY'S GENERAL'S OFFICE WERE CONCURRENTLY FILED AS REQUIRED BY STATE LAW. ANY INCOME REPORTED TO THE IRS BY PROVIDER PAYOR'S UNDER EIN 20-2834636, IF ANY, IS NOMINEED AND REPORTED UNDER LOMA LINDA UNIVERSITY MEDICAL CENTER'S EIN 95-3522679 AND REPORTED ACCORDING ON ALL REQUIRED TAX FILINGS BY THE INTERNAL REVENUE SERVICE AND STATE OF CALIFORNIA."
202111339349305271,464993761,"PART I, LINE 2E:","PERSON(S) INVOLVED: KEITH MYERS, JACK KASEY, MIKE PAPADAKIS, JAKE WOZNIAK, GUY WORLEY, DAVID FRANTZ, THOMAS KATZENMEYER, CHRISTIE ANGEL"
