object_id,ein,DsrgrddEnttyNm_BsnssNmLn1Txt,USAddrss_AddrssLn1Txt,USAddrss_CtyNm,USAddrss_SttAbbrvtnCd,USAddrss_ZIPCd,IdRltdTxExmptOrg_EIN,IdRltdTxExmptOrg_PrmryActvtsTxt,IdRltdTxExmptOrg_LglDmclSttCd,IdRltdTxExmptOrg_ExmptCdSctnTxt,IdRltdTxExmptOrg_PblcChrtySttsTxt,IdRltdTxExmptOrg_DrctCntrllngNACd,IdRltdTxExmptOrg_CntrlldOrgnztnInd
202100639349300445,381627600,General Conference of SDA,12501 Old Columbia Pike,Silver Spring,MD,20904,Headquarters of Seventh-day Adventist Church,MD,501 c 3,Church,N/A,0
202100639349300445,381627600,Lake Union Conference of SDA,Sharyl Turon,8450 M-139,Berrien Springs,MI,49103,Regional Headquarters of SDA Church,MI,501 c 3,Church,N/A,0
202100639349300445,381627600,Michigan Conference of SDA,5801 W Michigan Avenue,Lansing,MI,48917,Michigan Headquarters of SDA Church,MI,501 c 3,Church,N/A,0
202100639349300445,381627600,North American Division of SDA,9705 Patuxent Woods Drive,Columbia,MD,21046,Divisional Headquarters of SDA Church,MD,501 c 3,church,N/A,0
202100639349300445,381627600,Center for Youth Evangelism,4145 East Campus Circle Drive,Berrien Springs,MI,49104,273294817,Youth Evangelism,MI,501 c 3,church,Andrews University,0
202100639349300445,381627600,Andrews Broadcasting Corp,Lawrence Schalk,4150 Administration Drive,Berrien Springs,MI,49104,381946646,Radio Station,MI,501 c 3,Andrews University,0
202000949349301135,943116985,EDUCATIONAL CORPORATION MUKOGAWA GAKUIN,6-46 IKEBIRAKI-CHO,NISHINOMIYACITY,HYOGO,JA,663-8558,943120807,TEACH ENGLISH AND AMERICAN CULTURE TO MUKOGAWA WOMEN'S UNIVERSITY STUDENTS.,JA,501(C)(3),LINE 2,N/A,0
202001019349301400,340714818,FOUNDATION MARIA THRON,3292 GAMING,KARTAUSE,EUROPE,AU,HISTORIC MONASTERY SITE OF THE UNIVERSITY'S STUDY ABROAD PROGRAM,AU,N/A,N/A,N/A,0
202001019349301400,340714818,BILDUNGSVEREIN KARTAUSE GAMING,3292 GAMING,KARTAUSE,EUROPE,AU,"EDUCATE, PUBLISH ACADEMIC WORKS, HOLD LECTURES, IMPLEMENT CULTURAL EVENTS",AU,N/A,N/A,N/A,0
202001079349300020,741196134,MACU NEW HORIZONS FOUNDATION,3500 SW 119TH ST,OKLAHOMA CITY,OK,73170,421574985,UNIVERSITY SUPPORT,OK,501(C)(3),LINE 5,MID-AMERICA CHRISTIAN UNIVERSITY INC,1
202023299349300432,510581154,ALLIANCE GERTZ-RESSLER RICHARD MERKIN 6-12 COMPLEX,601 S FIGUEROA STREET 4TH FLOOR,LOS ANGELES,CA,90017,200846362,EDUCATION,CA,501(C)(3),2,ALLIANCE FOR COLLEGE READY PUBLIC SCHOOLS,0
202023299349300432,510581154,ALLIANCE COLLINS FAMILY COLLEGE-READY HIGH SCHOOL ALLIANCE,601 S FIGUEROA STREET 4TH FLOOR,LOS ANGELES,CA,90017,010833582,EDUCATION,CA,501(C)(3),2,ALLIANCE FOR COLLEGE READY PUBLIC SCHOOLS,0
202023299349300432,510581154,ALLIANCE JUDY IVIE BURTON TECHNOLOGY ACADEMY HIGH SCHOOL,601 S FIGUEROA STREET 4TH FLOOR,LOS ANGELES,CA,90017,010833578,EDUCATION,CA,501(C)(3),2,ALLIANCE FOR COLLEGE READY PUBLIC SCHOOLS,0
202023299349300432,510581154,ALLIANCE DR OLGA MOHAN HIGH SCHOOL,601 S FIGUEROA STREET 4TH FLOOR,LOS ANGELES,CA,90017,721616709,EDUCATION,CA,501(C)(3),2,ALLIANCE FOR COLLEGE READY PUBLIC SCHOOLS,0
202023299349300432,510581154,ALLIANCE PATTI AND PETER NEUWIRTH LEADERSHIP ACADEMY,601 S FIGUEROA STREET 4TH FLOOR,LOS ANGELES,CA,90017,510581150,EDUCATION,CA,501(C)(3),2,ALLIANCE FOR COLLEGE READY PUBLIC SCHOOLS,0
202023299349300432,510581154,ALLIANCE OUCHI O'DONOVAN 6-12 COMPLEX,601 S FIGUEROA STREET 4TH FLOOR,LOS ANGELES,CA,90017,510581153,EDUCATION,CA,501(C)(3),2,ALLIANCE FOR COLLEGE READY PUBLIC SCHOOLS,0
202023299349300432,510581154,ALLIANCE MARC AND EVA STERN MATH AND SCIENCE SCHOOL,601 S FIGUEROA STREET 4TH FLOOR,LOS ANGELES,CA,90017,510581156,EDUCATION,CA,501(C)(3),2,ALLIANCE FOR COLLEGE READY PUBLIC SCHOOLS,0
202023299349300432,510581154,ALLIANCE PIERA BARBAGLIA SHAHEEN HEALTH SERVICES ACADEMY,601 S FIGUEROA STREET 4TH FLOOR,LOS ANGELES,CA,90017,943476912,EDUCATION,CA,501(C)(3),2,ALLIANCE FOR COLLEGE READY PUBLIC SCHOOLS,0
202023299349300432,510581154,ALLIANCE MORGAN MCKINZIE HIGH SCHOOL,601 S FIGUEROA STREET 4TH FLOOR,LOS ANGELES,CA,90017,943476915,EDUCATION,CA,501(C)(3),2,ALLIANCE FOR COLLEGE READY PUBLIC SCHOOLS,0
202023299349300432,510581154,ALLIANCE LEICHTMAN-LEVINE FAMILY FOUNDATION ENVIRONMENTAL SCIENCE HIGH SCHO,601 S FIGUEROA STREET 4TH FLOOR,LOS ANGELES,CA,90017,943476918,EDUCATION,CA,501(C)(3),2,ALLIANCE FOR COLLEGE READY PUBLIC SCHOOLS,0
202023299349300432,510581154,ALLIANCE COLLEGE-READY MIDDLE ACADEMY #4,601 S FIGUEROA STREET 4TH FLOOR,LOS ANGELES,CA,90017,943477000,EDUCATION,CA,501(C)(3),2,ALLIANCE FOR COLLEGE READY PUBLIC SCHOOLS,0
202023299349300432,510581154,ALLIANCE COLLEGE-READY MIDDLE ACADEMY #5,601 S FIGUEROA STREET 4TH FLOOR,LOS ANGELES,CA,90017,943477005,EDUCATION,CA,501(C)(3),2,ALLIANCE FOR COLLEGE READY PUBLIC SCHOOLS,0
202023299349300432,510581154,ALLIANCE CINDY AND BILL SIMON TECHNOLOGY ACADEMY HIGH SCHOOL,601 S FIGUEROA STREET 4TH FLOOR,LOS ANGELES,CA,90017,273723511,EDUCATION,CA,501(C)(3),2,ALLIANCE FOR COLLEGE READY PUBLIC SCHOOLS,0
202023299349300432,510581154,ALLIANCE TENNENBAUM FAMILY TECHNOLOGY HIGH,601 S FIGUEROA STREET 4TH FLOOR,LOS ANGELES,CA,90017,273723566,EDUCATION,CA,501(C)(3),2,ALLIANCE FOR COLLEGE READY PUBLIC SCHOOLS,0
