BsnssNm_BsnssNmLn2Txt|Section B; Name of contractor; Name - Business; Business name line 2
FrgnAddrss_FrgnPstlCd|Section B; Address of contractor; Address - Foreign; Postal code
USAddrss_AddrssLn1Txt|Section B; Address of contractor; Address - US; Address line 1
USAddrss_CtyNm|Section B; Address of contractor; Address - US; City
USAddrss_SttAbbrvtnCd|Section B; Address of contractor; Address - US; State
USAddrss_ZIPCd|Section B; Address of contractor; Address - US; ZIP code
BsnssNm_BsnssNmLn1Txt|Section B; Name of contractor; Name - Business; Business name line 1
CntrctrNm_PrsnNm|Section B; Name of contractor; Name - Person
USAddrss_AddrssLn2Txt|Section B; Address of contractor; Address - US; Address line 2
FrgnAddrss_AddrssLn1Txt|Section B; Address of contractor; Address - Foreign; Address line 1
FrgnAddrss_CtyNm|Section B; Address of contractor; Address - Foreign; City
FrgnAddrss_PrvncOrSttNm|Section B; Address of contractor; Address - Foreign; Province or state
FrgnAddrss_CntryCd|Section B; Address of contractor; Address - Foreign; Country
FrgnAddrss_AddrssLn2Txt|Section B; Address of contractor; Address - Foreign; Address line 2
CntrctrCmpnstn_SrvcsDsc|Section B; Description of services
CntrctrCmpnstn_CmpnstnAmt|Section B; Compensation
