BsnssNmLn2Txt|Section A, at least name required; Name - Business; Business name line 2
PrsnNm|Section A, at least name required; Name - Person
TtlTxt|Section A, at least name required; Title
BsnssNmLn1Txt|Section A, at least name required; Name - Business; Business name line 1
AvrgHrsPrWkRt|Section A, at least name required; Average hours per week
AvrgHrsPrWkRltdOrgRt|Section A, at least name required; Average hours per week for related organizations
OffcrInd|Section A, at least name required; Officer
FrmrOfcrDrctrTrstInd|Section A, at least name required; Former
KyEmplyInd|Section A, at least name required; Key Employee
IndvdlTrstOrDrctrInd|Section A, at least name required; Individual trustee or director
InstttnlTrstInd|Section A, at least name required; Institutional Trustee
HghstCmpnstdEmplyInd|Section A, at least name required; Highest compensated employee
RprtblCmpFrmOrgAmt|Section A, at least name required; Reportable compensation from organization
RprtblCmpFrmRltdOrgAmt|Section A, at least name required; Reportable compensation from related organizations
OthrCmpnstnAmt|Section A, at least name required; Other compensation
