InfInSkdOPrtVIInd|Schedule O contains a response to a question in Part VI
GvrnngBdyVtngMmbrsCnt|Number of voting governing body members
IndpndntVtngMmbrCnt|Number of independent voting members
FmlyOrBsnssRlnInd|Family or business relationship?
DlgtnOfMgmtDtsInd|Delegation of management duties?
ChngTOrgDcmntsInd|Changes to organizing docs?
MtrlDvrsnOrMssInd|Material diversion or misuse?
MmbrsOrStckhldrsInd|Members or stockholders?
ElctnOfBrdMmbrsInd|election of board members?
DcsnsSbjctTApprvInd|decisions subject to approval?
MntsOfGvrnngBdyInd|Minutes of governing body?
MntsOfCmmttsInd|Minutes of committees?
OffcrMlngAddrssInd|Officer mailing address?
LclChptrsInd|Local chapters?
PlcsRfrncChptrsInd|Policies reference chapters?
Frm990PrvddTGvrnBdyInd|Form 990 provided to governing body?
CnflctOfIntrstPlcyInd|Conflict of interest policy?
AnnlDsclsrCvrdPrsnInd|Annual disclosure by covered persons?
RglrMntrngEnfrcInd|Regular monitoring and enforcement?
WhstlblwrPlcyInd|Whistleblower policy?
DcmntRtntnPlcyInd|Document retention policy?
CmpnstnPrcssCEOInd|Compensation process CEO?
CmpnstnPrcssOthrInd|Compensation process other?
InvstmntInJntVntrInd|Investment in joint venture?
WrttnPlcyOrPrcdrInd|Written policy or procedure?
OthrWbstInd|Other website
UpnRqstInd|Upon request
OwnWbstInd|Own website
OthrInd|Other (Explain in Schedule O)
USAddrss_ZIPCd|The books are in care of; Address - US; ZIP code
FrgnAddrss_CtyNm|The books are in care of; Address - Foreign; City
FrgnAddrss_FrgnPstlCd|The books are in care of; Address - Foreign; Postal code
USAddrss_SttAbbrvtnCd|The books are in care of; Address - US; State
FrgnAddrss_CntryCd|The books are in care of; Address - Foreign; Country
BsnssNm_BsnssNmLn2Txt|The books are in care of; Name - Business; Business name line 2
BsnssNm_BsnssNmLn1Txt|The books are in care of; Name - Business; Business name line 1
USAddrss_AddrssLn1Txt|The books are in care of; Address - US; Address line 1
FrgnAddrss_PrvncOrSttNm|The books are in care of; Address - Foreign; Province or state
FrgnAddrss_AddrssLn2Txt|The books are in care of; Address - Foreign; Address line 2
BksInCrOfDtl_PrsnNm|The books are in care of; Name - Person
BksInCrOfDtl_PhnNm|The books are in care of; Telephone number
USAddrss_CtyNm|The books are in care of; Address - US; City
USAddrss_AddrssLn2Txt|The books are in care of; Address - US; Address line 2
FrgnAddrss_AddrssLn1Txt|The books are in care of; Address - Foreign; Address line 1
