InfInSkdOPrtVIIInd|Schedule O contains a response to a question in Part VII
NLstdPrsnsCmpnstdInd|No listed persons compensated
TtlRprtblCmpFrmOrgAmt|Total, column D
TtRprtblCmpRltdOrgAmt|Total, column E
TtlOthrCmpnstnAmt|Total, column F
IndvRcvdGrtrThn100KCnt|Number individuals greater than $100K
FrmrOfcrEmplysLstdInd|Formers listed in 1a?
TtlCmpGrtrThn150KInd|Line1a, total greater than $150K?
CmpnstnFrmOthrSrcsInd|Compensation from other sources?
CntrctRcvdGrtrThn100KCnt|Number of contractors greater than $100K
