ChrchInd|A church, convention of churches, or association of churches. Section 170(b)(1)(A)(i)
PblclySpprtdOrg5092Ind|Publicly supported organization 509(a)(2)
TstPblcSftyInd|An organization organized and operated to test for public safety. Section 509(a)(4)
SpprtngOrgnztn5093Ind|Supporting organization 509(a)(3)
SpprtngOrg1Ind|Supporting organization 509(a)(3) - Type 1
SpprtngOrg2Ind|Supporting organization 509(a)(3) - Type 2
SpprtngOrg3FncIntInd|Supporting organization 509(a)(3) - Type 3 functionally integrated
SpprtngOrg3NnFncInd|Supporting organization 509(a)(3) - Type 3 Non-functionally integrated
IRSWrttnDtrmntnInd|Does the organization have a written determination from the IRS that it is a Type I, Type II or Type III supporting organization?
SpprtdOrgnztnsCnt|Number of supported organizations
SpprtdOrgnztnsTtlCnt|Total number of supported organizations
SpprtSmAmt|Sum of amounts of support
OthrSpprtSmAmt|Sum of amounts of other support
SchlInd|A school. Section 170(b)(1)(A)(ii)
HsptlInd|A hospital or a cooperative hospital service organization. Section 170(b)(1)(A)(iii)
MdclRsrchOrgnztnInd|A medical research organization operated in conjunction with a hospital. Section 170(b)(1)(A)(iii)
CllgOrgnztnInd|An organization operated for the benefit of a college or university owned or operated by a governmental unit. Section 170(b)(1)(A)(iv).
GvrnmntlUntInd|A Federal, state, or local government or governmental unit. Section 170(b)(1)(A)(v)
PblcOrgnztn170Ind|An organization that normally receives a substantial part of its support from a governmental unit or from the general public. Section 170(b)(1)(A)(vi)
CmmntyTrstInd|A community trust. Section 170(b)(1)(A)(vi)
AgrcltrlRsrchOrgInd|An agricultural research organization operated in conjunction with college or university. Section 170(b)(1)(A)(ix)
