LstdByNmGvrnngDcInd|All supporting organizations; All supported organizations listed by name in governing documents?
ExcssBsnssHldngsRlsInd|All supporting organizations; Subject to excess business holding rules?
ExcssBsnssHldngsInd|All supporting organizations; Excess business holdings in the tax year?
CntrbtnCntrllrInd|All supporting organizations; A person who controls, alone or together with persons in (ii) and (iii) below, the governing body of the supported organization?
CntrbtnFmlyInd|All supporting organizations; A family member of a party described in (i) above?
Cntrbtn35CntrlldInd|All supporting organizations; A 35% controlled entity of a person described in (i) or (ii) above?
SprtOrgNIRSDtrmntnInd|All supporting organizations; Any supported organization that does not have IRS determination?
SpprtdOrgSctnC456Ind|All supporting organizations; Supported org described in Section 501(c)(4), (5), (6)?
SpprtdOrgQlfdInd|All supporting organizations; Confirmed supported org qualified?
SprtExclsvlySc170c2BInd|All supporting organizations; Ensure support used exclusively for section 170(c)(2)(B) purposes?
SpprtdOrgNtOrgnzdUSInd|All supporting organizations; Any supported organized not organized in the United States?
CntrlDcdngGrntFrgnOrgInd|All supporting organizations; Ultimate control in deciding whether to make grants to foreign supported org?
SpprtFrgnOrgNDtrmInd|All supporting organizations; Support any foreign organizations that does not have IRS determination?
OrgnztnChngSprtOrgInd|All supporting organizations; Organization add, substitute or remove any supported org during the year?
SpprtdOrgClssDsgntdInd|All supporting organizations; Supported organization part of a class already designated in orgs organizing document?
SbstttnByndOrgCntlInd|All supporting organizations; Substitution the result of an event beyond the organization's control?
SpprtNnSpprtdOrgInd|All supporting organizations; Support anyone other than supported organizations?
PymntSbstntlCntrbtrInd|All supporting organizations; Provide grant, loan, compensation to a substantial contributor?
LnDsqlfdPrsnInd|All supporting organizations; Loan to disqualified person?
CntrlldDsqlfdPrsnInd|All supporting organizations; Controlled by one or more disqualified persons?
DsqlfdPrsnCntrllIntInd|All supporting organizations; Disqualified person hold controlling interest in any entity which supporting org had an interest?
DsqlfdPrsnOwnrIntInd|All supporting organizations; Disqualified person have an ownership interest in assets which supporting org had an interest?
PwrAppntMjrtyDrTrstInd|Type I supporting organizations; Directors, trustees, or membership of supported org have power to regularly appoint or elect at least majority of orgs directors or trustees?
OprtBnftNnSprtOrgInd|Type I supporting organizations; Operate for the benefit of any other supported organization?
MjrtyDrTrstSpprtdOrgInd|Also a majority of the directors or trustees of each of the organizations supported orgs?
TmlyPrvddDcmntsInd|All type III supporting organizations; Timely provided written notice, copy of Form 990, and governing documents?
OffcrsClsRltnshpInd|All type III supporting organizations; Maintained close and continuous working relationship with the supported organization?
SpprtdOrgVcInvstmntInd|All type III supporting organizations; Supported organizations have significant voice in the organizations investment policies?
ActvtsTstInd|Type III functionally-integrated supporting organizations; Satisfied activities test
PrntSpprtdOrgInd|Type III functionally-integrated supporting organizations; Parent of each of its supported organizations
GvrnmntlEnttyInd|Type III functionally-integrated supporting organizations; Supported a governmental entity
ActvtsFrthrExmptPrpsInd|Type III functionally-integrated supporting organizations; Substantially all activities during the year directly further exempt purposes of the supported organization?
ActvtsEnggdOrgInvlmntInd|Type III functionally-integrated supporting organizations; Constitute activities that, but for the organization's involvement, supported org would have been engaged?
AppntElctMjrtyOffcrInd|Type III functionally-integrated supporting organizations; Power to regularly appoint or elect majority of the officers of each supported organization?
ExrcsDrctnPlcsInd|Type III functionally-integrated supporting organizations; Exercise a substantial degree of direction over policies, programs or activities of each supported org?
