SkdA_TrstIntgrlPrtTstInd|Organization satisfied Integral Part Test as qualifying trust
NtSTCptlGnAdjNtIncm_PrrYrAmt|Adjusted net income group; Net short-term capital gain - adjusted net income; Prior year amount
NtSTCptlGnAdjNtIncm_CrrntYrAmt|Adjusted net income group; Net short-term capital gain - adjusted net income; Current year amount
RcvrsPYDstrbtns_PrrYrAmt|Adjusted net income group; Recoveries of prior-year distributions - adjusted net income; Prior year amount
RcvrsPYDstrbtns_CrrntYrAmt|Adjusted net income group; Recoveries of prior-year distributions - adjusted net income; Current year amount
OthrGrssIncm_PrrYrAmt|Adjusted net income group; Other gross income; Prior year amount
OthrGrssIncm_CrrntYrAmt|Adjusted net income group; Other gross income; Current year amount
AdjstdGrssIncm_PrrYrAmt|Adjusted net income group; Adjusted gross income; Prior year amount
AdjstdGrssIncm_CrrntYrAmt|Adjusted net income group; Adjusted gross income; Current year amount
DprctnDpltn_PrrYrAmt|Adjusted net income group; Depreciation and depletion - Adjusted net income; Prior year amount
DprctnDpltn_CrrntYrAmt|Adjusted net income group; Depreciation and depletion - Adjusted net income; Current year amount
PrdctnIncm_PrrYrAmt|Adjusted net income group; Portion of operating expenses held for production of income; Prior year amount
PrdctnIncm_CrrntYrAmt|Adjusted net income group; Portion of operating expenses held for production of income; Current year amount
OthrExpnss_PrrYrAmt|Adjusted net income group; Other expenses amount; Prior year amount
OthrExpnss_CrrntYrAmt|Adjusted net income group; Other expenses amount; Current year amount
TtlAdjstdNtIncm_PrrYrAmt|Adjusted net income group; Total adjusted net income amount; Prior year amount
TtlAdjstdNtIncm_CrrntYrAmt|Adjusted net income group; Total adjusted net income amount; Current year amount
AvrgMnthlyFMVOfSc_PrrYrAmt|Minimum asset amount group; Average monthly FMV of securities; Prior year amount
AvrgMnthlyFMVOfSc_CrrntYrAmt|Minimum asset amount group; Average monthly FMV of securities; Current year amount
AvrgMnthlyCshBlncs_PrrYrAmt|Minimum asset amount group; Average monthly cash balances; Prior year amount
AvrgMnthlyCshBlncs_CrrntYrAmt|Minimum asset amount group; Average monthly cash balances; Current year amount
FMVOthrNnExmptUsAsst_PrrYrAmt|Minimum asset amount group; Fair market value of other non-exempt use assets; Prior year amount
FMVOthrNnExmptUsAsst_CrrntYrAmt|Minimum asset amount group; Fair market value of other non-exempt use assets; Current year amount
TtlFMVOfNnExmptUsAsst_PrrYrAmt|Minimum asset amount group; Total fair market value of non-exempt use assets; Prior year amount
TtlFMVOfNnExmptUsAsst_CrrntYrAmt|Minimum asset amount group; Total fair market value of non-exempt use assets; Current year amount
MnmmAsstAmnt_DscntClmdAmt|Minimum asset amount group; Discount claimed for blockage or other factors
AcqstnIndbtdnss_PrrYrAmt|Minimum asset amount group; Acquisition Indebtedness applicable to non-exempt use assets; Prior year amount
AcqstnIndbtdnss_CrrntYrAmt|Minimum asset amount group; Acquisition Indebtedness applicable to non-exempt use assets; Current year amount
AdjstdFMVLssIndbtdnss_PrrYrAmt|Minimum asset amount group; Adjusted total FMV of non-exempt-use assets less acquisition indebtedness; Prior year amount
AdjstdFMVLssIndbtdnss_CrrntYrAmt|Minimum asset amount group; Adjusted total FMV of non-exempt-use assets less acquisition indebtedness; Current year amount
CshDmdChrtbl_PrrYrAmt|Minimum asset amount group; Cash deemed charitable; Prior year amount
CshDmdChrtbl_CrrntYrAmt|Minimum asset amount group; Cash deemed charitable; Current year amount
NtVlNnExmptUsAssts_PrrYrAmt|Minimum asset amount group; Net value non-exempt-use assets; Prior year amount
NtVlNnExmptUsAssts_CrrntYrAmt|Minimum asset amount group; Net value non-exempt-use assets; Current year amount
PctOfNtVlNnExmptUsAst_PrrYrAmt|Minimum asset amount group; Percent of net value non-exempt-use assets; Prior year amount
PctOfNtVlNnExmptUsAst_CrrntYrAmt|Minimum asset amount group; Percent of net value non-exempt-use assets; Current year amount
RcvrsPYDstrMnAsst_PrrYrAmt|Minimum asset amount group; Recoveries of prior-year distributions - minimum asset amount; Prior year amount
RcvrsPYDstrMnAsst_CrrntYrAmt|Minimum asset amount group; Recoveries of prior-year distributions - minimum asset amount; Current year amount
TtlMnmmAsst_PrrYrAmt|Minimum asset amount group; Total minimum asset amount; Prior year amount
TtlMnmmAsst_CrrntYrAmt|Minimum asset amount group; Total minimum asset amount; Current year amount
DstrbtblAmnt_CYAdjNtIncmDstrbtblAmt|Distributable amount group; Adjusted net income amount for prior year - distributable amount (from Section A, line 8, Column A)
DstrbtblAmnt_CYPct85AdjstdNtIncmAmt|Distributable amount group; 85% Percent of adjusted net income amount - distributable amount
DstrbtblAmnt_CYTtlMnAstDstrbtblAmt|Distributable amount group; Minimum asset amount for prior year - distributable amount (from Section B, line 8, Column A)
DstrbtblAmnt_CYGrtrAdjstdMnmmAmt|Distributable amount group; Greater of 85% adjusted net income amount and minimum assets amount
DstrbtblAmnt_CYIncmTxImpsdPYAmt|Distributable amount group; Income tax imposed in prior year
DstrbtblAmnt_CYDstrbtblAsAdjstdAmt|Distributable amount group; Distributable amount as adjusted unless subject to emergency temporary reduction
DstrbtblAmnt_FrstYr3NnFncInd|Distributable amount group; First year as a non-functionally-integrated Type III supporting organization
Dstrbtns_CYPdAccmplshExmptPrpsAmt|Amounts paid to supported organizations to accomplish exempt purpose - Current Year
Dstrbtns_CYDstrbtnYrRt|Distributions to attentive supported org divided by Distributable amount
Dstrbtns_CYPdInExcssIncmActvtyAmt|Amounts paid to perform activity that directly furthers exempt purpose - in excess of income from activity
Dstrbtns_CYAdmnstrtvExpnsPdAmt|Administrative expenses paid to accomplish exempt purposes
Dstrbtns_ExmptUsAsstsAcqsPdAmt|Amounts paid to acquire exempt-use assets
Dstrbtns_QlfdStAsdAmt|Qualified set-aside amounts
Dstrbtns_CYOthrDstrbtnsAmt|Other distributions - Current Year
Dstrbtns_CYTtlAnnlDstrbtnsAmt|Total annual distributions - Current Year
Dstrbtns_CYDstrAttntvSprtOrgAmt|Distributions to attentive supported organizations to which the org is responsive
Dstrbtns_CYDstrbtblAsAdjstdAmt|Distributable amount for current year (from Section C, line 6)
