ChrtblCntrbtnsDtl_CntrbtrNm|Charitable contributions; Contributor number from Part I
ChrtblCntrbtnsDtl_GftPrpsTxt|Charitable contributions; Purpose of gift
ChrtblCntrbtnsDtl_GftUsTxt|Charitable contributions; Use of gift
ChrtblCntrbtnsDtl_HwGftIsHldDsc|Charitable contributions; Description of how gift is held
TrnsfrUSAddrss_SttAbbrvtnCd|Charitable contributions; Transferee address - US; State
TrnsfrUSAddrss_ZIPCd|Charitable contributions; Transferee address - US; ZIP code
TrnsfrFrgnAddrss_CntryCd|Charitable contributions; Transferee address - Foreign; Country
TrnsfrUSAddrss_AddrssLn2Txt|Charitable contributions; Transferee address - US; Address line 2
TrnsfrFrgnAddrss_PrvncOrSttNm|Charitable contributions; Transferee address - Foreign; Province or state
TrnsfrFrgnAddrss_FrgnPstlCd|Charitable contributions; Transferee address - Foreign; Postal code
TrnsfrFrgnAddrss_AddrssLn2Txt|Charitable contributions; Transferee address - Foreign; Address line 2
TrnsfrFrgnAddrss_CtyNm|Charitable contributions; Transferee address - Foreign; City
TrnsfrNmBsnss_BsnssNmLn2Txt|Charitable contributions; Transferee name - Business; Business name line 2
ChrtblCntrbtnsDtl_RlnOfTrnsfrrTTrnsfrTxt|Charitable contributions; Relationship of transferor to transferee
TrnsfrFrgnAddrss_AddrssLn1Txt|Charitable contributions; Transferee address - Foreign; Address line 1
TrnsfrUSAddrss_AddrssLn1Txt|Charitable contributions; Transferee address - US; Address line 1
ChrtblCntrbtnsDtl_TrnsfrNmIndvdl|Charitable contributions; Transferee name - Individual
TrnsfrUSAddrss_CtyNm|Charitable contributions; Transferee address - US; City
TrnsfrNmBsnss_BsnssNmLn1Txt|Charitable contributions; Transferee name - Business; Business name line 1
