HstrcLndArInd|Historic land area
HstrcStrctrInd|Historic structure
PrtctnNtrlHbttInd|Protection of natural habitat
PrsrvtnOpnSpcInd|Preservation of open space
PrsrvtnPblcUsInd|Preservation for public use
TtlEsmntsCnt|Total number of easements
TtlAcrgCnt|Total acreage subject to easements
HstrcStrctrEsmntsCnt|Number of easements on a certified historic structure included in (a)
HstrcStrctrEsmntsAftrCnt|Number of historic structure easements acquired after 8-17-2006
MdfdEsmntsCnt|Number of conservation easements modified, transferred, released, or terminated by the organization during the taxable year
SttsEsmntsHldCnt|Number of states in which the organization held an easement
WrttnPlcyMntrngInd|Does the organization have a written policy regarding the periodic monitoring, inspection, and enforcement of the easements it holds?
StffHrsSpntEnfrcmntCnt|Staff hours devoted to monitoring or enforcing easements during the year
ExpnssIncrrdEnfrcmntAmt|Amount of expenses incurred in monitoring or enforcing easements during the taxable year
Sctn170hRqrStsfdInd|Does each conservation easement reported on line 2(d) above satisfy the requirements of section 170(h)(4)(B)(i) and 170(h)(4)(B)(ii)?
