ArtPblcExhbtnAmnts_RvnsInclddAmt|If the organization elected, as permitted under SFAS 116, to report in its revenue statement and balance sheet works of art, historical treasures, or other similar assets held for public exhibition, education or research in furtherance of public service, provide the following amounts relating to these items; Revenues on Form 990, Part VIII, line 1
ArtPblcExhbtnAmnts_AsstsInclddAmt|If the organization elected, as permitted under SFAS 116, to report in its revenue statement and balance sheet works of art, historical treasures, or other similar assets held for public exhibition, education or research in furtherance of public service, provide the following amounts relating to these items; Assets in Form 990, Part X
HldWrksArt_RvnsInclddAmt|If the organization received or held works of art, historical treasures, or other similar assets for financial gain, provide the following amounts required to be reported under SFAS 116 relating to these items; Revenues on Form 990, Part VIII, line 1
HldWrksArt_AsstsInclddAmt|If the organization received or held works of art, historical treasures, or other similar assets for financial gain, provide the following amounts required to be reported under SFAS 116 relating to these items; Assets in Form 990, Part X
SkdD_CllctnUsdPbExhbtnInd|Collection used for public exhibition
SkdD_CllUsdSchlrlyRsrchInd|Collection used for scholarly research
SkdD_CllctnUsdPrsrvtnInd|Collection used for preservation
SkdD_CllUsdLnOrExchPrgInd|Collection used for loan or exchange programs
CllctnUsdOthrPrpss_OthrPrpssDsc|Collection used for other purposes and description
CllctnUsdOthrPrpss_CllctnUsdOthrPrpssInd|Collection used for other purposes and description
SkdD_SlctdAsstsSlInd|During the year, did the organization solicit or receive donations of art, historical treasures or other similar assets to be sold to raise funds rather than to be maintained as part of the organization's collection?
