CYEndwmtFnd_BgnnngYrBlncAmt|Current year; Beginning of year balance
CYEndwmtFnd_CntrbtnsAmt|Current year; Contributions
CYEndwmtFnd_InvstmntErnngsOrLsssAmt|Current year; Investment earnings or losses
CYEndwmtFnd_GrntsOrSchlrshpsAmt|Current year; Grants or scholarships
CYEndwmtFnd_OthrExpndtrsAmt|Current year; Other expenditures
CYEndwmtFnd_AdmnstrtvExpnssAmt|Current year; Administrative expenses
CYEndwmtFnd_EndYrBlncAmt|Current year; End of year balance
CYMns1YrEndwmtFnd_BgnnngYrBlncAmt|Current year minus one year; Beginning of year balance
CYMns1YrEndwmtFnd_CntrbtnsAmt|Current year minus one year; Contributions
CYMns1YrEndwmtFnd_InvstmntErnngsOrLsssAmt|Current year minus one year; Investment earnings or losses
CYMns1YrEndwmtFnd_GrntsOrSchlrshpsAmt|Current year minus one year; Grants or scholarships
CYMns1YrEndwmtFnd_OthrExpndtrsAmt|Current year minus one year; Other expenditures
CYMns1YrEndwmtFnd_AdmnstrtvExpnssAmt|Current year minus one year; Administrative expenses
CYMns1YrEndwmtFnd_EndYrBlncAmt|Current year minus one year; End of year balance
CYMns2YrEndwmtFnd_BgnnngYrBlncAmt|Current year minus two years; Beginning of year balance
CYMns2YrEndwmtFnd_CntrbtnsAmt|Current year minus two years; Contributions
CYMns2YrEndwmtFnd_InvstmntErnngsOrLsssAmt|Current year minus two years; Investment earnings or losses
CYMns2YrEndwmtFnd_GrntsOrSchlrshpsAmt|Current year minus two years; Grants or scholarships
CYMns2YrEndwmtFnd_OthrExpndtrsAmt|Current year minus two years; Other expenditures
CYMns2YrEndwmtFnd_AdmnstrtvExpnssAmt|Current year minus two years; Administrative expenses
CYMns2YrEndwmtFnd_EndYrBlncAmt|Current year minus two years; End of year balance
CYMns3YrEndwmtFnd_BgnnngYrBlncAmt|Current year minus three years; Beginning of year balance
CYMns3YrEndwmtFnd_CntrbtnsAmt|Current year minus three years; Contributions
CYMns3YrEndwmtFnd_InvstmntErnngsOrLsssAmt|Current year minus three years; Investment earnings or losses
CYMns3YrEndwmtFnd_GrntsOrSchlrshpsAmt|Current year minus three years; Grants or scholarships
CYMns3YrEndwmtFnd_OthrExpndtrsAmt|Current year minus three years; Other expenditures
CYMns3YrEndwmtFnd_AdmnstrtvExpnssAmt|Current year minus three years; Administrative expenses
CYMns3YrEndwmtFnd_EndYrBlncAmt|Current year minus three years; End of year balance
CYMns4YrEndwmtFnd_BgnnngYrBlncAmt|Current year minus four years; Beginning of year balance
CYMns4YrEndwmtFnd_CntrbtnsAmt|Current year minus four years; Contributions
CYMns4YrEndwmtFnd_InvstmntErnngsOrLsssAmt|Current year minus four years; Investment earnings or losses
CYMns4YrEndwmtFnd_GrntsOrSchlrshpsAmt|Current year minus four years; Grants or scholarships
CYMns4YrEndwmtFnd_OthrExpndtrsAmt|Current year minus four years; Other expenditures
CYMns4YrEndwmtFnd_AdmnstrtvExpnssAmt|Current year minus four years; Administrative expenses
CYMns4YrEndwmtFnd_EndYrBlncAmt|Current year minus four years; End of year balance
SkdD_BrdDsgntdBlncEOYPct|Board designated EOY balance
SkdD_PrmnntEndwmntBlncEOYPct|Permanent endowment EOY balance
SkdD_TrmEndwmntBlncEOYPct|Term endowment EOY balance
SkdD_EndwmntsHldUnrltdOrgInd|Endowments held by unrelated organizations?
SkdD_EndwmntsHldRltdOrgInd|Endowments held by related organizations?
SkdD_RltdOrgLstSchRInd|Are related orgs listed on Schedule R?
