SkdD_TtlBkVlLndBldngsAmt|Total of book value
Lnd_InvstmntCstOrOthrBssAmt|Land; Investment cost or other basis
Lnd_OthrCstOrOthrBssAmt|Land; Other cost or other basis
Lnd_BkVlAmt|Land; Book value
Bldngs_InvstmntCstOrOthrBssAmt|Buildings; Investment cost or other basis
Bldngs_OthrCstOrOthrBssAmt|Buildings; Other cost or other basis
Bldngs_DprctnAmt|Buildings; Depreciation
Bldngs_BkVlAmt|Buildings; Book value
LshldImprvmnts_InvstmntCstOrOthrBssAmt|Leasehold improvements; Investment cost or other basis
LshldImprvmnts_OthrCstOrOthrBssAmt|Leasehold improvements; Other cost or other basis
LshldImprvmnts_DprctnAmt|Leasehold improvements; Depreciation
LshldImprvmnts_BkVlAmt|Leasehold improvements; Book value
Eqpmnt_InvstmntCstOrOthrBssAmt|Equipment; Investment cost or other basis
Eqpmnt_OthrCstOrOthrBssAmt|Equipment; Other cost or other basis
Eqpmnt_DprctnAmt|Equipment; Depreciation
Eqpmnt_BkVlAmt|Equipment; Book value
OthrLndBldngs_InvstmntCstOrOthrBssAmt|Other; Investment cost or other basis
OthrLndBldngs_OthrCstOrOthrBssAmt|Other; Other cost or other basis
OthrLndBldngs_DprctnAmt|Other; Depreciation
OthrLndBldngs_BkVlAmt|Other; Book value
