TtlRvEtcAdtdFnclStmtAmt|Total revenue, gains and other support per audited financial statments
NtUnrlzdGnsInvstAmt|Net unrealized gains on investments
DntdSrvcsAndUsFcltsAmt|Donated services and use of facilities
RcvrsPrrYrGrntsAmt|Recoveries of prior year grants
OthrRvnAmt|Other revenues
RvnNtRprtdAmt|Total amounts, add lines 2a through 2d
RvnSbttlAmt|Part XI line 1 minus Part XI line 2e
InvstmntExpnssNtIncldAmt|Investment expenses not included on Form 990, Part VIII, line 7b
OthrRvnsNtInclddAmt|Other revenues not included
RvnNtRprtdFnclStmtAmt|Total amounts, add lines 4a and 4b
TtlRvnPrFrm990Amt|Total revenue (Form 990, Part 1, Line 12). Add lines 3 and 4c
