NndscrmntryPlcyStmtInd|Does the organization have a racially nondiscriminatory policy statement?
PlcyStmtInBrchrsEtcInd|Does the organization have policy statement in brochures, etc?
PlcyPblczdVBrdcstMdInd|Has the organization publicized the policy through broadcast media?
MntnRclCmpRcsInd|Does the organization maintain racial composition records?
MntnSchlrshpsRcsInd|Does the organization maintain scholarships records?
MntnCpyOfBrchrsEtcInd|Does the organization maintain copies of brochures, etc?
MntnCpyOfAllSlInd|Does the organization maintain copies of all solicitations?
DscrmntRcStdntsRghtsInd|Does the organization discriminate by race in any way students' rights or privileges?
DscrmntRcAdmssPlcyInd|Does the organization discriminate by race in any way admissions policies?
DscrmntRcEmplmFcltyInd|Does the organization discriminate by race in any way employment of faculty or administrative staff?
DscrmntRcSchsInd|Does the organization discriminate by race in any way scholarships or other financial assistance?
DscrmntRcEdcPlcyInd|Does the organization discriminate by race in any way educational policies?
DscrmntRcUsOfFcltsInd|Does the organization discriminate by race in any way use of facilities?
DscrmntRcAthltPrgInd|Does the organization discriminate by race in any way athletic programs?
DscrmntRcOthrActyInd|Does the organization discriminate by race in any way other extracurricular activities?
GvrnmntFnnclAdRcvdInd|Does the organization receive any financial aid or assistance from a governmental agency?
GvrnmntFnnclAdRvkdInd|Has the organization's right to such aid ever been revoked or suspended?
CmplncWthRvPrc7550Ind|Compliance with Rev. Proc. 75-50, 1975-2 C.B. 587?
