GrntRcrdsMntndInd|For grantmakers: Does the organization maintain records to substantiate the amount of the grants or assistance, the grantees' eligibility for the grants or assistance, and the selection criteria used to award the grants or assistance?
SbttlOffcsCnt|Subtotal number of offices
SbttlEmplysCnt|Subtotal number of employees
SbttlSpntAmt|Subtotal amount spent
CntnttnTtlOffcCnt|Total offices from continuation sheets to Part I
CntnttnTtlOffcCnt|Total offices from continuation sheets to Part I
CntnttnTtlEmplyCnt|Total employees from continuation sheets to Part I
CntnttnTtlEmplyCnt|Total employees from continuation sheets to Part I
CntntnSpntAmt|Total amouunt from continuation sheets to Part I
TtlOffcCnt|Total number of offices
TtlEmplyCnt|Total number of employees
TtlSpntAmt|Total amount spent
