BsnssNmLn2Txt|Part II contents; Name of officer - business; Business name line 2
TtlTxt|Part II contents; Title of Officer
BsnssNmLn1Txt|Part II contents; Name of officer - business; Business name line 1
PrsnNm|Part II contents; Name of officer - person
CmpnstnBsdOnRltdOrgsAmt|Part II contents; Compensation based on related organizations?
BsCmpnstnFlngOrgAmt|Part II contents; Base compensation ($) from filing organization
BnsFlngOrgnztnAmnt|Part II contents; Bonus and incentive compensation ($) from filing organization
BnsRltdOrgnztnsAmt|Part II contents; Bonus and incentive compensation ($) from related organizations
OthrCmpnstnFlngOrgAmt|Part II contents; Other compensation ($) from filing organization
OthrCmpnstnRltdOrgsAmt|Part II contents; Other compensation ($) from related organizations
DfrrdCmpRltdOrgsAmt|Part II contents; Deferred compensation ($) from related organizations
DfrrdCmpnstnFlngOrgAmt|Part II contents; Deferred compensation ($) from filing organization
NntxblBnftsFlngOrgAmt|Part II contents; Nontaxable benefits ($) from filing organization
NntxblBnftsRltdOrgsAmt|Part II contents; Nontaxable benefits ($) from related organizations
TtlCmpnstnFlngOrgAmt|Part II contents; Total of (B)(i) - (D), from filing org
TtlCmpnstnRltdOrgsAmt|Part II contents; Total of (B)(i) - (D), from related orgs
CmpRprtPrr990RltdOrgsAmt|Part II contents; Comp reported prior 990 - from related orgs
CmpRprtPrr990FlngOrgAmt|Part II contents; Comp reported prior 990 - from filing org
