DscrtnrySpndngAcctInd|Discretionary spending account
HsngAllwncOrRsdncInd|Housing allowance or residence
PymntsFrUsOfRsdncInd|Payments for use of residence
FrstClssOrChrtrTrvlInd|First class or charter travel
PrsnlSrvcsInd|Personal services
IdmnfctnGrssUpPmtsInd|Idemnification and gross-up payments
TrvlFrCmpnnsInd|Travel for companions
ClbDsOrFsInd|Club dues or fees
WrttnPlcyRfTAndEExpnssInd|Written policy reference T and E expenses?
SbstnttnRqrdInd|Substantiation required?
CmpnstnSrvyInd|Compensation survey
CmpnstnCmmttInd|Compensation committee
BrdOrCmmttApprvlInd|Board or committee approval
IndpndntCnsltntInd|Independent consultant
Frm990OfOthrOrgnztnsInd|Form 990 of other organizations
WrttnEmplymntCntrctInd|Written employment contract
SvrncPymntInd|Severance payment?
SpplmntlNnqlRtrPlnInd|Supplemental nonqualified retirement plan?
EqtyBsdCmpArrngmInd|Equity based compensation arrangement?
CmpBsdOnRvnOfFlngOrgInd|Compensation based on revenue of filing org?
CmpBsdOnRvRltdOrgsInd|Compensation based on revenue of related orgs?
CmpBsdNtErnsFlngOrgInd|Compensation based on net earnings of filing org?
CmpBsdNtErnsRltdOrgsInd|Compensation based on net earnings of related orgs?
AnyNnFxdPymntsInd|Any non-fixed payments?
IntlCntrctExcptnInd|Initial contract exception?
RbttblPrsmptnPrcInd|Rebuttable presumption procedure?
