ScrtsClslyHldStck_NnCshChckbxInd|Securities - closely held stock; Checkbox for lines on Part I
ScrtsClslyHldStck_CntrbtnCnt|Securities - closely held stock; Number of contributions
ScrtsClslyHldStck_NncshCntrbtnsRptF990Amt|Securities - closely held stock; Revenues reported on F990, Pt VIII, line 1g
ScrtsClslyHldStck_MthdOfDtrmnngRvnsTxt|Securities - closely held stock; Method of determining revenues
ScrPrtnrshpTrstIntrsts_NnCshChckbxInd|Securities - partnership or trust interests; Checkbox for lines on Part I
ScrPrtnrshpTrstIntrsts_CntrbtnCnt|Securities - partnership or trust interests; Number of contributions
ScrPrtnrshpTrstIntrsts_NncshCntrbtnsRptF990Amt|Securities - partnership or trust interests; Revenues reported on F990, Pt VIII, line 1g
ScrPrtnrshpTrstIntrsts_MthdOfDtrmnngRvnsTxt|Securities - partnership or trust interests; Method of determining revenues
ScrtsMsc_NnCshChckbxInd|Securities - miscellaneous; Checkbox for lines on Part I
ScrtsMsc_CntrbtnCnt|Securities - miscellaneous; Number of contributions
ScrtsMsc_NncshCntrbtnsRptF990Amt|Securities - miscellaneous; Revenues reported on F990, Pt VIII, line 1g
ScrtsMsc_MthdOfDtrmnngRvnsTxt|Securities - miscellaneous; Method of determining revenues
QlfdCntrbHstStrct_NnCshChckbxInd|Qualified conservation contributions - historic structures; Checkbox for lines on Part I
QlfdCntrbHstStrct_CntrbtnCnt|Qualified conservation contributions - historic structures; Number of contributions
QlfdCntrbHstStrct_NncshCntrbtnsRptF990Amt|Qualified conservation contributions - historic structures; Revenues reported on F990, Pt VIII, line 1g
QlfdCntrbHstStrct_MthdOfDtrmnngRvnsTxt|Qualified conservation contributions - historic structures; Method of determining revenues
QlfdCntrbOthr_NnCshChckbxInd|Qualified conservation contributions - other; Checkbox for lines on Part I
QlfdCntrbOthr_CntrbtnCnt|Qualified conservation contributions - other; Number of contributions
QlfdCntrbOthr_NncshCntrbtnsRptF990Amt|Qualified conservation contributions - other; Revenues reported on F990, Pt VIII, line 1g
QlfdCntrbOthr_MthdOfDtrmnngRvnsTxt|Qualified conservation contributions - other; Method of determining revenues
RlEsttRsdntl_NnCshChckbxInd|Real estate - residential; Checkbox for lines on Part I
RlEsttRsdntl_CntrbtnCnt|Real estate - residential; Number of contributions
RlEsttRsdntl_NncshCntrbtnsRptF990Amt|Real estate - residential; Revenues reported on F990, Pt VIII, line 1g
RlEsttRsdntl_MthdOfDtrmnngRvnsTxt|Real estate - residential; Method of determining revenues
RlEsttCmmrcl_NnCshChckbxInd|Real estate - commercial; Checkbox for lines on Part I
RlEsttCmmrcl_CntrbtnCnt|Real estate - commercial; Number of contributions
RlEsttCmmrcl_NncshCntrbtnsRptF990Amt|Real estate - commercial; Revenues reported on F990, Pt VIII, line 1g
RlEsttCmmrcl_MthdOfDtrmnngRvnsTxt|Real estate - commercial; Method of determining revenues
RlEsttOthr_NnCshChckbxInd|Real estate - other; Checkbox for lines on Part I
RlEsttOthr_CntrbtnCnt|Real estate - other; Number of contributions
RlEsttOthr_NncshCntrbtnsRptF990Amt|Real estate - other; Revenues reported on F990, Pt VIII, line 1g
RlEsttOthr_MthdOfDtrmnngRvnsTxt|Real estate - other; Method of determining revenues
Cllctbls_NnCshChckbxInd|Collectibles; Checkbox for lines on Part I
Cllctbls_CntrbtnCnt|Collectibles; Number of contributions
Cllctbls_NncshCntrbtnsRptF990Amt|Collectibles; Revenues reported on F990, Pt VIII, line 1g
Cllctbls_MthdOfDtrmnngRvnsTxt|Collectibles; Method of determining revenues
FdInvntry_NnCshChckbxInd|Food inventory; Checkbox for lines on Part I
FdInvntry_CntrbtnCnt|Food inventory; Number of contributions
FdInvntry_NncshCntrbtnsRptF990Amt|Food inventory; Revenues reported on F990, Pt VIII, line 1g
FdInvntry_MthdOfDtrmnngRvnsTxt|Food inventory; Method of determining revenues
WrksOfArt_NnCshChckbxInd|Art - works of art; Checkbox for lines on Part I
WrksOfArt_CntrbtnCnt|Art - works of art; Number of contributions
WrksOfArt_NncshCntrbtnsRptF990Amt|Art - works of art; Revenues reported on F990, Pt VIII, line 1g
WrksOfArt_MthdOfDtrmnngRvnsTxt|Art - works of art; Method of determining revenues
