USAddrss_ZIPCd|Part II content - Identification of related tax-exempt organizations; Address - US address of disregarded entity; ZIP code
IdRltdTxExmptOrg_EIN|Part II content - Identification of related tax-exempt organizations; EIN
FrgnAddrss_AddrssLn1Txt|Part II content - Identification of related tax-exempt organizations; Address - Foreign address of disregarded entity; Address line 1
USAddrss_SttAbbrvtnCd|Part II content - Identification of related tax-exempt organizations; Address - US address of disregarded entity; State
FrgnAddrss_CtyNm|Part II content - Identification of related tax-exempt organizations; Address - Foreign address of disregarded entity; City
FrgnAddrss_AddrssLn2Txt|Part II content - Identification of related tax-exempt organizations; Address - Foreign address of disregarded entity; Address line 2
USAddrss_AddrssLn2Txt|Part II content - Identification of related tax-exempt organizations; Address - US address of disregarded entity; Address line 2
DsrgrddEnttyNm_BsnssNmLn1Txt|Part II content - Identification of related tax-exempt organizations; Name of disregarded entity; Business name line 1
FrgnAddrss_FrgnPstlCd|Part II content - Identification of related tax-exempt organizations; Address - Foreign address of disregarded entity; Postal code
DsrgrddEnttyNm_BsnssNmLn2Txt|Part II content - Identification of related tax-exempt organizations; Name of disregarded entity; Business name line 2
FrgnAddrss_PrvncOrSttNm|Part II content - Identification of related tax-exempt organizations; Address - Foreign address of disregarded entity; Province or state
USAddrss_CtyNm|Part II content - Identification of related tax-exempt organizations; Address - US address of disregarded entity; City
FrgnAddrss_CntryCd|Part II content - Identification of related tax-exempt organizations; Address - Foreign address of disregarded entity; Country
USAddrss_AddrssLn1Txt|Part II content - Identification of related tax-exempt organizations; Address - US address of disregarded entity; Address line 1
IdRltdTxExmptOrg_PrmryActvtsTxt|Part II content - Identification of related tax-exempt organizations; Primary activities
IdRltdTxExmptOrg_LglDmclSttCd|Part II content - Identification of related tax-exempt organizations; Legal domicile - State
IdRltdTxExmptOrg_LglDmclFrgnCntryCd|Part II content - Identification of related tax-exempt organizations; Legal domicile - Foreign Country
IdRltdTxExmptOrg_ExmptCdSctnTxt|Part II content - Identification of related tax-exempt organizations; Exempt code section
IdRltdTxExmptOrg_PblcChrtySttsTxt|Part II content - Identification of related tax-exempt organizations; Public charity status (if 501(c)(3))
DrctCntrllngEnttyNm_BsnssNmLn1Txt|Part II content - Identification of related tax-exempt organizations; Direct controlling entity business name; Business name line 1
IdRltdTxExmptOrg_DrctCntrllngNACd|Part II content - Identification of related tax-exempt organizations; Direct controlling entity - Literal for not applicable
DrctCntrllngEnttyNm_BsnssNmLn2Txt|Part II content - Identification of related tax-exempt organizations; Direct controlling entity business name; Business name line 2
IdRltdTxExmptOrg_CntrlldOrgnztnInd|Part II content - Identification of related tax-exempt organizations; 512(b)(13) controlled organization? (Y-N)
