UnrltdOrgTxblPrtnrshp_EIN|Part VI content; EIN
BsnssNm_BsnssNmLn1Txt|Part VI content; Name of Business; Business name line 1
USAddrss_AddrssLn2Txt|Part VI content; Address - US address of disregarded entity; Address line 2
USAddrss_ZIPCd|Part VI content; Address - US address of disregarded entity; ZIP code
FrgnAddrss_AddrssLn1Txt|Part VI content; Address - Foreign address of disregarded entity; Address line 1
FrgnAddrss_AddrssLn2Txt|Part VI content; Address - Foreign address of disregarded entity; Address line 2
FrgnAddrss_FrgnPstlCd|Part VI content; Address - Foreign address of disregarded entity; Postal code
FrgnAddrss_CntryCd|Part VI content; Address - Foreign address of disregarded entity; Country
FrgnAddrss_CtyNm|Part VI content; Address - Foreign address of disregarded entity; City
USAddrss_AddrssLn1Txt|Part VI content; Address - US address of disregarded entity; Address line 1
BsnssNm_BsnssNmLn2Txt|Part VI content; Name of Business; Business name line 2
USAddrss_CtyNm|Part VI content; Address - US address of disregarded entity; City
USAddrss_SttAbbrvtnCd|Part VI content; Address - US address of disregarded entity; State
FrgnAddrss_PrvncOrSttNm|Part VI content; Address - Foreign address of disregarded entity; Province or state
UnrltdOrgTxblPrtnrshp_PrmryActvtsTxt|Part VI content; Primary activity
UnrltdOrgTxblPrtnrshp_LglDmclSttCd|Part VI content; Legal domicile - State
UnrltdOrgTxblPrtnrshp_LglDmclFrgnCntryCd|Part VI content; Legal domicile - Foreign Country
UnrltdOrgTxblPrtnrshp_PrdmntIncmDsc|Part VI content; Predominate income (related, investment, unrelated)
UnrltdOrgTxblPrtnrshp_AllPrtnrsC3SInd|Part VI content; All partners c3s?
UnrltdOrgTxblPrtnrshp_ShrOfTtlIncmAmt|Part VI content; Share of total income ($)
UnrltdOrgTxblPrtnrshp_ShrOfEOYAsstsAmt|Part VI content; Share of end-of-year assets ($)
UnrltdOrgTxblPrtnrshp_DsprprtntAllctnsInd|Part VI content; Disproportionate allocations?
UnrltdOrgTxblPrtnrshp_UBICdVAmt|Part VI content; Code V amount
UnrltdOrgTxblPrtnrshp_GnrlOrMngngPrtnrInd|Part VI content; General or managing partner?
UnrltdOrgTxblPrtnrshp_OwnrshpPct|Part VI content; Percentage ownership
